Product , Fast (500 keV) 
Product ,  
Product , Yield 
Kr85 ,0.00002679
Kr85m ,0.00000549
Kr86 ,0.00028184
Kr87 ,0.00138473
Kr88 ,0.00411642
Kr89 ,0.00898287
Kr90 ,0.0128572
Kr91 ,0.0107505
Kr92 ,0.00671581
Kr93 ,0.00236733
Kr94 ,0.00049233
Kr95 ,0.0000613663
Kr96 ,0.00000541
Kr97 ,0.000000275987
Kr98 ,0.00000000955954
Kr99 ,4.15375E-11
Kr100 ,3.21E-12
Rb79 ,0
Rb81 ,0
Rb83 ,1.02E-11
Rb84 ,7.83E-10
Rb85 ,0.000000037
Rb86 ,0.000000453
Rb86m ,0.000000453
Rb87 ,0.00001464
Rb88 ,0.00014597
Rb89 ,0.00104167
Rb90 ,0.00060398
Rb90m ,0.00294797
Rb91 ,0.00950954
Rb92 ,0.0141735
Rb93 ,0.0169461
Rb94 ,0.00907134
Rb95 ,0.00413874
Rb96 ,0.0009976201
Rb97 ,0.00019369
Rb98 ,0.00001873
Rb99 ,0.000000870886
Rb100 ,0.0000000664
Rb101 ,5.30351E-10
Rb102 ,3.30038E-11
Rb103 ,2.03778E-12
Sr83 ,0
Sr84 ,2.2E-14
Sr85 ,1.59E-12
Sr85m ,1.59E-12
Sr86 ,3.17E-10
Sr87 ,0.0000000127
Sr87m ,0.0000000026
Sr88 ,0.000000618
Sr89 ,0.00001219
Sr90 ,0.00015752
Sr91 ,0.00112073
Sr92 ,0.00548419
Sr93 ,0.014415
Sr94 ,0.0272959
Sr95 ,0.0291987
Sr96 ,0.0238949
Sr97 ,0.0116002
Sr98 ,0.00406516
Sr99 ,0.000838529
Sr100 ,0.00014022
Sr101 ,0.0000111195
Sr102 ,0.000000691967
Sr103 ,0.0000000427247
Sr104 ,5.65E-10
Sr105 ,8.02593E-12
Sr106 ,7.88787E-13
Y85 ,0
Y87 ,4.49E-13
Y88 ,5.51E-11
Y89 ,7.51E-10
Y89m ,0.00000000367
Y90 ,0.0000000825
Y90m ,0.0000000825
Y91 ,0.00000238
Y91m ,0.00000238
Y92 ,0.00006629
Y93 ,0.000345955
Y93m ,0.000345955
Y94 ,0.00302171
Y95 ,0.0107669
Y96 ,0.00176235
Y96m ,0.0178356
Y97 ,0.0148046
Y97m ,0.0148046
Y98 ,0.0120294
Y98m ,0.0120289
Y99 ,0.0163218
Y100 ,0.00674524
Y101 ,0.00196633
Y102 ,0.00033313
Y103 ,0.0000411373
Y104 ,0.00000279
Y105 ,0.000000168274
Y106 ,0.0000000165379
Y107 ,1.54952E-11
Y108 ,9.58637E-13
Zr87 ,0
Zr88 ,0
Zr89 ,1.16E-13
Zr90 ,9.2E-12
Zr90m ,9.2E-12
Zr91 ,0.00000000158
Zr92 ,0.0000000921
Zr93 ,0.00000265
Zr94 ,0.00004826
Zr95 ,0.00044153
Zr96 ,0.00288165
Zr97 ,0.0101396
Zr98 ,0.0256268
Zr99 ,0.0379345
Zr100 ,0.0481364
Zr101 ,0.0331129
Zr102 ,0.0193059
Zr103 ,0.00600481
Zr104 ,0.00147099
Zr105 ,0.000162022
Zr106 ,0.0000159235
Zr107 ,0.000000324876
Zr108 ,0.000000020099
Zr109 ,0
Zr110 ,0
Zr111 ,0
Zr112 ,0
Zr113 ,0
Nb89 ,0
Nb90 ,0
Nb91 ,1.46E-14
Nb92 ,2.6E-12
Nb93 ,2.62E-10
Nb93m ,5.36E-11
Nb94 ,0.0000000108
Nb94m ,0.00000000637
Nb95 ,0.000000532
Nb95m ,0.000000109
Nb96 ,0.00002208
Nb97 ,0.00012272
Nb97m ,0.00002514
Nb98 ,0.00072709
Nb98m ,0.00020508
Nb99 ,0.000356
Nb99m ,0.00409368
Nb100 ,0.00631045
Nb100m ,0.00631045
Nb101 ,0.0269118
Nb102 ,0.0175266
Nb102m ,0.0175266
Nb103 ,0.0339542
Nb104 ,0.00974056
Nb104m ,0.00974056
Nb105 ,0.00752657
Nb106 ,0.00188792
Nb107 ,0.000312805
Nb108 ,0.00002481
Nb109 ,6.49E-12
Nb110 ,4.64E-14
Nb111 ,6.54087E-16
Nb112 ,1.55782E-17
Nb113 ,1.75214E-17
Nb114 ,1.55957E-12
Nb115 ,6.30237E-14
Mo90 ,0
Mo91 ,0
Mo92 ,0
Mo93 ,0
Mo93m ,0
Mo94 ,6.22E-13
Mo95 ,6.85E-11
Mo96 ,0.00000000494
Mo97 ,0.00000018
Mo98 ,0.00000432
Mo99 ,0.00005353
Mo100 ,0.00052914
Mo101 ,0.00278592
Mo102 ,0.0118545
Mo103 ,0.0252577
Mo104 ,0.0437093
Mo105 ,0.0381078
Mo106 ,0.0302587
Mo107 ,0.0123111
Mo108 ,0.00347981
Mo109 ,0.00001009
Mo110 ,0.000000483
Mo111 ,0.0000000131
Mo112 ,3.12E-10
Mo113 ,3.50918E-10
Mo114 ,0.0000000326984
Mo115 ,0.00000000132137
Mo116 ,3.14E-12
Mo117 ,4.36455E-14
Tc93 ,0
Tc95 ,0
Tc95m ,0
Tc97 ,3.08E-12
Tc97m ,3.08E-12
Tc98 ,4.23E-10
Tc99 ,0.0000000169
Tc99m ,0.00000000346
Tc100 ,0.00000053
Tc101 ,0.00001055
Tc102 ,0.00005924
Tc102m ,0.00005924
Tc103 ,0.00086692
Tc104 ,0.00353024
Tc105 ,0.00991536
Tc106 ,0.0170937
Tc107 ,0.0215648
Tc108 ,0.0139173
Tc109 ,0.0050239
Tc110 ,0.00099708
Tc111 ,0.00017779
Tc112 ,0.00001794
Tc113 ,0.00000294965
Tc114 ,0.00000974
Tc115 ,0.00000127228
Tc116 ,0.0000000181
Tc117 ,9.15084E-10
Tc118 ,1.95543E-12
Tc119 ,4.12548E-14
Ru95 ,0
Ru96 ,0
Ru97 ,0
Ru98 ,0
Ru99 ,5.52E-13
Ru100 ,5.54E-11
Ru101 ,0.00000000313
Ru102 ,0.000000137
Ru103 ,0.00000268
Ru104 ,0.00003969
Ru105 ,0.00028865
Ru106 ,0.00168996
Ru107 ,0.00503922
Ru108 ,0.0102785
Ru109 ,0.00616012
Ru109m ,0.00616012
Ru110 ,0.00818865
Ru111 ,0.0042073
Ru112 ,0.00178328
Ru113 ,0.00084452
Ru114 ,0.00036169
Ru115 ,0.0000643564
Ru116 ,0.00001109
Ru117 ,0.000000881085
Ru118 ,0.000000040998
Ru119 ,8.64959E-10
Ru120 ,1.04E-11
Ru121 ,5.00781E-14
Ru122 ,0
Ru124 ,0
Rh99 ,0
Rh101 ,0
Rh101m ,2.11E-14
Rh102 ,1.6E-12
Rh102m ,1.6E-12
Rh103 ,2.87E-11
Rh103m ,2.1E-10
Rh104 ,0.00000000216
Rh104m ,0.00000000764
Rh105 ,0.000000243
Rh105m ,0.0000000331
Rh106 ,0.00000211
Rh106m ,0.00000211
Rh107 ,0.00004717
Rh108 ,0.00012306
Rh108m ,0.00012306
Rh109 ,0.00005296
Rh109m ,0.00005296
Rh110 ,0.00011505
