Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Kr85m ,0.00000631
Kr86 ,0.00029947
Kr87 ,0.00138749
Kr88 ,0.00524719
Kr89 ,0.00849246
Kr90 ,0.0132834
Kr91 ,0.0110746
Kr92 ,0.00697417
Kr93 ,0.00234995
Kr94 ,0.00050616
Kr95 ,0.0000674362
Kr96 ,0.00000554
Kr97 ,0.000000279992
Kr98 ,0.0000000102998
Kr99 ,3.65502E-11
Kr100 ,2.62E-12
Rb79 ,0
Rb81 ,0
Rb83 ,9.91E-12
Rb84 ,6.86E-10
Rb85 ,0.0000000345
Rb86 ,0.000000442
Rb86m ,0.000000442
Rb87 ,0.00001619
Rb88 ,0.00016221
Rb89 ,0.00093757
Rb90 ,0.00067187
Rb90m ,0.00286341
Rb91 ,0.00942945
Rb92 ,0.0140569
Rb93 ,0.0162048
Rb94 ,0.00906552
Rb95 ,0.00446993
Rb96 ,0.00101598
Rb97 ,0.00019813
Rb98 ,0.00002052
Rb99 ,0.000000570789
Rb100 ,0.0000000585
Rb101 ,3.01135E-10
Rb102 ,1.37213E-11
Rb103 ,1.5686E-12
Sr83 ,0
Sr84 ,1.74E-14
Sr85 ,1.355E-12
Sr85m ,1.355E-12
Sr86 ,2.86E-10
Sr87 ,0.0000000128
Sr87m ,0.00000000301
Sr88 ,0.000000635
Sr89 ,0.00001057
Sr90 ,0.00015332
Sr91 ,0.00104617
Sr92 ,0.00539542
Sr93 ,0.0147505
Sr94 ,0.0271403
Sr95 ,0.0315209
Sr96 ,0.0245447
Sr97 ,0.0120792
Sr98 ,0.00458644
Sr99 ,0.000878819
Sr100 ,0.00013449
Sr101 ,0.0000104497
Sr102 ,0.000000649986
Sr103 ,0.000000054432
Sr104 ,4.91E-10
Sr105 ,7.4768E-12
Sr106 ,7.03371E-13
Y85 ,0
Y87 ,4.05E-13
Y88 ,4.84E-11
Y89 ,6.48E-10
Y89m ,0.00000000276
Y90 ,0.000000074
Y90m ,0.000000074
Y91 ,0.00000199
Y91m ,0.00000199
Y92 ,0.00005808
Y93 ,0.00029926
Y93m ,0.00029926
Y94 ,0.00279651
Y95 ,0.0106585
Y96 ,0.00190895
Y96m ,0.0171805
Y97 ,0.0147336
Y97m ,0.0147336
Y98 ,0.0130649
Y98m ,0.0130643
Y99 ,0.0166144
Y100 ,0.00653283
Y101 ,0.00183419
Y102 ,0.00031427
Y103 ,0.0000377156
Y104 ,0.0000025
Y105 ,0.000000116762
Y106 ,0.00000000804647
Y107 ,1.35455E-11
Y108 ,3.75754E-13
Zr87 ,0
Zr88 ,0
Zr89 ,8.05E-14
Zr90 ,7.5E-12
Zr90m ,7.5E-12
Zr91 ,0.0000000012
Zr92 ,0.0000000736
Zr93 ,0.00000224
Zr94 ,0.00004181
Zr95 ,0.00042656
Zr96 ,0.00270686
Zr97 ,0.00984902
Zr98 ,0.0275145
Zr99 ,0.0382719
Zr100 ,0.0477838
Zr101 ,0.0310861
Zr102 ,0.0185158
Zr103 ,0.00565445
Zr104 ,0.00136851
Zr105 ,0.000179773
Zr106 ,0.000016912
Zr107 ,0.000000470043
Zr108 ,0.0000000177996
Zr109 ,0
Zr110 ,0
Zr111 ,0
Zr112 ,0
Zr113 ,0
Nb89 ,0
Nb90 ,0
Nb91 ,0
Nb92 ,1.75E-12
Nb93 ,1.85E-10
Nb93m ,4.34E-11
Nb94 ,0.00000000764
Nb94m ,0.00000000531
Nb95 ,0.000000431
Nb95m ,0.000000101
Nb96 ,0.00000956
Nb97 ,0.00010407
Nb97m ,0.00002441
Nb98 ,0.00068646
Nb98m ,0.00022882
Nb99 ,0.000334
Nb99m ,0.00384079
Nb100 ,0.00603193
Nb100m ,0.00603193
Nb101 ,0.0239365
Nb102 ,0.0160354
Nb102m ,0.0160354
Nb103 ,0.0307441
Nb104 ,0.00878274
Nb104m ,0.00878274
Nb105 ,0.00794566
Nb106 ,0.00198375
Nb107 ,0.00032569
Nb108 ,0.00002455
Nb109 ,8.44E-12
Nb110 ,7.6E-14
Nb111 ,4.95732E-16
Nb112 ,9.6921E-18
Nb113 ,1.43133E-17
Nb114 ,8.99276E-13
Nb115 ,4.10724E-14
Mo90 ,0
Mo91 ,0
Mo92 ,0
Mo93 ,0
Mo93m ,0
Mo94 ,4.09E-13
Mo95 ,5.04E-11
Mo96 ,0.00000000373
Mo97 ,0.000000142
Mo98 ,0.00000392
Mo99 ,0.00004706
Mo100 ,0.0004943
Mo101 ,0.00238328
Mo102 ,0.0105579
Mo103 ,0.0225124
Mo104 ,0.0390467
Mo105 ,0.0390901
Mo106 ,0.0319599
Mo107 ,0.0133732
Mo108 ,0.00385408
Mo109 ,0.00001302
Mo110 ,0.000000785
Mo111 ,0.0000000148
Mo112 ,3.95E-10
Mo113 ,4.2732E-10
Mo114 ,0.0000000425991
Mo115 ,0.00000000142526
Mo116 ,2.35E-12
Mo117 ,2.55198E-14
Tc93 ,0
Tc95 ,0
Tc95m ,0
Tc97 ,2.06E-12
Tc97m ,2.06E-12
Tc98 ,3.28E-10
Tc99 ,0.0000000123
Tc99m ,0.00000000289
Tc100 ,0.000000449
Tc101 ,0.00000805
Tc102 ,0.0000477
Tc102m ,0.0000477
Tc103 ,0.00070655
Tc104 ,0.00292532
Tc105 ,0.00926365
Tc106 ,0.0171026
Tc107 ,0.0228944
Tc108 ,0.0159992
Tc109 ,0.0061872
Tc110 ,0.00154379
Tc111 ,0.00016459
Tc112 ,0.00001855
Tc113 ,0.00000240957
Tc114 ,0.00001191
Tc115 ,0.00000098755
Tc116 ,0.000000014
Tc117 ,3.98532E-10
Tc118 ,6.29071E-13
Tc119 ,1.80105E-14
Ru95 ,0
Ru96 ,0
Ru97 ,0
Ru98 ,0
Ru99 ,3.59E-13
Ru100 ,4.29E-11
Ru101 ,0.00000000214
Ru102 ,0.0000001
Ru103 ,0.00000202
Ru104 ,0.00003072
Ru105 ,0.00024917
Ru106 ,0.00161524
Ru107 ,0.0053305
Ru108 ,0.0124978
Ru109 ,0.00757889
Ru109m ,0.00757889
Ru110 ,0.0127123
Ru111 ,0.00348026
Ru112 ,0.00159658
Ru113 ,0.00064231
Ru114 ,0.00042349
Ru115 ,0.000077291
Ru116 ,0.0000089
Ru117 ,0.000000613601
Ru118 ,0.0000000297994
Ru119 ,6.24982E-10
Ru120 ,4.69E-12
Ru121 ,3.26555E-14
Ru122 ,0
Ru124 ,0
Rh99 ,0
Rh101 ,0
Rh101m ,1.17E-14
Rh102 ,9.89E-13
Rh102m ,9.89E-13
Rh103 ,2.01E-11
Rh103m ,1.35E-10
Rh104 ,0.00000000164
Rh104m ,0.00000000492
Rh105 ,0.000000176
Rh105m ,0.0000000264
Rh106 ,0.00000182
Rh106m ,0.00000182
Rh107 ,0.00004635
Rh108 ,0.00014875
Rh108m ,0.00014875
Rh109 ,0.00006266
Rh109m ,0.00006266
Rh110 ,0.00017126
Rh110m ,0.00017126
Rh111 ,0.00034946
Rh112 ,0.00038155
Rh113 ,0.00045201
Rh114 ,0.00046662
Rh115 ,0.00037328
Rh116 ,0.00013115
Rh117 ,0.0000407
Rh118 ,0.00000676
Rh119 ,0.0000007
Rh120 ,0.0000000198
Rh121 ,5.09967E-10
Rh122 ,6.34E-12
Rh123 ,5.96E-14
Rh124 ,0
Rh125 ,  
Pd99 ,0
Pd101 ,0
Pd102 ,0
Pd103 ,0
Pd104 ,1.42E-13
Pd105 ,1.24E-11
Pd106 ,8.91E-10
Pd107 ,0.0000000117
Pd107m ,0.0000000217
Pd108 ,0.000000887
Pd109 ,4.28E-10
Pd109m ,7.94E-10
Pd110 ,0.0000000214
Pd111 ,0.0000000314
Pd111m ,0.0000000584
Pd112 ,0.000000537
Pd113 ,0.00000218
Pd114 ,0.00009603
Pd115 ,0.00024115
Pd116 ,0.00033064
Pd117 ,0.00028742
Pd118 ,0.00019807
Pd119 ,0.00006573
Pd120 ,0.00000905
Pd121 ,0.000000827
Pd122 ,0.0000000521
Pd123 ,0.00000000176
Pd124 ,0
Pd125 ,0
Pd126 ,0
Pd127 ,0
Pd128 ,0
Pd129 ,0
Pd130 ,1.23E-14
Ag103 ,0
Ag105 ,0
Ag105m ,0
Ag106 ,0
Ag106m ,0
Ag107 ,8.07E-14
Ag107m ,5.4E-13
Ag108 ,2.55E-11
Ag108m ,2.55E-11
Ag109 ,0
Ag109m ,0
Ag110 ,0
Ag110m ,0
Ag111 ,0
Ag111m ,0
Ag112 ,1.57E-13
Ag113 ,4.72E-13
Ag113m ,3.16E-12
Ag114 ,0.000000513
Ag115 ,0.00000329
Ag115m ,0.00000329
Ag116 ,0.00001413
Ag116m ,0.00001413
Ag117 ,0.00004854
Ag117m ,0.00004854
Ag118 ,0.00009163
Ag118m ,0.00009163
Ag119 ,0.00023551
Ag120 ,0.00004928
Ag120m ,0.00004928
Ag121 ,0.00003984
Ag122 ,0.000004235
Ag122m ,0.000004235
Ag123 ,0.00000136
Ag124 ,1.64E-11
Ag125 ,1.42E-12
Ag126 ,1.59E-13
Ag127 ,2.15E-14
Ag128 ,0
Ag129 ,2.41167E-16
Ag130 ,8.09E-10
Ag131 ,1.08927E-11
Ag132 ,2.87093E-13
Cd105 ,0
Cd106 ,0
Cd107 ,0
Cd108 ,0
Cd109 ,0
Cd110 ,0
Cd111 ,0
Cd111m ,0
Cd112 ,0
Cd113 ,0
Cd113m ,0
Cd114 ,3.1E-10
Cd115 ,0.00000000371
Cd115m ,0.0000000124
Cd116 ,0.000000344
Cd117 ,0.000000893
Cd117m ,0.00000299
Cd118 ,0.00003133
Cd119 ,0.00005767
Cd119m ,0.00005767
Cd120 ,0.00018887
Cd121 ,0.000105845
Cd121m ,0.000105845
Cd122 ,0.00018369
Cd123 ,0.00009051
Cd124 ,0.00000422
Cd125 ,0.000000997
Cd126 ,0.000000465
Cd127 ,0.000000188
Cd128 ,0.0000000446
Cd129 ,0.0000000072
Cd130 ,0.00000534
Cd131 ,0.000000377989
Cd132 ,0.0000000135997
Cd133 ,9.86069E-11
Cd134 ,1.28E-12
Cd136 ,0
In107 ,0
In109 ,0
In111 ,0
In112 ,0
In112m ,0
In113 ,0
In113m ,0
In114 ,0
In114m ,0
In115 ,8.58E-13
In115m ,2.01E-13
In116 ,2.86E-11
In116m ,2.86E-11
In116n ,2.86E-11
In117 ,0.00000000393
In117m ,9.21E-10
In118 ,0.000000102
In118m ,0.000000017
In118n ,0.000000017
In119 ,0.00000187
In119m ,0.000000439
In120 ,0.00000401333
In120m ,0.00000401333
In120n ,0.00000401333
In121 ,0.00004385
In121m ,0.00001029
In122 ,0.00004308
In122m ,0.00004308
In122n ,0.00004308
In123 ,0.00019303
In123m ,0.00004528
In124 ,0.000155835
In124m ,0.000155835
In125 ,0.00011831
In125m ,0.00011831
In126 ,0.00014326
In126m ,0.00014326
In127 ,0.00021849
In127m ,0.00021849
In128 ,0.000155715
In128m ,0.000155715
In129 ,0.00011629
In129m ,0.00011629
In130 ,0.000234887
In130m ,0.000234887
In130n ,0.000234887
In131 ,0.000101555
In131m ,0.000101555
In132 ,0.00002317
In133 ,0.0000015399
In134 ,0.0000000357
In135 ,1.37456E-10
In136 ,3.14E-12
Sn111 ,0
Sn112 ,0
Sn113 ,0
Sn113m ,0
Sn114 ,0
Sn115 ,0
Sn116 ,0
Sn117 ,2.295E-13
Sn117m ,2.295E-13
Sn118 ,6.61E-11
Sn119 ,9.31E-10
Sn119m ,0.00000000312
Sn120 ,0.000000106
Sn121 ,0.00000046
Sn121m ,0.00000113
Sn122 ,0.00001646
Sn123 ,0.00006107
Sn123m ,0.00002495
Sn124 ,0.00029036
Sn125 ,0.00026139
Sn125m ,0.00010676
Sn126 ,0.00109185
Sn127 ,0.00216652
Sn127m ,0.00088492
Sn128 ,0.00311248
Sn128m ,0.00311248
Sn129 ,0.00786071
Sn129m ,0.00320703
Sn130 ,0.00632005
Sn130m ,0.00632005
Sn131 ,0.00479445
Sn131m ,0.00479445
Sn132 ,0.00446882
Sn133 ,0.00093867
Sn134 ,0.00010183
Sn135 ,0.00000476986
Sn136 ,0.000000145
Sn137 ,0.00000000243
Sn138 ,2.93E-11
Sn139 ,6.65917E-13
Sb113 ,0
Sb115 ,0
Sb117 ,0
Sb118 ,0
Sb118m ,0
Sb119 ,1.88E-13
Sb120 ,7.69E-12
Sb120m ,1.11E-11
Sb121 ,0.00000000142
Sb122 ,0.0000000242
Sb122m ,0.0000000273
Sb123 ,0.00000122
Sb124 ,0.000000126667
Sb124m ,0.000000126667
Sb124n ,0.000000126667
Sb125 ,0.00000158
Sb126 ,0.00000415
Sb126m ,0.00000353
Sb126n ,0.00000353
Sb127 ,0.00009695
Sb128 ,0.00015915
Sb128m ,0.00027098
Sb129 ,0.00223615
Sb130 ,0.00276482
Sb130m ,0.00470766
Sb131 ,0.018621
Sb132 ,0.0129346
Sb132m ,0.00936642
Sb133 ,0.0182309
Sb134 ,0.00303161
Sb134m ,0.00303161
Sb135 ,0.00127294
Sb136 ,0.00012583
Sb137 ,0.00000913
Sb138 ,0.000000337
Sb139 ,0.0000000103993
Sb140 ,5.53076E-11
Sb141 ,4.27388E-12
Sb142 ,4.79192E-14
Te115 ,0
Te117 ,0
Te118 ,0
Te119 ,0
Te120 ,0
Te121 ,4.74E-14
Te121m ,4.74E-14
Te122 ,1.78E-11
Te123 ,3.42E-10
Te123m ,0.00000000114
Te124 ,6.2E-13
Te125 ,1.63E-12
Te125m ,5.45E-12
Te126 ,2.05E-10
Te127 ,0.00000000149
Te127m ,0.00000000364
Te128 ,0.0000000968
Te129 ,0.000000467
Te129m ,0.00000114
Te130 ,0.0007871
Te131 ,0.00143158
Te131m ,0.00350491
Te132 ,0.0207571
Te133 ,0.0124948
Te133m ,0.030591
Te134 ,0.0531169
Te135 ,0.0316091
Te136 ,0.0127704
Te137 ,0.00270263
Te138 ,0.00040699
Te139 ,0.00003665
Te140 ,0.00000261994
Te141 ,0.000000148308
Te142 ,0.00000000226995
Te143 ,1.38168E-11
Te144 ,1.35229E-12
I121 ,0
I123 ,4.73E-14
I125 ,0
I126 ,0
I127 ,0
I128 ,0
I129 ,3.2E-13
I130 ,0.0000014
I130m ,0.0000006
I131 ,0.00004964
I132 ,0.000300225
I132m ,0.000300225
I133 ,0.00241184
I133m ,0.00241184
I134 ,0.00929003
I134m ,0.00672789
I135 ,0.0344744
I136 ,0.0179568
I136m ,0.0179208
I137 ,0.0271432
I138 ,0.0108174
I139 ,0.00365907
I140 ,0.00071129
I141 ,0.000102762
I142 ,0.00000679
I143 ,0.000000215772
I144 ,0.00000001547
I145 ,5.04293E-11
I146 ,1.37425E-12
I147 ,5.25882E-13
Xe124 ,0
Xe125 ,0
Xe125m ,0
Xe126 ,0
Xe127 ,0
Xe127m ,0
Xe128 ,0
Xe129 ,0
Xe129m ,0
Xe130 ,5.54E-10
Xe131 ,0.0000000121
Xe131m ,0.0000000296
Xe132 ,0.00000221
Xe133 ,0.00001624
Xe133m ,0.00003975
Xe134 ,0.00023988
Xe134m ,0.00055972
Xe135 ,0.0014505
Xe135m ,0.00355052
Xe136 ,0.0192228
Xe137 ,0.0351416
Xe138 ,0.0461399
Xe139 ,0.037278
Xe140 ,0.0245879
Xe141 ,0.00911633
Xe142 ,0.0022343
Xe143 ,0.000166107
Xe143m ,0.000166107
Xe144 ,0.0000325145
Xe145 ,0.00000174995
Xe146 ,0.0000000650986
Xe147 ,0.0000000182487
Xe148 ,1.59E-11
Xe149 ,5.13721E-13
Xe150 ,0
Cs127 ,0
Cs129 ,0
Cs131 ,9.08E-13
Cs132 ,1.58E-10
Cs133 ,0.0000000186
Cs134 ,0.0000004495
Cs134m ,0.0000004495
Cs135 ,0.000012815
Cs135m ,0.000012815
Cs136 ,0.00014986
Cs136m ,0.00014986
Cs137 ,0.00208135
Cs138 ,0.00341604
Cs138m ,0.00341636
Cs139 ,0.0178912
Cs140 ,0.0264298
Cs141 ,0.031019
Cs142 ,0.0180297
Cs143 ,0.00930267
Cs144 ,0.0024484
Cs145 ,0.0004964
Cs146 ,0.000053
Cs147 ,0.0000126444
Cs148 ,0.000000151
Cs149 ,0.00000000802256
Cs150 ,6.54E-11
Cs151 ,9.31523E-13
Cs152 ,1.08926E-14
Ba129 ,0
Ba131 ,0
Ba132 ,0
Ba133 ,4.54E-13
Ba134 ,1.07E-10
Ba135 ,0.0000000053
Ba135m ,0.0000000053
Ba136 ,0.0000002825
Ba136m ,0.0000002825
Ba137 ,0.00000344
Ba137m ,0.00000843
Ba138 ,0.00015348
Ba139 ,0.00105862
Ba140 ,0.00529778
Ba141 ,0.0144411
Ba142 ,0.0262526
Ba143 ,0.0304572
Ba144 ,0.0264623
Ba145 ,0.0130281
Ba146 ,0.0050774
Ba147 ,0.000989617
Ba148 ,0.00015217
Ba149 ,0.000012352
Ba150 ,0.000000757
Ba151 ,0.0000000323249
Ba152 ,5.15989E-10
Ba153 ,3.5729E-12
Ba154 ,4.88E-14
La133 ,0
La135 ,1.11E-13
La137 ,0.00000000187
La138 ,0.0000000733
La139 ,0.00000202
La140 ,0.00002748
La141 ,0.00027318
La142 ,0.00124595
La143 ,0.00478891
La144 ,0.00974731
La145 ,0.0149433
La146 ,0.00678125
La146m ,0.00678125
La147 ,0.00903804
La148 ,0.00341279
La149 ,0.00103419
La150 ,0.00017144
La151 ,0.0000223977
La152 ,0.00000132
La153 ,0.0000000557964
La154 ,0.0000000014
La155 ,7.03128E-12
La156 ,1.47557E-13
La157 ,3.77499E-15
Ce135 ,0
Ce137 ,2.13E-14
Ce138 ,3.6E-12
Ce139 ,8.61E-11
Ce139m ,2.11E-10
Ce140 ,0.0000000161
Ce141 ,0.000000451
Ce142 ,0.00000789
Ce143 ,0.00008124
Ce144 ,0.00060862
Ce145 ,0.00228479
Ce146 ,0.0069001
Ce147 ,0.0106286
Ce148 ,0.0125326
Ce149 ,0.00900059
Ce150 ,0.00502201
Ce151 ,0.00167115
Ce152 ,0.00037452
Ce153 ,0.0000434
Ce154 ,0.00000413
Ce155 ,0.000000243993
Ce156 ,0.00000000698985
Ce157 ,1.30996E-10
Ce158 ,1.77E-12
Ce159 ,2.15142E-14
Ce160 ,0
Pr139 ,0
Pr140 ,1.74E-13
Pr141 ,1.97E-11
Pr142 ,4.96E-10
Pr142m ,4.96E-10
Pr143 ,0.0000000404
Pr144 ,0.0000000873
Pr144m ,0.000000786
Pr145 ,0.00001242
Pr146 ,0.00010163
Pr147 ,0.00056276
Pr148 ,0.000793015
Pr148m ,0.000793015
Pr149 ,0.00371606
Pr150 ,0.0046464
Pr151 ,0.00487405
Pr152 ,0.00264193
Pr153 ,0.00105491
Pr154 ,0.00025338
Pr155 ,0.00005596
