Product ,  , 
Product ,  , 
Product , Yield , Error
Ge79 ,6.34360E-04,4.05990E-04
Ge79m ,6.34360E-04,4.05990E-04
Ge80 ,1.76903E-03,1.13218E-03
Ge81 ,1.90150E-03,1.21696E-03
Ge82 ,1.31477E-03,8.41452E-04
Ge83 ,6.11540E-04,3.91385E-04
Ge84 ,1.74950E-04,1.11968E-04
Ge85 ,2.35900E-05,1.50976E-05
Ge86 ,2.41000E-06,1.54240E-06
Ge87 ,1.59945E-07,1.02365E-07
Ge88 ,8.88999E-09,5.68960E-09
Ge89 ,6.39992E-10,4.09595E-10
Ge90 ,  , 
As69 ,0.00000E+00,0.00000E+00
As71 ,1.77000E-13,1.13280E-13
As72 ,9.21999E-12,5.90080E-12
As73 ,3.03000E-10,1.93920E-10
As74 ,1.22000E-09,7.80800E-10
As74m ,5.56000E-09,3.55840E-09
As75 ,1.12000E-07,7.16800E-08
As76 ,1.33000E-06,8.51200E-07
As77 ,1.17100E-05,7.49440E-06
As78 ,7.33700E-05,4.69568E-05
As79 ,3.40670E-04,2.18029E-04
As80 ,1.10370E-03,7.06368E-04
As81 ,2.78651E-03,1.78337E-03
As82 ,2.32441E-03,1.48762E-03
As82m ,2.32464E-03,1.48777E-03
As83 ,5.32319E-03,3.40684E-03
As84 ,1.97383E-03,1.26325E-03
As84m ,1.97383E-03,1.26325E-03
As85 ,1.42161E-03,9.09830E-04
As86 ,3.79700E-04,2.43008E-04
As87 ,6.59600E-05,4.22144E-05
As88 ,9.64999E-06,6.17600E-06
As89 ,8.60360E-07,5.50630E-07
As90 ,8.78739E-09,5.62393E-09
As91 ,1.27474E-09,8.15835E-10
As92 ,6.65557E-11,4.25956E-11
As93 ,  , 
Se72 ,0.00000E+00,0.00000E+00
Se73 ,4.32000E-14,2.76480E-14
Se73m ,0.00000E+00,0.00000E+00
Se74 ,2.66000E-12,1.70240E-12
Se75 ,1.07000E-10,6.84800E-11
Se76 ,3.05000E-09,1.95200E-09
Se77 ,5.22000E-09,3.34080E-09
Se77m ,6.01000E-08,3.84640E-08
Se78 ,9.82999E-07,6.29120E-07
Se79 ,1.04500E-05,6.68800E-06
Se79m ,7.87000E-07,5.03680E-07
Se80 ,8.95999E-05,5.73440E-05
Se81 ,4.41000E-05,2.82240E-05
Se81m ,5.07170E-04,3.24589E-04
Se82 ,2.23548E-03,1.43071E-03
Se83 ,5.46367E-03,3.49675E-03
Se83m ,6.75540E-04,4.32345E-04
Se84 ,1.12021E-02,2.57649E-03
Se85 ,5.03095E-03,3.21981E-03
Se85m ,5.01584E-03,3.21014E-03
Se86 ,6.61978E-03,4.23666E-03
Se87 ,2.85651E-03,1.82817E-03
Se88 ,1.06141E-03,6.79302E-04
Se89 ,2.34360E-04,1.49990E-04
Se90 ,3.44512E-05,2.20488E-05
Se91 ,3.69872E-06,2.36718E-06
Se92 ,2.60933E-07,1.66997E-07
Se93 ,6.73441E-09,4.31002E-09
Se94 ,3.89000E-10,2.48960E-10
Se95 ,  , 
Se96 ,1.36000E-13,8.70399E-14
Br75 ,0.00000E+00,0.00000E+00
Br77 ,5.09000E-12,3.25760E-12
Br77m ,3.12000E-11,1.99680E-11
Br78 ,1.35000E-09,8.63999E-10
Br79 ,5.57000E-09,3.56480E-09
Br79m ,3.42000E-08,2.18880E-08
Br80 ,1.23000E-07,7.87200E-08
Br80m ,6.98000E-07,4.46720E-07
Br81 ,1.31100E-05,8.39040E-06
Br82 ,1.12800E-04,7.21920E-05
Br82m ,2.47600E-05,1.58464E-05
Br83 ,9.49429E-04,6.07635E-04
Br84 ,9.48249E-04,6.06880E-04
Br84m ,3.36197E-03,2.15166E-03
Br85 ,9.24793E-03,2.95934E-03
Br86 ,7.37016E-03,4.71690E-03
Br86m ,7.36873E-03,4.71598E-03
Br87 ,1.46840E-02,4.69889E-03
Br88 ,1.31936E-02,4.22194E-03
Br89 ,6.85337E-03,4.38615E-03
Br90 ,2.42540E-03,1.55226E-03
Br91 ,6.39540E-04,4.09305E-04
Br92 ,1.12180E-04,7.17952E-05
Br93 ,9.05326E-06,5.79409E-06
Br94 ,1.05000E-06,6.72000E-07
Br95 ,1.34916E-08,8.63462E-09
Br96 ,2.36000E-09,1.51040E-09
Br97 ,1.05769E-10,6.76923E-11
Br98 ,  , 
Kr77 ,0.00000E+00,0.00000E+00
Kr78 ,1.80000E-13,1.15200E-13
Kr79 ,6.95000E-12,4.44800E-12
Kr79m ,6.95000E-12,4.44800E-12
Kr80 ,7.63000E-10,4.88320E-10
Kr81 ,3.06000E-08,1.95840E-08
Kr81m ,2.30000E-09,1.47200E-09
Kr82 ,9.40999E-07,6.02240E-07
Kr83 ,1.54300E-05,9.87519E-06
Kr83m ,1.91000E-06,1.22240E-06
Kr84 ,2.09690E-04,1.34202E-04
Kr85 ,1.08828E-03,6.96499E-04
Kr85m ,1.31570E-04,8.42048E-05
Kr86 ,4.46694E-03,2.85884E-03
Kr87 ,1.48402E-02,2.37444E-03
Kr88 ,2.10167E-02,3.36267E-03
Kr89 ,2.69914E-02,8.63724E-03
Kr90 ,2.09152E-02,6.69287E-03
Kr91 ,1.17800E-02,3.76961E-03
Kr92 ,4.87399E-03,3.11935E-03
Kr93 ,9.96669E-04,6.37868E-04
