Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Ga77 ; 1.39701E-5 ; 8.94086E-6 ; 1.70681E-4 ; 1.09236E-4
Ga78 ; 6.31504E-5 ; 4.04163E-5 ; 3.33071E-4 ; 2.13166E-4
Ga79 ; 1.83731E-4 ; 1.17588E-4 ; 6.08413E-4 ; 3.89384E-4
Ga80 ; 1.46571E-4 ; 9.38054E-5 ; 5.37852E-4 ; 3.44225E-4
Ga81 ; 1.47941E-4 ; 9.46822E-5 ; 3.38311E-4 ; 2.16519E-4
Ga82 ; 1.13161E-4 ; 7.24229E-5 ; 1.21661E-4 ; 7.78627E-5
Ga83 ; 3.93803E-5 ; 2.52034E-5 ; 3.40301E-5 ; 2.17793E-5
Ga84 ; 8.60006E-6 ; 5.50404E-6 ; 6.30003E-6 ; 4.03202E-6
Ga85 ; 9.64956E-7 ; 6.17572E-7 ; 6.10879E-7 ; 3.90963E-7
Ga86 ; 5.74004E-8 ; 3.67362E-8 ; 4.32002E-8 ; 2.76481E-8
Ga87 ; 3.3893E-9 ; 2.16915E-9 ; 6.61537E-10 ; 4.23384E-10
Ga88 ; 1.56421E-11 ; 1.0011E-11 ; 6.45402E-11 ; 4.13057E-11
Ga89 ; 1.61838E-12 ; 1.03576E-12 ; 1.1918E-11 ; 7.62751E-12
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge70 ; 0.0 ; 0.0 ; 1.32001E-13 ; 8.44804E-14
Ge71 ; 0.0 ; 0.0 ; 3.22001E-12 ; 2.06081E-12
Ge71m ; 0.0 ; 0.0 ; 3.22001E-12 ; 2.06081E-12
Ge72 ; 6.88004E-14 ; 4.40323E-14 ; 1.77001E-10 ; 1.1328E-10
Ge73 ; 5.38003E-12 ; 3.44322E-12 ; 4.44002E-9 ; 2.84161E-9
Ge73m ; 1.10001E-12 ; 7.04005E-13 ; 5.49002E-10 ; 3.51361E-10
Ge74 ; 1.84001E-10 ; 1.17761E-10 ; 7.37003E-8 ; 4.71682E-8
Ge75 ; 4.23003E-10 ; 2.70722E-10 ; 6.51003E-8 ; 4.16642E-8
Ge75m ; 3.10002E-9 ; 1.98401E-9 ; 7.48003E-7 ; 4.78722E-7
Ge76 ; 5.04003E-8 ; 3.22562E-8 ; 6.16003E-6 ; 3.94242E-6
Ge77 ; 1.02001E-6 ; 6.52804E-7 ; 2.87301E-5 ; 1.83873E-5
Ge77m ; 1.38001E-7 ; 8.83206E-8 ; 2.16001E-6 ; 1.38241E-6
Ge78 ; 1.49901E-5 ; 9.59366E-6 ; 1.40721E-4 ; 9.00612E-5
Ge79 ; 5.26853E-5 ; 3.37186E-5 ; 2.95196E-4 ; 1.88926E-4
Ge79m ; 5.26853E-5 ; 3.37186E-5 ; 2.95196E-4 ; 1.88926E-4
Ge80 ; 2.33711E-4 ; 1.49575E-4 ; 0.00121236 ; 7.75907E-4
Ge81 ; 5.62954E-4 ; 3.6029E-4 ; 0.00183002 ; 0.00117121
Ge82 ; 0.00124097 ; 7.94219E-4 ; 0.00165321 ; 0.00105805
Ge83 ; 0.00115294 ; 7.3788E-4 ; 0.00117612 ; 7.52714E-4
Ge84 ; 8.47555E-4 ; 5.42435E-4 ; 5.82892E-4 ; 3.73051E-4
Ge85 ; 2.83792E-4 ; 1.81627E-4 ; 1.51181E-4 ; 9.67556E-5
Ge86 ; 6.09604E-5 ; 3.90147E-5 ; 2.98801E-5 ; 1.91233E-5
Ge87 ; 3.76663E-6 ; 2.41065E-6 ; 3.27935E-6 ; 2.09879E-6
Ge88 ; 4.14987E-7 ; 2.65592E-7 ; 3.19937E-7 ; 2.0476E-7
Ge89 ; 3.96139E-8 ; 2.53529E-8 ; 5.90795E-8 ; 3.78109E-8
Ge90 ; 4.96919E-11 ; 3.18028E-11 ; 2.82211E-10 ; 1.80615E-10
Ge91 ; 8.78838E-12 ; 5.62456E-12 ; 4.80738E-11 ; 3.07672E-11
Ge92 ; 9.24813E-13 ; 5.9188E-13 ;  ; 
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0 ; 2.56001E-14 ; 1.63841E-14
As73 ; 0.0 ; 0.0 ; 1.92001E-12 ; 1.22881E-12
As74 ; 0.0 ; 0.0 ; 1.34001E-11 ; 8.57604E-12
As74m ; 1.53001E-14 ; 9.79206E-15 ; 6.11003E-11 ; 3.91042E-11
As75 ; 1.37001E-12 ; 8.76806E-13 ; 2.09001E-9 ; 1.33761E-9
As76 ; 5.60004E-11 ; 3.58402E-11 ; 4.06002E-8 ; 2.59841E-8
As77 ; 4.35003E-9 ; 2.78402E-9 ; 5.25002E-7 ; 3.36001E-7
As78 ; 1.54001E-7 ; 9.85606E-8 ; 6.02003E-6 ; 3.85282E-6
As79 ; 3.45002E-6 ; 2.20801E-6 ; 6.17203E-5 ; 3.9501E-5
As80 ; 1.98301E-5 ; 1.26913E-5 ; 3.10591E-4 ; 1.98778E-4
As81 ; 1.38801E-4 ; 8.88326E-5 ; 0.00110157 ; 7.05008E-4
As82 ; 3.67722E-4 ; 2.35342E-4 ; 0.00119148 ; 7.62544E-4
As82m ; 3.67722E-4 ; 2.35342E-4 ; 0.00119218 ; 7.62992E-4
As83 ; 0.00240527 ; 0.00153937 ; 0.0038872 ; 0.00248781
As84 ; 0.00180259 ; 0.00115366 ; 0.00243811 ; 0.00156039
As84m ; 0.00180259 ; 0.00115366 ; 0.00243811 ; 0.00156039
As85 ; 0.00377349 ; 0.00241504 ; 0.00315347 ; 0.00201822
As86 ; 0.0022688 ; 0.00145203 ; 0.00164246 ; 0.00105117
As87 ; 4.97223E-4 ; 3.18223E-4 ; 4.77122E-4 ; 3.05358E-4
As88 ; 1.66101E-4 ; 1.06305E-4 ; 1.25411E-4 ; 8.02627E-5
As89 ; 3.46206E-5 ; 2.21572E-5 ; 2.1591E-5 ; 1.38182E-5
As90 ; 8.82518E-7 ; 5.64811E-7 ; 1.39897E-6 ; 8.95341E-7
As91 ; 1.69168E-7 ; 1.08268E-7 ; 2.3831E-7 ; 1.52518E-7
As92 ; 1.64245E-8 ; 1.05117E-8 ; 1.99873E-9 ; 1.27919E-9
As93 ; 2.33867E-11 ; 1.49675E-11 ; 7.27025E-11 ; 4.65296E-11
As94 ; 2.41605E-12 ; 1.54627E-12 ; 8.26922E-12 ; 5.2923E-12
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se75 ; 0.0 ; 0.0 ; 3.93002E-13 ; 2.51521E-13
Se76 ; 0.0 ; 0.0 ; 2.03001E-11 ; 1.29921E-11
Se77 ; 1.11001E-13 ; 7.10405E-14 ; 5.73002E-11 ; 3.66722E-11
Se77m ; 8.16005E-13 ; 5.22243E-13 ; 6.59003E-10 ; 4.21762E-10
Se78 ; 1.20001E-10 ; 7.68005E-11 ; 2.16001E-8 ; 1.38241E-8
Se79 ; 6.89004E-9 ; 4.40963E-9 ; 5.37002E-7 ; 3.43681E-7
Se79m ; 9.40006E-10 ; 6.01604E-10 ; 4.05002E-8 ; 2.59201E-8
Se80 ; 1.51001E-7 ; 9.66406E-8 ; 7.62003E-6 ; 4.87682E-6
Se81 ; 3.53002E-7 ; 2.25921E-7 ; 5.52002E-6 ; 3.53282E-6
Se81m ; 2.59002E-6 ; 1.65761E-6 ; 6.34703E-5 ; 4.0621E-5
Se82 ; 4.88303E-5 ; 3.12514E-5 ; 3.76632E-4 ; 2.41044E-4
Se83 ; 2.78782E-4 ; 1.7842E-4 ; 0.00134308 ; 8.59568E-4
Se83m ; 5.71004E-5 ; 3.65442E-5 ; 1.66001E-4 ; 1.0624E-4
Se84 ; 0.00174063 ; 0.001114 ; 0.00370585 ; 0.00237174
Se85 ; 0.00246317 ; 0.00157643 ; 0.00336238 ; 0.00215193
Se85m ; 0.00236218 ; 0.00151179 ; 0.00329449 ; 0.00210848
Se86 ; 0.00834567 ; 0.00267062 ; 0.00845413 ; 0.00541064
Se87 ; 0.00848079 ; 0.00271385 ; 0.00606661 ; 0.00388263
Se88 ; 0.00541899 ; 0.00346816 ; 0.00403131 ; 0.00258004
Se89 ; 0.00333874 ; 0.00213679 ; 0.00185785 ; 0.00118902
Se90 ; 0.00106301 ; 6.80329E-4 ; 5.11263E-4 ; 3.27208E-4
Se91 ; 1.88002E-4 ; 1.20321E-4 ; 8.7092E-5 ; 5.57389E-5
Se92 ; 1.97837E-5 ; 1.26616E-5 ; 9.90804E-6 ; 6.34115E-6
Se93 ; 5.72447E-7 ; 3.66366E-7 ; 3.60399E-7 ; 2.30655E-7
Se94 ; 6.4098E-8 ; 4.10227E-8 ; 4.09919E-8 ; 2.62348E-8
Se95 ; 5.91171E-11 ; 3.78349E-11 ; 4.00846E-10 ; 2.56542E-10
Se96 ; 2.47002E-11 ; 1.58081E-11 ; 3.09001E-11 ; 1.97761E-11
Se97 ; 3.7457E-13 ; 2.39725E-13 ;  ; 
Br75 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77m ; 0.0 ; 0.0 ; 5.99003E-14 ; 3.83362E-14
Br78 ; 0.0 ; 0.0 ; 5.73002E-12 ; 3.66722E-12
Br79 ; 1.36001E-13 ; 8.70406E-14 ; 5.83002E-11 ; 3.73122E-11
Br79m ; 5.11003E-13 ; 3.27042E-13 ; 3.58002E-10 ; 2.29121E-10
Br80 ; 8.26005E-12 ; 5.28643E-12 ; 2.27001E-9 ; 1.45281E-9
Br80m ; 2.93002E-11 ; 1.87521E-11 ; 1.29001E-8 ; 8.25604E-9
Br81 ; 2.54002E-9 ; 1.62561E-9 ; 3.71002E-7 ; 2.37441E-7
Br82 ; 8.94006E-8 ; 5.72164E-8 ; 7.37003E-7 ; 4.71682E-7
Br82m ; 3.31002E-8 ; 2.11841E-8 ; 9.94004E-7 ; 6.36163E-7
Br83 ; 2.89002E-6 ; 1.84961E-6 ; 5.72602E-5 ; 3.66466E-5
Br84 ; 1.50101E-5 ; 9.60646E-6 ; 9.52204E-5 ; 6.09411E-5
Br84m ; 3.18902E-5 ; 2.04097E-5 ; 3.37611E-4 ; 2.16071E-4
Br85 ; 3.95153E-4 ; 2.52898E-4 ; 0.00158214 ; 0.00101257
Br86 ; 9.13966E-4 ; 5.84938E-4 ; 0.00237552 ; 0.00152033
Br86m ; 9.13966E-4 ; 5.84938E-4 ; 0.002444 ; 0.00156416
Br87 ; 0.00657475 ; 0.00210392 ; 0.00911808 ; 0.00291779
Br88 ; 0.008997 ; 0.00404865 ; 0.0106034 ; 0.00243878
Br89 ; 0.016227 ; 0.00519263 ; 0.0132119 ; 0.00303875
Br90 ; 0.0134053 ; 0.0042897 ; 0.00995531 ; 0.0031857
Br91 ; 0.00759045 ; 0.00485789 ; 0.00445679 ; 0.00285234
Br92 ; 0.00233881 ; 0.00149684 ; 0.00133518 ; 8.54512E-4
Br93 ; 5.00291E-4 ; 3.20186E-4 ; 1.3171E-4 ; 8.42945E-5
Br94 ; 7.89505E-5 ; 5.05283E-5 ; 4.18902E-5 ; 2.68097E-5
Br95 ; 1.13795E-6 ; 7.28289E-7 ; 1.98706E-6 ; 1.27172E-6
Br96 ; 3.52002E-7 ; 2.25281E-7 ; 2.52001E-7 ; 1.61281E-7
Br97 ; 7.21013E-9 ; 4.61448E-9 ; 3.02129E-9 ; 1.93362E-9
Br98 ; 9.79989E-11 ; 6.27193E-11 ; 2.48076E-10 ; 1.58769E-10
Br99 ; 7.90978E-12 ; 5.06226E-12 ; 7.91732E-11 ; 5.06708E-11
Br100 ; 1.37952E-13 ; 8.82895E-14 ;  ; 
Kr77 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr78 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr79 ; 0.0 ; 0.0 ; 1.07E-14 ; 6.84803E-15
Kr79m ; 0.0 ; 0.0 ; 1.07E-14 ; 6.84803E-15
Kr80 ; 0.0 ; 0.0 ; 2.19001E-12 ; 1.40161E-12
Kr81 ; 1.11001E-13 ; 7.10405E-14 ; 1.40001E-10 ; 8.96004E-11
Kr81m ; 1.51001E-14 ; 9.66406E-15 ; 1.05E-11 ; 6.72003E-12
Kr82 ; 2.16001E-11 ; 1.38241E-11 ; 6.36003E-9 ; 4.07042E-9
Kr83 ; 1.54001E-9 ; 9.85606E-10 ; 1.55001E-7 ; 9.92004E-8
Kr83m ; 3.15002E-10 ; 2.01601E-10 ; 1.92001E-8 ; 1.22881E-8
Kr84 ; 9.34006E-8 ; 5.97764E-8 ; 3.76002E-6 ; 2.40641E-6
Kr85 ; 1.99001E-6 ; 1.27361E-6 ; 3.23801E-5 ; 2.07233E-5
Kr85m ; 4.08003E-7 ; 2.61122E-7 ; 4.00002E-6 ; 2.56001E-6
Kr86 ; 3.85502E-5 ; 2.46722E-5 ; 2.92311E-4 ; 1.87079E-4
Kr87 ; 3.46632E-4 ; 2.21845E-4 ; 8.27624E-4 ; 2.6484E-4
Kr88 ; 0.00367639 ; 0.00235289 ; 0.00557199 ; 6.12919E-4
Kr89 ; 0.00646131 ; 0.00290759 ; 0.012629 ; 0.00138919
Kr90 ; 0.0185007 ; 0.00425516 ; 0.0187712 ; 0.0015017
Kr91 ; 0.0261698 ; 0.00287868 ; 0.0209268 ; 0.00167414
Kr92 ; 0.0250329 ; 0.00200263 ; 0.0157815 ; 9.46889E-4
Kr93 ; 0.0142627 ; 0.00156889 ; 0.00720586 ; 0.00115294
Kr94 ; 0.00734379 ; 0.00470002 ; 0.00333617 ; 0.00213515
Kr95 ; 0.00126464 ; 8.0937E-4 ; 7.26186E-4 ; 4.64759E-4
Kr96 ; 3.41852E-4 ; 2.18785E-4 ; 1.49271E-4 ; 9.55332E-5
Kr97 ; 8.01284E-6 ; 5.12822E-6 ; 1.4977E-5 ; 9.58531E-6
Kr98 ; 2.59992E-6 ; 1.66395E-6 ; 1.22976E-6 ; 7.87045E-7
Kr99 ; 1.93611E-7 ; 1.23911E-7 ; 3.92475E-7 ; 2.51184E-7
Kr100 ; 3.65989E-9 ; 2.34233E-9 ; 2.41001E-9 ; 1.54241E-9
Kr101 ; 2.24023E-11 ; 1.43374E-11 ; 1.24024E-10 ; 7.93755E-11
Kr102 ; 2.93091E-12 ; 1.87578E-12 ; 1.38062E-11 ; 8.83594E-12
Rb79 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb81 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb83 ; 3.52002E-14 ; 2.25281E-14 ; 4.06002E-11 ; 2.59841E-11
Rb84 ; 5.72004E-12 ; 3.66082E-12 ; 2.50001E-9 ; 1.60001E-9
Rb85 ; 1.10001E-9 ; 3.52002E-10 ; 6.65003E-8 ; 4.25602E-8
Rb86 ; 1.40001E-8 ; 8.96006E-9 ; 6.45003E-8 ; 4.12802E-8
Rb86m ; 1.40001E-8 ; 8.96006E-9 ; 6.45003E-8 ; 4.12802E-8
Rb87 ; 1.44001E-6 ; 4.60803E-7 ; 1.89501E-5 ; 1.21281E-5
Rb88 ; 2.02101E-5 ; 1.29345E-5 ; 1.50171E-4 ; 9.61092E-5
Rb89 ; 8.85536E-4 ; 3.98491E-4 ; 0.00111077 ; 7.10896E-4
Rb90 ; 2.80792E-4 ; 1.79707E-4 ; 4.78042E-4 ; 3.05947E-4
Rb90m ; 0.0014058 ; 8.99711E-4 ; 0.00386194 ; 0.00247164
Rb91 ; 0.00675431 ; 0.00216138 ; 0.0127636 ; 0.00408435
Rb92 ; 0.0147487 ; 0.0033922 ; 0.0189465 ; 0.00606287
Rb93 ; 0.0261544 ; 0.00836939 ; 0.0265928 ; 0.0085097
Rb94 ; 0.0253653 ; 0.00811689 ; 0.0243394 ; 0.00778862
