Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Ti66 ; 7.98702E-19 ; 5.11169E-19 ;  ; 
V66 ; 1.41848E-14 ; 9.07827E-15 ; 2.37992E-14 ; 1.52315E-14
V67 ; 2.75346E-16 ; 1.76221E-16 ; 3.32786E-15 ; 2.12983E-15
V68 ; 1.6886E-17 ; 1.0807E-17 ; 4.29596E-16 ; 2.74941E-16
V69 ; 2.81559E-18 ; 1.80198E-18 ;  ; 
Cr66 ; 1.70859E-11 ; 1.0935E-11 ; 1.17977E-10 ; 7.55051E-11
Cr67 ; 6.73977E-12 ; 4.31345E-12 ; 1.64967E-11 ; 1.05579E-11
Cr68 ; 4.47986E-13 ; 2.86711E-13 ; 2.12958E-12 ; 1.36293E-12
Cr69 ; 6.89185E-14 ; 4.41079E-14 ; 7.92635E-14 ; 5.07286E-14
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cr71 ; 1.15325E-17 ; 7.38079E-18 ;  ; 
Mn66 ; 2.02001E-9 ; 1.29281E-9 ; 1.94001E-8 ; 1.24161E-8
Mn67 ; 2.67002E-9 ; 1.70881E-9 ; 6.98003E-9 ; 4.46722E-9
Mn68 ; 5.04003E-10 ; 3.22562E-10 ; 2.29001E-9 ; 1.46561E-9
Mn69 ; 6.02315E-11 ; 3.85481E-11 ; 3.92922E-10 ; 2.5147E-10
Mn70 ; 4.45003E-12 ; 2.84802E-12 ; 5.46002E-11 ; 3.49441E-11
Mn71 ; 2.2199E-13 ; 1.42074E-13 ; 4.88002E-12 ; 3.12321E-12
Mn72 ; 1.9449E-15 ; 1.24474E-15 ; 2.33958E-13 ; 1.49733E-13
Mn73 ; 3.91367E-16 ; 2.50475E-16 ; 2.96482E-14 ; 1.89748E-14
Mn74 ; 1.66975E-17 ; 1.06864E-17 ;  ; 
Fe66 ; 2.17001E-8 ; 1.38881E-8 ; 2.77001E-7 ; 1.77281E-7
Fe67 ; 7.40005E-8 ; 4.73603E-8 ; 2.41001E-7 ; 1.54241E-7
Fe68 ; 4.30003E-8 ; 2.75202E-8 ; 1.92001E-7 ; 1.22881E-7
Fe69 ; 1.44001E-8 ; 9.21606E-9 ; 8.34004E-8 ; 5.33762E-8
Fe70 ; 3.49002E-9 ; 2.23361E-9 ; 2.92001E-8 ; 1.86881E-8
Fe71 ; 4.97003E-10 ; 3.18082E-10 ; 6.82003E-9 ; 4.36482E-9
Fe72 ; 5.15984E-11 ; 3.3023E-11 ; 1.15977E-9 ; 7.42253E-10
Fe73 ; 9.57967E-12 ; 6.13099E-12 ; 1.46971E-10 ; 9.40614E-11
Fe74 ; 4.42986E-13 ; 2.83511E-13 ; 1.03E-11 ; 6.59203E-12
Fe75 ; 7.06494E-15 ; 4.52156E-15 ; 5.92963E-13 ; 3.79496E-13
Fe76 ; 0.0 ; 0.0 ; 2.23001E-14 ; 1.42721E-14
Fe77 ; 3.1292E-16 ; 2.00269E-16 ;  ; 
Co66 ; 1.25001E-8 ; 8.00005E-9 ; 4.16002E-7 ; 2.66241E-7
Co67 ; 1.18001E-7 ; 7.55205E-8 ; 8.18003E-7 ; 5.23522E-7
Co68 ; 1.61001E-7 ; 1.03041E-7 ; 1.46001E-6 ; 9.34404E-7
Co69 ; 1.59001E-7 ; 1.01761E-7 ; 1.51001E-6 ; 9.664039E-7
Co70 ; 9.81006E-8 ; 6.27844E-8 ; 1.26001E-6 ; 8.06403E-7
Co71 ; 4.36003E-8 ; 2.79042E-8 ; 7.33003E-7 ; 4.69122E-7
Co72 ; 1.28001E-8 ; 8.19205E-9 ; 3.09001E-7 ; 1.97761E-7
Co73 ; 7.85005E-9 ; 5.02403E-9 ; 1.02E-7 ; 6.52803E-8
Co74 ; 1.07001E-9 ; 6.84804E-10 ; 1.87001E-8 ; 1.19681E-8
Co75 ; 1.35994E-10 ; 8.7036E-11 ; 2.93942E-9 ; 1.88123E-9
Co76 ; 1.08001E-11 ; 6.91204E-12 ; 2.78001E-10 ; 1.77921E-10
Co77 ; 6.02343E-12 ; 3.85499E-12 ; 7.34145E-12 ; 4.69853E-12
Co78 ; 5.91763E-14 ; 3.78728E-14 ; 9.41884E-13 ; 6.02806E-13
Co79 ; 1.39145E-14 ; 8.9053E-15 ; 3.74329E-13 ; 2.39571E-13
Ni66 ; 8.07005E-10 ; 5.16483E-10 ; 6.87003E-8 ; 4.39682E-8
Ni67 ; 1.95001E-8 ; 1.24801E-8 ; 3.09001E-7 ; 1.97761E-7
Ni68 ; 7.42005E-8 ; 4.74883E-8 ; 1.22001E-6 ; 7.80803E-7
Ni69 ; 1.74001E-7 ; 1.11361E-7 ; 2.82001E-6 ; 1.80481E-6
Ni70 ; 2.92002E-7 ; 1.86881E-7 ; 5.21002E-6 ; 3.33441E-6
Ni71 ; 3.07002E-7 ; 1.96481E-7 ; 7.05003E-6 ; 4.51202E-6
Ni72 ; 2.69002E-7 ; 1.72161E-7 ; 6.92003E-6 ; 4.42882E-6
Ni73 ; 4.26003E-7 ; 2.72642E-7 ; 5.58002E-6 ; 3.57122E-6
Ni74 ; 1.90001E-7 ; 1.21601E-7 ; 2.58001E-6 ; 1.65121E-6
Ni75 ; 6.65004E-8 ; 4.25603E-8 ; 1.01E-6 ; 6.46403E-7
Ni76 ; 1.76001E-8 ; 1.12641E-8 ; 2.49001E-7 ; 1.59361E-7
Ni77 ; 6.69402E-9 ; 4.28417E-9 ; 3.63928E-8 ; 2.32914E-8
Ni78 ; 1.56995E-9 ; 1.00477E-9 ; 4.66908E-9 ; 2.98821E-9
Ni79 ; 3.40592E-10 ; 2.17979E-10 ; 1.85561E-9 ; 1.18759E-9
Ni80 ; 5.36003E-12 ; 3.43042E-12 ; 2.50001E-11 ; 1.60001E-11
Ni81 ; 1.63117E-13 ; 1.04395E-13 ; 1.62157E-12 ; 1.03781E-12
Ni82 ; 0.0 ; 0.0 ; 1.28001E-14 ; 8.19203E-15
Cu66 ; 1.96001E-12 ; 1.25441E-12 ; 9.57004E-10 ; 6.12483E-10
Cu67 ; 1.58001E-10 ; 1.01121E-10 ; 1.17E-8 ; 7.48803E-9
Cu68 ; 4.33003E-10 ; 2.77122E-10 ; 1.95001E-8 ; 1.24801E-8
Cu68m ; 1.17001E-9 ; 7.48805E-10 ; 8.89004E-8 ; 5.68962E-8
Cu69 ; 1.16001E-8 ; 7.42405E-9 ; 5.85002E-7 ; 3.74402E-7
Cu70 ; 1.05001E-8 ; 6.72004E-9 ; 3.60002E-7 ; 2.30401E-7
Cu70m ; 3.71002E-8 ; 2.37442E-8 ; 2.04001E-6 ; 1.30561E-6
Cu71 ; 1.38001E-7 ; 8.83206E-8 ; 7.30003E-6 ; 4.67202E-6
Cu72 ; 2.87002E-7 ; 1.83681E-7 ; 1.57501E-5 ; 1.008E-5
Cu73 ; 1.24001E-6 ; 7.93605E-7 ; 2.89701E-5 ; 1.85409E-5
Cu74 ; 1.36001E-6 ; 8.70406E-7 ; 3.13301E-5 ; 2.00513E-5
Cu75 ; 1.41001E-6 ; 9.02406E-7 ; 2.88801E-5 ; 1.84833E-5
Cu76 ; 9.79006E-7 ; 6.26564E-7 ; 1.75401E-5 ; 1.12256E-5
Cu77 ; 1.22001E-6 ; 7.80805E-7 ; 6.63003E-6 ; 4.24322E-6
Cu78 ; 7.98005E-7 ; 5.10723E-7 ; 2.25001E-6 ; 1.44001E-6
Cu79 ; 2.97661E-7 ; 1.90503E-7 ; 6.78147E-7 ; 4.34014E-7
Cu80 ; 2.82002E-8 ; 1.80481E-8 ; 8.98004E-8 ; 5.74722E-8
Cu81 ; 3.13986E-9 ; 2.00951E-9 ; 8.03841E-9 ; 5.14458E-9
Cu82 ; 2.49002E-10 ; 1.59361E-10 ; 3.75002E-10 ; 2.40001E-10
Cu83 ; 3.81971E-12 ; 2.44461E-12 ; 1.61956E-11 ; 1.03652E-11
Cu84 ; 2.47259E-13 ; 1.58246E-13 ; 1.06491E-12 ; 6.81545E-13
Zn66 ; 0.0 ; 0.0 ; 1.16E-12 ; 7.42403E-13
Zn67 ; 8.05005E-14 ; 5.15203E-14 ; 3.72002E-11 ; 2.38081E-11
Zn68 ; 2.74002E-12 ; 1.75361E-12 ; 8.51004E-10 ; 5.44642E-10
Zn69 ; 9.72006E-12 ; 6.22084E-12 ; 1.27001E-9 ; 8.12803E-10
Zn69m ; 4.75003E-11 ; 3.04002E-11 ; 1.03E-8 ; 6.59203E-9
Zn70 ; 7.53005E-10 ; 4.81923E-10 ; 1.13E-7 ; 7.23203E-8
Zn71 ; 9.80006E-10 ; 6.27204E-10 ; 9.00004E-8 ; 5.76002E-8
Zn71m ; 4.79003E-9 ; 3.06562E-9 ; 7.28003E-7 ; 4.65922E-7
Zn72 ; 3.64002E-8 ; 2.32961E-8 ; 3.99002E-6 ; 2.55361E-6
Zn73 ; 3.80002E-7 ; 2.43202E-7 ; 1.66501E-5 ; 1.0656E-5
Zn74 ; 1.17001E-6 ; 7.48805E-7 ; 4.03702E-5 ; 2.58369E-5
Zn75 ; 2.79002E-6 ; 1.78561E-6 ; 8.20003E-5 ; 5.24802E-5
Zn76 ; 5.35003E-6 ; 3.42402E-6 ; 1.1423E-4 ; 7.31075E-5
Zn77 ; 1.66601E-5 ; 1.06625E-5 ; 1.0417E-4 ; 6.66691E-5
Zn78 ; 3.25502E-5 ; 2.08321E-5 ; 8.78504E-5 ; 5.62242E-5
Zn79 ; 3.31502E-5 ; 2.12161E-5 ; 6.77803E-5 ; 4.33794E-5
Zn80 ; 1.04201E-5 ; 6.66884E-6 ; 2.39901E-5 ; 1.53537E-5
Zn81 ; 3.37002E-6 ; 2.15681E-6 ; 5.86002E-6 ; 3.75042E-6
Zn82 ; 9.30006E-7 ; 5.95204E-7 ; 7.77003E-7 ; 4.97282E-7
Zn83 ; 9.34968E-8 ; 5.98379E-8 ; 8.02841E-8 ; 5.13819E-8
Zn84 ; 6.55979E-9 ; 4.19827E-9 ; 5.27896E-9 ; 3.37853E-9
Zn85 ; 5.01299E-11 ; 3.20832E-11 ; 1.23231E-10 ; 7.88681E-11
Zn86 ; 3.67002E-12 ; 2.34882E-12 ; 4.52002E-12 ; 2.89281E-12
Zn87 ; 1.76076E-13 ; 1.12689E-13 ;  ; 
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0 ; 5.11002E-13 ; 3.27041E-13
Ga69 ; 1.06001E-14 ; 6.78404E-15 ; 1.81001E-11 ; 1.1584E-11
Ga70 ; 4.02003E-13 ; 2.57282E-13 ; 4.48002E-10 ; 2.86721E-10
Ga71 ; 1.03001E-11 ; 6.59204E-12 ; 8.26004E-9 ; 5.28642E-9
Ga72 ; 9.30006E-11 ; 5.95204E-11 ; 4.45502E-8 ; 2.85121E-8
Ga72m ; 9.30006E-11 ; 5.95204E-11 ; 4.45502E-8 ; 2.85121E-8
Ga73 ; 6.16004E-9 ; 3.94243E-9 ; 9.930041E-7 ; 6.35523E-7
Ga74 ; 2.53002E-8 ; 1.61921E-8 ; 2.84501E-6 ; 1.82081E-6
Ga74m ; 2.53002E-8 ; 1.61921E-8 ; 2.84501E-6 ; 1.82081E-6
Ga75 ; 3.52002E-7 ; 2.25281E-7 ; 2.59901E-5 ; 1.66337E-5
Ga76 ; 1.61001E-6 ; 1.03041E-6 ; 8.16803E-5 ; 5.22754E-5
