A ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
A ;  ;  ;  ; 
A ; Yield (%) ; Error (%) ; Yield (%) ; Error (%)
136 ; 6.684492582 % ; 1.298666865 % ; 5.446806566 % ; 0.989244677 %
137 ; 6.225989471 % ; 0.830921251 % ; 5.197778163 % ; 0.577363815 %
138 ; 5.773952659 % ; 1.243855646 % ; 4.9736693 % ; 0.633709873 %
139 ; 5.810165832 % ; 0.87410285 % ; 5.109010418 % ; 0.75380331 %
140 ; 5.839304134 % ; 0.740869323 % ; 4.624635628 % ; 0.620539572 %
141 ; 5.379017817 % ; 0.69173384 % ; 4.394472414 % ; 0.869130788 %
142 ; 4.543029671 % ; 0.98288662 % ; 4.030462947 % ; 0.841601625 %
143 ; 4.616785906 % ; 0.885840647 % ; 3.915194032 % ; 0.81282607 %
144 ; 4.534554092 % ; 0.805517401 % ; 3.7161033 % ; 0.97881498 %
145 ; 3.870584601 % ; 1.007075136 % ; 3.033705516 % ; 0.645952209 %
146 ; 3.461345646 % ; 0.862037345 % ; 2.444689662 % ; 0.818974951 %
147 ; 2.592734607 % ; 0.732011339 % ; 2.091153929 % ; 0.551831653 %
148 ; 2.104679862 % ; 0.790333093 % ; 1.726725936 % ; 0.707601802 %
149 ; 1.631634931 % ; 0.572533301 % ; 1.461403664 % ; 0.469649957 %
150 ; 1.274931161 % ; 0.428494317 % ; 1.081454526 % ; 0.446645483 %
151 ; 0.799402908 % ; 0.344027633 % ; 0.801474099 % ; 0.331712549 %
152 ; 0.530231593 % ; 0.220421484 % ; 0.578794247 % ; 0.241758757 %
153 ; 0.414790364 % ; 0.175421024 % ; 0.391922341 % ; 0.16060662 %
154 ; 0.216281906 % ; 0.091698302 % ; 0.252123467 % ; 0.103906907 %
155 ; 0.141515119 % ; 0.063096908 % ; 0.155257818 % ; 0.064351044 %
156 ; 0.076033321 % ; 0.033495522 % ; 0.114369051 % ; 0.047117278 %
157 ; 0.041375023 % ; 0.017347216 % ; 0.080349304 % ; 0.033648933 %
158 ; 0.018487512 % ; 0.007709418 % ; 0.042593065 % ; 0.017526012 %
159 ; 0.00861914 % ; 0.003617449 % ; 0.026017916 % ; 0.010792463 %
160 ; 0.003545028 % ; 0.001585844 % ; 0.015664574 % ; 0.006529488 %
161 ; 0.001215364 % ; 5.378227275E-4 % ; 0.008469037 % ; 0.003476273 %
162 ; 3.405962822E-4 % ; 1.431766952E-4 % ; 0.00593662 % ; 0.002479018 %
163 ; 2.0420046E-4 % ; 8.653319665E-5 % ; 0.003393342 % ; 0.001407433 %
164 ; 1.247614893E-4 % ; 5.187056867E-5 % ; 0.001991935 % ; 8.194378694E-4 %
165 ; 7.667431325E-5 % ; 3.308464751E-5 % ; 0.001097495 % ; 4.596103298E-4 %
166 ; 5.666655558E-5 % ; 2.578625898E-5 % ; 6.297312607E-4 % ; 2.595913018E-4 %
167 ; 4.351727009E-5 % ; 1.853392997E-5 % ; 3.694676529E-4 % ; 1.527791337E-4 %
168 ; 2.83782358E-5 % ; 1.180597647E-5 % ; 2.004735056E-4 % ; 8.39178473E-5 %
169 ; 1.701293818E-5 % ; 7.186678639E-6 % ; 1.292681789E-4 % ; 5.309093732E-5 %
170 ; 1.021359403E-5 % ; 4.344561537E-6 % ; 5.948957739E-5 % ; 2.453286787E-5 %
171 ; 5.714843868E-6 % ; 2.547126719E-6 % ; 3.302417241E-5 % ; 1.375752662E-5 %
172 ; 1.066050506E-5 % ; 4.704375926E-6 % ; 2.126357433E-5 % ; 8.72951791E-6 %
