Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
V66 ; 5.29855E-19 ; 3.39107E-19 ; 7.05862E-18 ; 4.51752E-18 ; 4.13545E-14 ; 2.64668E-14
V67 ;  ;  ;  ;  ; 7.50488E-15 ; 4.80312E-15
Cr66 ; 2.50995E-14 ; 1.60637E-14 ; 1.47993E-13 ; 9.47155E-14 ; 7.9842E-11 ; 5.10989E-11
Cr67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.44895E-11 ; 9.27326E-12
Cr68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.62966E-12 ; 1.04298E-12
Cr69 ; 6.25578E-18 ; 4.0037E-18 ; 8.44173E-18 ; 5.40271E-18 ; 1.40264E-13 ; 8.97687E-14
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mn66 ; 1.04E-11 ; 6.656E-12 ; 5.96E-11 ; 3.8144E-11 ; 1.09977E-8 ; 7.03853E-9
Mn67 ; 2.68E-12 ; 1.7152E-12 ; 1.2E-11 ; 7.68E-12 ; 4.72901E-9 ; 3.02657E-9
Mn68 ; 5.59E-13 ; 3.5776E-13 ; 1.98E-12 ; 1.2672E-12 ; 1.26973E-9 ; 8.1263E-10
Mn69 ; 9.76938E-14 ; 6.2524E-14 ; 1.76992E-13 ; 1.13275E-13 ; 2.70803E-10 ; 1.73314E-10
Mn70 ; 0.0 ; 0.0 ; 1.33E-14 ; 8.512E-15 ; 4.05915E-11 ; 2.59786E-11
Mn71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4.64903E-12 ; 2.97538E-12
Mn72 ; 2.06242E-17 ; 1.31995E-17 ; 9.15713E-17 ; 5.86056E-17 ; 5.12402E-13 ; 3.27937E-13
Mn73 ; 1.729E-18 ; 1.10656E-18 ; 6.62938E-18 ; 4.2428E-18 ;  ; 
Fe66 ; 5.34E-10 ; 3.4176E-10 ; 2.92E-9 ; 1.8688E-9 ; 1.70964E-7 ; 1.09417E-7
Fe67 ; 3.46E-10 ; 2.2144E-10 ; 1.47E-9 ; 9.408E-10 ; 1.65965E-7 ; 1.06218E-7
Fe68 ; 2.64E-10 ; 1.6896E-10 ; 8.74E-10 ; 5.5936E-10 ; 1.01979E-7 ; 6.52664E-8
Fe69 ; 1.24E-10 ; 7.936E-11 ; 2.07E-10 ; 1.3248E-10 ; 5.11893E-8 ; 3.27612E-8
Fe70 ; 4.72E-11 ; 3.0208E-11 ; 5.84E-11 ; 3.7376E-11 ; 1.81962E-8 ; 1.16456E-8
Fe71 ; 5.63E-12 ; 3.6032E-12 ; 1.13E-11 ; 7.232E-12 ; 5.02895E-9 ; 3.21853E-9
Fe72 ; 9.76979E-13 ; 6.25267E-13 ; 1.91991E-12 ; 1.22874E-12 ; 9.89281E-10 ; 6.3314E-10
Fe73 ; 5.99983E-14 ; 3.83989E-14 ; 1.38993E-13 ; 8.89558E-14 ; 1.19975E-10 ; 7.6784E-11
Fe74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.10977E-11 ; 7.10252E-12
Fe75 ; 1.74803E-16 ; 1.11874E-16 ; 2.78053E-16 ; 1.77954E-16 ; 1.50098E-12 ; 9.60624E-13
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.15934E-14 ; 2.02198E-14
Co66 ; 8.15E-10 ; 5.216E-10 ; 4.56E-9 ; 2.9184E-9 ; 3.39929E-7 ; 2.17555E-7
Co67 ; 1.65E-9 ; 1.056E-9 ; 7.13E-9 ; 4.5632E-9 ; 7.08852E-7 ; 4.53665E-7
Co68 ; 2.95E-9 ; 1.888E-9 ; 9.83E-9 ; 6.2912E-9 ; 9.578E-7 ; 6.12992E-7
Co69 ; 4.74E-9 ; 3.0336E-9 ; 7.87E-9 ; 5.0368E-9 ; 1.06978E-6 ; 6.84657E-7
Co70 ; 4.63E-9 ; 2.9632E-9 ; 5.63E-9 ; 3.6032E-9 ; 8.65819E-7 ; 5.54124E-7
