Product , Fast (500 keV) 
Product ,  
Product , Yield 
Kr83 ,0.0000000195
Kr83m ,0.00000000399
Kr84 ,0.000000754
Kr85 ,0.00001022
Kr85m ,0.00000209
Kr86 ,0.00012653
Kr87 ,0.00084373
Kr88 ,0.00301471
Kr89 ,0.00729576
Kr90 ,0.0114778
Kr91 ,0.0113681
Kr92 ,0.00881183
Kr93 ,0.0035782
Kr94 ,0.00100077
Kr95 ,0.000157326
Kr96 ,0.00001843
Kr97 ,0.00000119996
Kr98 ,0.0000000589985
Kr99 ,7.0668E-11
Kr100 ,2.54E-11
Kr101 ,1.42754E-12
Rb79 ,0
Rb81 ,0
Rb83 ,1.1E-12
Rb84 ,1.04E-10
Rb85 ,0.00000000705
Rb86 ,0.000000109
Rb86m ,0.000000109
Rb87 ,0.00000593
Rb88 ,0.00006568
Rb89 ,0.00054318
Rb90 ,0.0003494
Rb90m ,0.00170479
Rb91 ,0.00661912
Rb92 ,0.0118863
Rb93 ,0.0160167
Rb94 ,0.0112135
Rb95 ,0.00629109
Rb96 ,0.00197713
Rb97 ,0.00048367
Rb98 ,0.0000655
Rb99 ,0.00000155793
Rb100 ,0.000000322
Rb101 ,0.0000000314712
Rb102 ,8.09092E-11
Rb103 ,3.74092E-12
Rb104 ,  
Sr83 ,0
Sr84 ,0
Sr85 ,1.375E-13
Sr85m ,1.375E-13
Sr86 ,3.71E-11
Sr87 ,0.00000000238
Sr87m ,4.87E-10
Sr88 ,0.000000147
Sr89 ,0.0000036
Sr90 ,0.00005266
Sr91 ,0.00045126
Sr92 ,0.00277418
Sr93 ,0.00903338
Sr94 ,0.0202744
Sr95 ,0.0263412
Sr96 ,0.0272617
Sr97 ,0.0161959
Sr98 ,0.00774532
Sr99 ,0.0021548
Sr100 ,0.00039285
Sr101 ,0.0000435285
Sr102 ,0.00000318992
Sr103 ,0.000000122207
Sr104 ,0.00000000223
Sr105 ,1.22354E-11
Sr106 ,1.06063E-12
Y85 ,0
Y87 ,3.87E-14
Y88 ,6.25E-12
Y89 ,1.13E-10
Y89m ,5.52E-10
Y90 ,0.0000000145
Y90m ,0.0000000145
Y91 ,0.000000505
Y91m ,0.000000505
Y92 ,0.00001792
Y93 ,0.000108895
Y93m ,0.000108895
Y94 ,0.00126887
Y95 ,0.00530309
Y96 ,0.00115322
Y96m ,0.0116769
Y97 ,0.0119826
Y97m ,0.0119826
Y98 ,0.0125741
Y98m ,0.0125727
Y99 ,0.0228442
Y100 ,0.0105712
Y101 ,0.00433571
Y102 ,0.00090597
Y103 ,0.000114068
Y104 ,0.00000819
Y105 ,0.000000269738
Y106 ,0.0000000193741
Y107 ,1.67554E-11
Y108 ,6.41693E-13
Y109 ,  
Zr87 ,0
Zr88 ,0
Zr89 ,0
Zr90 ,7.55E-13
Zr90m ,7.55E-13
Zr91 ,1.6E-10
Zr92 ,0.0000000119
Zr93 ,0.000000426
Zr94 ,0.00000995
Zr95 ,0.00011421
Zr96 ,0.00097304
Zr97 ,0.00400767
Zr98 ,0.0143334
Zr99 ,0.0289906
Zr100 ,0.0426026
Zr101 ,0.0410204
Zr102 ,0.0301998
Zr103 ,0.0104901
Zr104 ,0.00301879
Zr105 ,0.00037308
Zr106 ,0.0000323406
Zr107 ,0.000000547356
Zr108 ,0.0000000252994
Zr109 ,5.08012E-11
Zr110 ,0
Zr111 ,0
Zr112 ,0
Zr113 ,0
Nb89 ,0
Nb90 ,0
Nb91 ,0
Nb92 ,1.45E-13
Nb93 ,1.76E-11
Nb93m ,3.61E-12
Nb94 ,9.82E-10
Nb94m ,5.77E-10
Nb95 ,0.0000000585
Nb95m ,0.000000012
Nb96 ,0.00000173
Nb97 ,0.00002443
Nb97m ,0.000005
Nb98 ,0.0001926
Nb98m ,0.00005432
Nb99 ,0.00013639
Nb99m ,0.00156889
Nb100 ,0.00300532
Nb100m ,0.00300532
Nb101 ,0.0185542
Nb102 ,0.0158678
Nb102m ,0.0158678
Nb103 ,0.0371139
Nb104 ,0.013567
Nb104m ,0.013567
Nb105 ,0.0125421
Nb106 ,0.00317327
Nb107 ,0.000510903
Nb108 ,0.00003387
Nb109 ,0.00000111995
Nb110 ,7.32E-14
