Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Kr79m ,0
Kr80 ,0
Kr81 ,6.49E-13
Kr81m ,9.7E-14
Kr82 ,5.8E-11
Kr83 ,0.00000000342
Kr83m ,8.03E-10
Kr84 ,0.000000171
Kr85 ,0.00000285
Kr85m ,0.00000067
Kr86 ,0.00004359
Kr87 ,0.00035375
Kr88 ,0.00181564
Kr89 ,0.00413675
Kr90 ,0.00877976
Kr91 ,0.0110439
Kr92 ,0.00974722
Kr93 ,0.00516333
Kr94 ,0.00195113
Kr95 ,0.000370553
Kr96 ,0.00004805
Kr97 ,0.0000033899
Kr98 ,0.000000205995
Kr99 ,0.0000000574256
Kr100 ,9.78E-11
Kr101 ,2.71975E-12
Rb79 ,0
Rb81 ,0
Rb83 ,1.24E-13
Rb84 ,1.51E-11
Rb85 ,0.00000000123
Rb86 ,0.00000002295
Rb86m ,0.00000002295
Rb87 ,0.0000015
Rb88 ,0.00002274
Rb89 ,0.00019438
Rb90 ,0.00019885
Rb90m ,0.00084775
Rb91 ,0.00424724
Rb92 ,0.00886448
Rb93 ,0.0149793
Rb94 ,0.01415
Rb95 ,0.00943729
Rb96 ,0.00339355
Rb97 ,0.0009224
Rb98 ,0.0001619
Rb99 ,0.0000533851
Rb100 ,0.0000009
Rb101 ,0.0000000597171
Rb102 ,1.94983E-10
Rb103 ,9.1824E-12
Rb104 ,3.18497E-13
Sr83 ,0
Sr84 ,0
Sr85 ,1.36E-14
Sr85m ,1.36E-14
Sr86 ,4.21E-12
Sr87 ,3.56E-10
Sr87m ,8.36E-11
Sr88 ,0.0000000278
Sr89 ,0.00000073
Sr90 ,0.00001511
Sr91 ,0.00017014
Sr92 ,0.00124565
Sr93 ,0.00521475
Sr94 ,0.0156761
Sr95 ,0.0249346
Sr96 ,0.0291664
Sr97 ,0.0203736
Sr98 ,0.0125181
Sr99 ,0.00360346
Sr100 ,0.00072419
Sr101 ,0.0000829303
Sr102 ,0.00000752981
Sr103 ,0.00000030118
Sr104 ,0.0000000122997
Sr105 ,3.25193E-11
Sr106 ,4.41421E-12
Sr107 ,1.33716E-12
Y85 ,0
Y87 ,0
Y88 ,7.07E-13
Y89 ,1.5E-11
Y89m ,6.41E-11
Y90 ,0.00000000251
Y90m ,0.00000000251
Y91 ,0.0000001135
Y91m ,0.0000001135
Y92 ,0.00000488
Y93 ,0.000038785
Y93m ,0.000038785
Y94 ,0.00063168
Y95 ,0.00341008
Y96 ,0.0009713
Y96m ,0.00874117
Y97 ,0.0107018
Y97m ,0.0107018
Y98 ,0.0153651
Y98m ,0.0153628
Y99 ,0.028997
Y100 ,0.0146709
Y101 ,0.00600634
Y102 ,0.00147766
Y103 ,0.000279989
Y104 ,0.00002623
Y105 ,0.000000714022
Y106 ,0.0000000823199
Y107 ,0.0000000293598
Y108 ,1.26363E-11
Y109 ,6.72898E-13
Zr87 ,0
Zr88 ,0
Zr89 ,0
Zr90 ,7.05E-14
Zr90m ,7.05E-14
Zr91 ,1.98E-11
Zr92 ,0.00000000175
Zr93 ,0.0000000848
Zr94 ,0.00000274
Zr95 ,0.00004269
Zr96 ,0.00044856
Zr97 ,0.00260277
Zr98 ,0.0120741
Zr99 ,0.0266693
Zr100 ,0.0416211
Zr101 ,0.0403781
Zr102 ,0.0318967
Zr103 ,0.0153388
Zr104 ,0.005215
Zr105 ,0.000991576
Zr106 ,0.000134598
Zr107 ,0.0000407725
Zr108 ,0.000000487987
Zr109 ,0.0000000220709
Zr110 ,0
Zr111 ,0
Zr112 ,0
Zr113 ,0
Zr114 ,0
Nb89 ,0
Nb90 ,0
Nb91 ,0
Nb92 ,1.27E-14
Nb93 ,2.08E-12
Nb93m ,4.88E-13
Nb94 ,1.52E-10
Nb94m ,1.05E-10
Nb95 ,0.0000000133
Nb95m ,0.00000000311
Nb96 ,0.000000518
Nb97 ,0.00000952
Nb97m ,0.00000223
Nb98 ,0.00011278
Nb98m ,0.00003759
Nb99 ,0.00009309
Nb99m ,0.0010705
Nb100 ,0.00226957
Nb100m ,0.00226957
Nb101 ,0.0139738
Nb102 ,0.0124852
Nb102m ,0.0124852
Nb103 ,0.0362742
Nb104 ,0.0148439
Nb104m ,0.0148439
Nb105 ,0.018499
Nb106 ,0.00667685
Nb107 ,0.00184233
Nb108 ,0.00025566
Nb109 ,0.0000205179
Nb110 ,7.52E-12
Nb111 ,2.00992E-14
Nb112 ,4.33716E-16
Nb113 ,1.5359E-16
Nb114 ,3.64322E-19
Nb115 ,0
Nb116 ,1.68571E-14
Mo90 ,0
Mo91 ,0
Mo92 ,0
Mo93 ,0
Mo93m ,0
Mo94 ,0
Mo95 ,3.98E-13
Mo96 ,5.23E-11
Mo97 ,0.00000000366
Mo98 ,0.000000184
Mo99 ,0.00000411
Mo100 ,0.00005995
Mo101 ,0.0004991
Mo102 ,0.00297568
Mo103 ,0.0103172
Mo104 ,0.0263724
Mo105 ,0.0371427
Mo106 ,0.0419923
Mo107 ,0.0290729
Mo108 ,0.0135815
Mo109 ,0.0031409
Mo110 ,0.00001412
Mo111 ,0.000000492
Mo112 ,0.0000000125
Mo113 ,0.00000000375968
Mo114 ,1.05E-11
Mo115 ,2.52747E-15
Mo116 ,6.50983E-10
Mo117 ,3.22149E-13
Mo118 ,2.93997E-14
Tc93 ,0
Tc95 ,0
Tc95m ,0
Tc97 ,1.535E-14
Tc97m ,1.535E-14
Tc98 ,4.67E-12
Tc99 ,3.39E-10
Tc99m ,7.95E-11
Tc100 ,0.0000000181
Tc101 ,0.000000588
Tc102 ,0.00000486
Tc102m ,0.00000486
Tc103 ,0.00012065
Tc104 ,0.00082114
Tc105 ,0.00377724
Tc106 ,0.0102687
Tc107 ,0.0220177
Tc108 ,0.0238809
Tc109 ,0.0185367
Tc110 ,0.00671919
Tc111 ,0.00132471
Tc112 ,0.00014001
Tc113 ,0.0000258562
Tc114 ,0.00000277
Tc115 ,0.0000000414164
Tc116 ,0.000000869
Tc117 ,0.00000000707337
Tc118 ,5.4827E-10
Tc119 ,1.314E-12
Tc120 ,2.23207E-14
Ru95 ,0
Ru96 ,0
Ru97 ,0
Ru98 ,0
Ru99 ,0
Ru100 ,4.62E-13
Ru101 ,4.53E-11
Ru102 ,0.00000000289
Ru103 ,0.000000103
Ru104 ,0.0000027
Ru105 ,0.00003407
Ru106 ,0.00033626
Ru107 ,0.00187737
Ru108 ,0.00669772
Ru109 ,0.00646192
Ru109m ,0.00646192
Ru110 ,0.0191831
Ru111 ,0.00939493
Ru112 ,0.00349628
Ru113 ,0.00194903
Ru114 ,0.00088386
Ru115 ,0.000425489
Ru116 ,0.00011063
Ru117 ,0.00000982293
Ru118 ,0.000000896452
Ru119 ,0.0000000430987
Ru120 ,8.61978E-10
Ru121 ,1.38903E-12
Ru122 ,4.47E-14
Ru123 ,7.15007E-16
Ru124 ,0
Rh99 ,0
Rh101 ,0
Rh101m ,0
Rh102 ,0
Rh102m ,0
Rh103 ,3.13E-13
Rh103m ,2.1E-12
Rh104 ,4.77E-11
Rh104m ,1.43E-10
Rh105 ,0.00000000805
Rh105m ,0.0000000012
Rh106 ,0.000000134
Rh106m ,0.000000134
Rh107 ,0.00000572
Rh108 ,0.00002846
Rh108m ,0.00002846
Rh109 ,0.00020701
Rh109m ,0.00020701
Rh110 ,0.00007871
Rh110m ,0.00007871
Rh111 ,0.00033897
Rh112 ,0.00034276
Rh113 ,0.00061476
Rh114 ,0.00060207
Rh115 ,0.00075764
Rh116 ,0.00042294
Rh117 ,0.00016389
Rh118 ,0.00005001
Rh119 ,0.00001102
Rh120 ,0.00000079
Rh121 ,0.0000000304986
Rh122 ,7.53E-10
Rh123 ,1.56993E-11
Rh124 ,1.43E-13
Pd99 ,0
Pd101 ,0
Pd102 ,0
Pd103 ,0
Pd104 ,0
Pd105 ,1.58E-13
Pd106 ,1.84E-11
Pd107 ,4.13E-10
Pd107m ,7.68E-10
Pd108 ,0.0000000463
Pd109 ,0.000000365
Pd109m ,0.000000678
Pd110 ,0.00000000186
Pd111 ,0.0000000066
Pd111m ,0.0000000122
Pd112 ,0.000000107
Pd113 ,0.000000766
Pd114 ,0.00000349
Pd115 ,0.00001242
Pd116 ,0.00025738
Pd117 ,0.00029759
Pd118 ,0.00034918
Pd119 ,0.00023039
Pd120 ,0.00007069
Pd121 ,0.00000933
