Product , High (14 MeV) 
Product ,  
Product , Yield 
Kr86 ,0.00341988
Kr87 ,0.0107141
Kr88 ,0.01972
Kr89 ,0.0243306
Kr90 ,0.0199822
Kr91 ,0.0111753
Kr92 ,0.00440797
Kr93 ,0.00115066
Kr94 ,0.00024735
Kr95 ,0.0000333082
Kr96 ,0.00000343
Kr97 ,0.000000220921
Kr98 ,0.0000000109
Kr99 ,4.59914E-10
Kr100 ,6.51E-12
Rb79 ,0
Rb81 ,4.68E-12
Rb83 ,0.0000000222
Rb84 ,0.000000617
Rb85 ,0.00001401
Rb86 ,0.000054445
Rb86m ,0.000054445
Rb87 ,0.00086637
Rb88 ,0.00399223
Rb89 ,0.0114756
Rb90 ,0.00243213
Rb90m ,0.0196789
Rb91 ,0.0285683
Rb92 ,0.0258869
Rb93 ,0.0159109
Rb94 ,0.00790921
Rb95 ,0.00257709
Rb96 ,0.00065418
Rb97 ,0.0001056
Rb98 ,0.00001286
Rb99 ,0.00000101678
Rb100 ,0.0000000496
Rb101 ,0.00000000128009
Rb102 ,9.4487E-11
Rb103 ,  
Sr83 ,3.2E-12
Sr84 ,2.58E-10
Sr85 ,0.00000000825
Sr85m ,0.00000000825
Sr86 ,0.000000347
Sr87 ,0.00000656
Sr87m ,0.00000081
Sr88 ,0.00009085
Sr89 ,0.00065037
Sr90 ,0.00309921
Sr91 ,0.00944784
Sr92 ,0.0194087
Sr93 ,0.0268044
Sr94 ,0.029252
Sr95 ,0.0216847
Sr96 ,0.0128307
Sr97 ,0.00494883
Sr98 ,0.00143754
Sr99 ,0.000263763
Sr100 ,0.00003386
Sr101 ,0.00000359872
Sr102 ,0.000000287906
Sr103 ,0.00000000580522
Sr104 ,0.00000000201
Sr105 ,3.27279E-10
Sr106 ,4.55047E-11
Sr107 ,  
Y85 ,1.73E-12
Y87 ,0.0000000059
Y88 ,0.000000203
Y89 ,0.000000419
Y89m ,0.00000339
Y90 ,0.00002395
Y90m ,0.00002395
Y91 ,0.000183815
Y91m ,0.000183815
Y92 ,0.00181416
Y93 ,0.00291563
Y93m ,0.00291563
Y94 ,0.0140337
Y95 ,0.023027
Y96 ,0.00181224
Y96m ,0.0283957
Y97 ,0.0130824
Y97m ,0.0130824
Y98 ,0.00854154
Y98m ,0.00854137
Y99 ,0.0074063
Y100 ,0.0022314
Y101 ,0.00055741
Y102 ,0.00010611
Y103 ,0.0000128342
Y104 ,0.00000302
Y105 ,0.00000072355
Y106 ,0.0000000928184
Y107 ,5.69826E-10
Y108 ,1.04001E-10
Y109 ,2.21927E-11
Y110 ,  
Zr87 ,4.19E-13
Zr88 ,4.11E-11
Zr89 ,0.00000000208
Zr90 ,0.00000003575
Zr90m ,0.00000003575
Zr91 ,0.00000145
Zr92 ,0.00001813
Zr93 ,0.00014644
Zr94 ,0.00081249
Zr95 ,0.00309269
Zr96 ,0.0091947
Zr97 ,0.0177283
Zr98 ,0.0250825
Zr99 ,0.0242282
Zr100 ,0.0161959
Zr101 ,0.00898091
Zr102 ,0.00388168
Zr103 ,0.00106395
Zr104 ,0.00042603
Zr105 ,0.000187696
Zr106 ,0.0000260971
Zr107 ,0.00000160195
Zr108 ,0.000000316896
Zr109 ,0.0000000623901
Zr110 ,0.00000000106
Zr111 ,8.57715E-11
Zr112 ,  
Nb89 ,9.99E-14
Nb90 ,9.57E-12
Nb91 ,5.24E-10
Nb92 ,0.0000000172
Nb93 ,0.00000032
Nb93m ,0.0000000396
Nb94 ,0.00000361
Nb94m ,0.00000127
Nb95 ,0.00004066
