Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Ga83 ; 2.13776E-5 ; 1.36816E-5
Ga84 ; 2.86967E-6 ; 1.83659E-6
Ga85 ; 2.4287E-7 ; 1.55437E-7
Ga86 ; 1.04988E-8 ; 6.71924E-9
Ga87 ; 3.82977E-10 ; 2.45105E-10
Ga88 ; 3.02682E-11 ; 1.93716E-11
Ge66 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0
Ge69 ; 4.64947E-14 ; 2.97566E-14
Ge70 ; 2.47972E-12 ; 1.58702E-12
Ge71 ; 4.35951E-11 ; 2.79008E-11
Ge71m ; 4.35951E-11 ; 2.79008E-11
Ge72 ; 1.96978E-9 ; 1.26066E-9
Ge73 ; 3.5296E-8 ; 2.25894E-8
Ge73m ; 4.35951E-9 ; 2.79008E-9
Ge74 ; 4.4395E-7 ; 2.84128E-7
Ge75 ; 3.03966E-7 ; 1.94538E-7
Ge75m ; 3.4996E-6 ; 2.23975E-6
Ge76 ; 2.26274E-5 ; 1.44816E-5
Ge77 ; 1.00609E-4 ; 6.43895E-5
Ge77m ; 7.56914E-6 ; 4.84425E-6
Ge78 ; 3.40891E-4 ; 2.1817E-4
Ge79 ; 4.33666E-4 ; 2.77546E-4
Ge79m ; 4.33666E-4 ; 2.77546E-4
Ge80 ; 0.001419 ; 9.08159E-4
Ge81 ; 0.00138429 ; 8.85948E-4
Ge82 ; 0.00145299 ; 9.29911E-4
Ge83 ; 0.00102841 ; 6.58185E-4
Ge84 ; 3.5168E-4 ; 2.25075E-4
Ge85 ; 7.89011E-5 ; 5.04967E-5
Ge86 ; 9.20896E-6 ; 5.89373E-6
Ge87 ; 9.10514E-7 ; 5.82729E-7
Ge88 ; 7.19616E-8 ; 4.60554E-8
Ge89 ; 2.10196E-9 ; 1.34525E-9
Ge90 ; 2.70722E-10 ; 1.73262E-10
As69 ; 0.0 ; 0.0
As71 ; 1.35985E-14 ; 8.70301E-15
As72 ; 7.69913E-13 ; 4.92744E-13
As73 ; 3.83956E-11 ; 2.45732E-11
As74 ; 1.89978E-10 ; 1.21586E-10
As74m ; 8.66902E-10 ; 5.54817E-10
As75 ; 2.19975E-8 ; 1.40784E-8
As76 ; 3.20964E-7 ; 2.05417E-7
As77 ; 3.67958E-6 ; 2.35493E-6
As78 ; 2.78068E-5 ; 1.77964E-5
As79 ; 1.65241E-4 ; 1.05754E-4
As80 ; 6.2044E-4 ; 3.97081E-4
As81 ; 0.0016751 ; 0.00107206
As82 ; 0.00167502 ; 0.00107201
As82m ; 0.00167554 ; 0.00107235
As83 ; 0.00562858 ; 0.00360229
As84 ; 0.00230029 ; 0.00147219
As84m ; 0.00230029 ; 0.00147219
As85 ; 0.00259346 ; 0.00165981
As86 ; 7.80921E-4 ; 4.9979E-4
As87 ; 2.03647E-4 ; 1.30334E-4
As88 ; 4.31651E-5 ; 2.76257E-5
As89 ; 4.99733E-6 ; 3.19829E-6
As90 ; 6.43633E-7 ; 4.11925E-7
As91 ; 6.11249E-9 ; 3.91199E-9
As92 ; 4.8345E-10 ; 3.09408E-10
As93 ; 2.17991E-11 ; 1.39514E-11
Se72 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0
Se74 ; 2.30974E-13 ; 1.47823E-13
Se75 ; 1.19986E-11 ; 7.67913E-12
Se76 ; 4.4295E-10 ; 2.83488E-10
Se77 ; 1.01988E-9 ; 6.52726E-10
Se77m ; 1.17987E-8 ; 7.55114E-9
Se78 ; 2.43972E-7 ; 1.56142E-7
Se79 ; 3.34962E-6 ; 2.14376E-6
Se79m ; 2.51971E-7 ; 1.61262E-7
Se80 ; 3.27863E-5 ; 2.09832E-5
Se81 ; 1.42084E-5 ; 9.09337E-6
Se81m ; 1.63371E-4 ; 1.04558E-4
Se82 ; 0.00100795 ; 6.45085E-4
Se83 ; 0.00352177 ; 0.00225393
Se83m ; 4.3935E-4 ; 2.81184E-4
Se84 ; 0.0071897 ; 0.0046014
Se85 ; 0.00498738 ; 0.00319193
Se85m ; 0.00495425 ; 0.00317072
Se86 ; 0.00722933 ; 0.00462677
Se87 ; 0.00469875 ; 0.0030072
Se88 ; 0.00254344 ; 0.0016278
Se89 ; 7.53265E-4 ; 4.82089E-4
Se90 ; 1.434E-4 ; 9.17759E-5
Se91 ; 1.45322E-5 ; 9.30063E-6
Se92 ; 1.14939E-6 ; 7.35607E-7
Se93 ; 5.18266E-8 ; 3.3169E-8
Se94 ; 2.30974E-9 ; 1.47823E-9
Se95 ; 2.20396E-10 ; 1.41054E-10
Se96 ; 8.97898E-13 ; 5.74655E-13
Br75 ; 0.0 ; 0.0
Br77 ; 5.76935E-13 ; 3.69238E-13
Br77m ; 3.5496E-12 ; 2.27174E-12
Br78 ; 2.03977E-10 ; 1.30545E-10
Br79 ; 1.08988E-9 ; 6.97521E-10
Br79m ; 6.69924E-9 ; 4.28751E-9
Br80 ; 2.71969E-8 ; 1.7406E-8
Br80m ; 1.53983E-7 ; 9.85488E-8
Br81 ; 2.87967E-6 ; 1.84299E-6
Br82 ; 3.80757E-5 ; 2.28454E-6
Br82m ; 8.35905E-6 ; 5.01543E-7
Br83 ; 3.55E-4 ; 2.272E-4
Br84 ; 3.48541E-4 ; 2.23066E-4
Br84m ; 0.00123575 ; 7.9088E-4
Br85 ; 0.00501181 ; 0.00320756
Br86 ; 0.00426438 ; 0.0027292
Br86m ; 0.00426208 ; 0.00272773
Br87 ; 0.011362 ; 0.00363583
Br88 ; 0.0162937 ; 0.00374756
Br89 ; 0.01198 ; 0.00383361
Br90 ; 0.0056598 ; 0.00362227
Br91 ; 0.00148025 ; 9.47361E-4
Br92 ; 3.02976E-4 ; 1.93904E-4
Br93 ; 1.15468E-5 ; 7.38998E-6
Br94 ; 4.22952E-6 ; 2.70689E-6
Br95 ; 5.23985E-7 ; 3.3535E-7
Br96 ; 1.15987E-8 ; 7.42316E-9
Br97 ; 4.49819E-10 ; 2.87884E-10
Br98 ; 2.71573E-11 ; 1.73807E-11
Kr77 ; 0.0 ; 0.0
Kr78 ; 1.53983E-14 ; 9.85488E-15
Kr79 ; 7.74912E-13 ; 4.95944E-13
Kr79m ; 7.74912E-13 ; 4.95944E-13
Kr80 ; 9.41893E-11 ; 6.02812E-11
Kr81 ; 3.69958E-9 ; 2.36773E-9
Kr81m ; 2.77968E-10 ; 1.779E-10
Kr82 ; 9.23895E-8 ; 5.91293E-8
Kr83 ; 2.95966E-6 ; 1.89419E-6
Kr83m ; 3.65959E-7 ; 2.34213E-7
Kr84 ; 3.85856E-5 ; 2.46948E-5
Kr85 ; 2.74289E-4 ; 1.75545E-4
Kr85m ; 3.38962E-5 ; 2.16935E-5
Kr86 ; 0.00129058 ; 8.25974E-4
Kr87 ; 0.00733591 ; 0.00168726
Kr88 ; 0.0132244 ; 0.0021159
Kr89 ; 0.0227889 ; 0.00250678
Kr90 ; 0.0249567 ; 0.00798616
Kr91 ; 0.0164887 ; 0.00131909
Kr92 ; 0.00825038 ; 9.07541E-4
Kr93 ; 0.0020573 ; 2.26303E-4
Kr94 ; 7.32337E-4 ; 4.68696E-4
Kr95 ; 1.16743E-4 ; 7.47152E-5
Kr96 ; 1.35285E-5 ; 8.65822E-6
Kr97 ; 1.06943E-6 ; 6.84435E-7
Kr98 ; 6.45655E-8 ; 4.13219E-8
Kr99 ; 1.41965E-9 ; 9.08574E-10
Kr100 ; 5.35939E-11 ; 3.43001E-11
Rb79 ; 0.0 ; 0.0
Rb81 ; 4.98943E-13 ; 3.19324E-13
