Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Ga84 ; 1.15001E-6 ; 7.36008E-7
Ga85 ; 7.26986E-8 ; 4.65271E-8
Ga86 ; 2.29003E-9 ; 1.46562E-9
Ga87 ; 1.26253E-11 ; 8.0802E-12
Ga88 ; 6.21858E-13 ; 3.97989E-13
Ga89 ; 7.57625E-14 ; 4.8488E-14
Ge66 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0
Ge70 ; 0.0 ; 0.0
Ge71 ; 0.0 ; 0.0
Ge71m ; 0.0 ; 0.0
Ge72 ; 1.01001E-13 ; 6.46407E-14
Ge73 ; 1.55002E-11 ; 9.92011E-12
Ge73m ; 3.18004E-12 ; 2.03522E-12
Ge74 ; 1.24001E-9 ; 7.93609E-10
Ge75 ; 5.49006E-9 ; 3.51364E-9
Ge75m ; 4.03005E-8 ; 2.57923E-8
Ge76 ; 8.8901E-7 ; 5.68966E-7
Ge77 ; 1.00001E-5 ; 6.40007E-6
Ge77m ; 1.36002E-6 ; 8.7041E-7
Ge78 ; 1.19241E-4 ; 7.63145E-5
Ge79 ; 1.88137E-4 ; 1.20408E-4
Ge79m ; 1.88137E-4 ; 1.20408E-4
Ge80 ; 9.39331E-4 ; 6.01172E-4
Ge81 ; 0.00143579 ; 9.18903E-4
Ge82 ; 0.00159313 ; 0.0010196
Ge83 ; 9.72231E-4 ; 6.22228E-4
Ge84 ; 4.82385E-4 ; 3.08727E-4
Ge85 ; 9.0071E-5 ; 5.76455E-5
Ge86 ; 1.30801E-5 ; 8.3713E-6
Ge87 ; 8.72997E-7 ; 5.58718E-7
Ge88 ; 5.81E-8 ; 3.7184E-8
Ge89 ; 5.23872E-9 ; 3.35278E-9
Ge90 ; 4.84932E-12 ; 3.10356E-12
Ge91 ; 4.63385E-13 ; 2.96566E-13
As69 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0
As73 ; 0.0 ; 0.0
As74 ; 2.24003E-14 ; 1.43362E-14
As74m ; 6.05007E-14 ; 3.87204E-14
