Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Kr85m ,0.00000748
Kr86 ,0.00037556
Kr87 ,0.00214069
Kr88 ,0.0072471
Kr89 ,0.0154258
Kr90 ,0.023511
Kr91 ,0.0165646
Kr92 ,0.0105113
Kr93 ,0.00324199
Kr94 ,0.00078277
Kr95 ,0.0000951565
Kr96 ,0.00000753
Kr97 ,0.000000290994
Kr98 ,0.0000000094498
Kr99 ,1.77646E-11
Kr100 ,1.45E-12
Kr101 ,1.98255E-13
Rb79 ,0
Rb81 ,0
Rb83 ,4.72E-12
Rb84 ,4.28E-10
Rb85 ,0.0000000406
Rb86 ,0.000000565
Rb86m ,0.000000565
Rb87 ,0.00002748
Rb88 ,0.00026605
Rb89 ,0.00206262
Rb90 ,0.00133397
Rb90m ,0.00568534
Rb91 ,0.0178112
Rb92 ,0.0250592
Rb93 ,0.0288116
Rb94 ,0.0169926
Rb95 ,0.00865393
Rb96 ,0.00185847
Rb97 ,0.00032596
Rb98 ,0.00002956
Rb99 ,0.000000564318
Rb100 ,0.0000000593
Rb101 ,0.00000000629786
Rb102 ,1.02625E-11
Rb103 ,8.33467E-13
Sr83 ,0
Sr84 ,0
Sr85 ,6.25E-13
Sr85m ,6.25E-13
Sr86 ,1.7E-10
Sr87 ,0.00000000978
Sr87m ,0.00000000229
Sr88 ,0.000000522
Sr89 ,0.00001124
Sr90 ,0.00015986
Sr91 ,0.00102712
Sr92 ,0.00551357
Sr93 ,0.0142523
Sr94 ,0.0303959
Sr95 ,0.0350436
Sr96 ,0.0288665
Sr97 ,0.0127525
Sr98 ,0.0048157
Sr99 ,0.00100391
Sr100 ,0.0001153
Sr101 ,0.0000112037
Sr102 ,0.00000048699
Sr103 ,0.0000000395509
Sr104 ,2.01E-10
Sr105 ,1.31439E-12
Sr106 ,1.35648E-13
Y85 ,0
Y87 ,2.5E-13
Y88 ,3.1E-11
Y89 ,6.01E-10
Y89m ,0.00000000256
Y90 ,0.000000063
Y90m ,0.000000063
Y91 ,0.00000184
Y91m ,0.00000184
