Product ; High (14 MeV) ; High (14 MeV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Cu78 ; 1.24E-6 ; 7.936E-7 ; 8.41001E-8 ; 5.3824E-8
Cu79 ; 1.82917E-7 ; 1.17067E-7 ; 7.23955E-9 ; 4.63331E-9
Cu80 ; 1.41E-8 ; 9.024E-9 ; 2.65E-10 ; 1.696E-10
Cu81 ; 9.0E-10 ; 5.76E-10 ; 9.61001E-12 ; 6.1504E-12
Cu82 ; 3.5E-11 ; 2.24E-11 ; 1.43E-13 ; 9.15201E-14
Zn66 ; 7.47E-11 ; 4.7808E-11 ; 6.02E-14 ; 3.8528E-14
Zn67 ; 2.05E-9 ; 1.312E-9 ; 2.9E-12 ; 1.856E-12
Zn68 ; 2.37E-8 ; 1.5168E-8 ; 1.3E-10 ; 8.32001E-11
Zn69 ; 2.15E-8 ; 1.376E-8 ; 4.38E-10 ; 2.8032E-10
Zn69m ; 1.74E-7 ; 1.1136E-7 ; 2.14E-9 ; 1.3696E-9
Zn70 ; 1.38E-6 ; 8.832E-7 ; 6.04E-8 ; 3.8656E-8
Zn71 ; 7.21E-7 ; 4.6144E-7 ; 1.02E-7 ; 6.528E-8
Zn71m ; 5.83E-6 ; 3.7312E-6 ; 4.96E-7 ; 3.1744E-7
Zn72 ; 2.896E-5 ; 1.85344E-5 ; 2.3E-6 ; 1.472E-6
Zn73 ; 6.815E-5 ; 4.3616E-5 ; 6.08E-6 ; 3.8912E-6
Zn74 ; 1.2807E-4 ; 8.19648E-5 ; 3.117E-5 ; 1.99488E-5
Zn75 ; 1.7809E-4 ; 1.13978E-4 ; 7.54801E-5 ; 4.83072E-5
Zn76 ; 1.9407E-4 ; 1.24205E-4 ; 1.2003E-4 ; 7.68193E-5
Zn77 ; 1.4551E-4 ; 9.31264E-5 ; 9.33501E-5 ; 5.9744E-5
Zn78 ; 8.341E-5 ; 5.33824E-5 ; 3.745E-5 ; 2.3968E-5
Zn79 ; 3.1E-5 ; 1.984E-5 ; 8.43001E-6 ; 5.3952E-6
Zn80 ; 6.3E-6 ; 4.032E-6 ; 1.37E-6 ; 8.76801E-7
Zn81 ; 1.12E-6 ; 7.168E-7 ; 1.35E-7 ; 8.64001E-8
Zn82 ; 1.23E-7 ; 7.872E-8 ; 9.47001E-9 ; 6.0608E-9
Zn83 ; 6.45E-9 ; 4.128E-9 ; 2.89E-10 ; 1.8496E-10
Zn84 ; 1.83E-10 ; 1.1712E-10 ; 6.15E-12 ; 3.936E-12
Zn85 ; 1.65476E-11 ; 1.05905E-11 ; 1.68015E-13 ; 1.0753E-13
Zn86 ; 5.2E-14 ; 3.328E-14 ; 0.0 ; 0.0
Ga66 ; 2.23E-14 ; 1.4272E-14 ; 0.0 ; 0.0
Ga67 ; 1.53E-12 ; 9.792E-13 ; 0.0 ; 0.0
Ga68 ; 4.38E-11 ; 2.8032E-11 ; 2.19E-14 ; 1.4016E-14
Ga69 ; 8.87E-10 ; 5.6768E-10 ; 1.82E-12 ; 1.1648E-12
Ga70 ; 1.52E-8 ; 9.728E-9 ; 1.05E-10 ; 6.72E-11
Ga71 ; 1.71E-7 ; 1.0944E-7 ; 4.17E-9 ; 2.6688E-9
Ga72 ; 8.75E-7 ; 5.6E-7 ; 1.865E-8 ; 1.1936E-8
Ga72m ; 8.75E-7 ; 5.6E-7 ; 1.865E-8 ; 1.1936E-8
Ga73 ; 9.35E-6 ; 5.984E-6 ; 3.64E-7 ; 2.3296E-7
Ga74 ; 1.9495E-5 ; 1.24768E-5 ; 2.025E-6 ; 1.296E-6
Ga74m ; 1.9495E-5 ; 1.24768E-5 ; 2.025E-6 ; 1.296E-6
Ga75 ; 1.2072E-4 ; 7.72608E-5 ; 3.317E-5 ; 2.12288E-5
Ga76 ; 2.8518E-4 ; 1.82515E-4 ; 1.1113E-4 ; 7.11233E-5
Ga77 ; 4.7609E-4 ; 3.04698E-4 ; 3.0802E-4 ; 1.97133E-4
Ga78 ; 6.1841E-4 ; 3.95782E-4 ; 2.8473E-4 ; 1.82227E-4
Ga79 ; 5.4515E-4 ; 3.48896E-4 ; 2.5212E-4 ; 1.61357E-4
Ga80 ; 2.7576E-4 ; 1.76486E-4 ; 1.0204E-4 ; 6.53056E-5
Ga81 ; 1.3085E-4 ; 8.3744E-5 ; 4.299E-5 ; 2.75136E-5
Ga82 ; 3.919E-5 ; 2.50816E-5 ; 8.23001E-6 ; 5.2672E-6
Ga83 ; 5.86E-6 ; 3.7504E-6 ; 1.16E-6 ; 7.42401E-7
Ga84 ; 4.79E-7 ; 3.0656E-7 ; 6.76E-8 ; 4.3264E-8
Ga85 ; 3.65835E-8 ; 2.34134E-8 ; 2.68983E-9 ; 1.72149E-9
Ga86 ; 1.08E-9 ; 6.912E-10 ; 5.82E-11 ; 3.7248E-11
Ga87 ; 5.68931E-11 ; 3.64116E-11 ; 9.63554E-13 ; 6.16675E-13
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 3.71E-13 ; 2.3744E-13 ; 0.0 ; 0.0
Ge70 ; 1.58E-11 ; 1.0112E-11 ; 2.77E-14 ; 1.7728E-14
Ge71 ; 2.2E-10 ; 1.408E-10 ; 1.39E-12 ; 8.89601E-13
Ge71m ; 2.2E-10 ; 1.408E-10 ; 1.39E-12 ; 8.89601E-13
Ge72 ; 1.1E-8 ; 7.04E-9 ; 1.04E-10 ; 6.656E-11
Ge73 ; 1.26E-7 ; 8.064E-8 ; 2.06E-9 ; 1.3184E-9
Ge73m ; 1.55E-8 ; 9.92E-9 ; 4.21E-10 ; 2.6944E-10
Ge74 ; 1.39E-6 ; 8.896E-7 ; 1.12E-7 ; 7.16801E-8
Ge75 ; 8.09E-7 ; 5.1776E-7 ; 2.52E-7 ; 1.6128E-7
Ge75m ; 9.31E-6 ; 5.9584E-6 ; 1.85E-6 ; 1.184E-6
Ge76 ; 5.373E-5 ; 3.43872E-5 ; 2.684E-5 ; 1.71776E-5
Ge77 ; 1.8748E-4 ; 1.19987E-4 ; 1.4301E-4 ; 9.15265E-5
Ge77m ; 1.411E-5 ; 9.0304E-6 ; 1.95E-5 ; 1.248E-5
Ge78 ; 5.8066E-4 ; 3.71622E-4 ; 5.4134E-4 ; 3.46458E-4
Ge79 ; 5.7841E-4 ; 3.70182E-4 ; 5.07575E-4 ; 3.24848E-4
Ge79m ; 5.7841E-4 ; 3.70182E-4 ; 5.07575E-4 ; 3.24848E-4
Ge80 ; 0.00136437 ; 8.73197E-4 ; 0.00149407 ; 9.56205E-4
Ge81 ; 0.00162103 ; 0.00103746 ; 0.00145222 ; 9.29421E-4
Ge82 ; 0.00125203 ; 8.01299E-4 ; 0.00115483 ; 7.39092E-4
Ge83 ; 5.0872E-4 ; 3.25581E-4 ; 4.2538E-4 ; 2.72243E-4
Ge84 ; 1.1563E-4 ; 7.40032E-5 ; 1.0785E-4 ; 6.90241E-5
Ge85 ; 2.438E-5 ; 1.56032E-5 ; 1.151E-5 ; 7.36641E-6
Ge86 ; 1.97E-6 ; 1.2608E-6 ; 1.16E-6 ; 7.42401E-7
Ge87 ; 1.59943E-7 ; 1.02364E-7 ; 3.49991E-8 ; 2.23994E-8
Ge88 ; 6.59E-9 ; 4.2176E-9 ; 1.04E-9 ; 6.656E-10
Ge89 ; 3.11963E-10 ; 1.99656E-10 ; 1.57397E-11 ; 1.00734E-11
Ge90 ;  ;  ; 1.42504E-12 ; 9.12029E-13
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 1.03E-13 ; 6.592E-14 ; 0.0 ; 0.0
As72 ; 6.46E-12 ; 4.1344E-12 ; 0.0 ; 0.0
As73 ; 2.06E-10 ; 1.3184E-10 ; 3.94E-13 ; 2.5216E-13
As74 ; 8.95E-10 ; 5.728E-10 ; 1.26E-11 ; 8.06401E-12
As74m ; 4.08E-9 ; 2.6112E-9 ; 3.4E-11 ; 2.176E-11
As75 ; 9.01E-8 ; 5.7664E-8 ; 3.6E-9 ; 2.304E-9
As76 ; 1.14E-6 ; 7.296E-7 ; 1.18E-7 ; 7.55201E-8
As77 ; 1.023E-5 ; 6.5472E-6 ; 2.95E-6 ; 1.888E-6
As78 ; 6.863E-5 ; 4.39232E-5 ; 2.381E-5 ; 1.52384E-5
As79 ; 3.176E-4 ; 2.03264E-4 ; 1.658E-4 ; 1.06112E-4
As80 ; 8.7279E-4 ; 5.58586E-4 ; 5.2284E-4 ; 3.34618E-4
As81 ; 0.00248484 ; 0.0015903 ; 0.00177766 ; 0.0011377
As82 ; 0.00232164 ; 0.00148585 ; 0.00155722 ; 9.96622E-4
As82m ; 0.00232181 ; 0.00148596 ; 0.00155721 ; 9.96615E-4
As83 ; 0.00476856 ; 0.00305188 ; 0.00440053 ; 0.00281634
As84 ; 0.00141468 ; 9.05395E-4 ; 0.00132444 ; 8.47639E-4
As84m ; 0.00141468 ; 9.05395E-4 ; 0.00132444 ; 8.47639E-4
As85 ; 0.00157062 ; 0.0010052 ; 0.00116949 ; 7.48474E-4
As86 ; 3.3379E-4 ; 2.13626E-4 ; 3.1313E-4 ; 2.00403E-4
As87 ; 7.305E-5 ; 4.6752E-5 ; 4.037E-5 ; 2.58368E-5
As88 ; 8.39E-6 ; 5.3696E-6 ; 3.24E-6 ; 2.0736E-6
As89 ; 6.89688E-7 ; 4.414E-7 ; 2.51984E-7 ; 1.6127E-7
As90 ; 9.21904E-9 ; 5.90019E-9 ; 1.6773E-8 ; 1.07347E-8
As91 ; 8.85399E-10 ; 5.66655E-10 ; 6.13922E-11 ; 3.9291E-11
As92 ; 5.11804E-11 ; 3.27555E-11 ; 1.78317E-12 ; 1.14123E-12
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 2.39E-14 ; 1.5296E-14 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 1.63E-12 ; 1.0432E-12 ; 0.0 ; 0.0
Se75 ; 7.57E-11 ; 4.8448E-11 ; 5.53E-13 ; 3.5392E-13
Se76 ; 2.38E-9 ; 1.5232E-9 ; 8.20001E-11 ; 5.248E-11
Se77 ; 4.27E-9 ; 2.7328E-9 ; 6.55E-10 ; 4.192E-10
Se77m ; 4.91E-8 ; 3.1424E-8 ; 4.8E-9 ; 3.072E-9
Se78 ; 8.83E-7 ; 5.6512E-7 ; 1.97E-7 ; 1.2608E-7
Se79 ; 9.4E-6 ; 6.016E-6 ; 3.05E-6 ; 1.952E-6
Se79m ; 7.08E-7 ; 4.5312E-7 ; 4.16E-7 ; 2.6624E-7
Se80 ; 6.854E-5 ; 4.38656E-5 ; 4.385E-5 ; 2.8064E-5
Se81 ; 3.907E-5 ; 2.50048E-5 ; 4.105E-5 ; 2.6272E-5
Se81m ; 4.4927E-4 ; 2.87533E-4 ; 3.0102E-4 ; 1.92653E-4
Se82 ; 0.00222395 ; 0.00142333 ; 0.00222802 ; 0.00142593
Se83 ; 0.0049863 ; 0.00319123 ; 0.00566528 ; 0.00362578
Se83m ; 6.1631E-4 ; 3.94438E-4 ; 0.00116034 ; 7.42618E-4
Se84 ; 0.00799852 ; 0.00511905 ; 0.0143097 ; 0.00457912
Se85 ; 0.00558047 ; 0.0035715 ; 0.0070136 ; 0.0044887
Se85m ; 0.00556628 ; 0.00356242 ; 0.0070003 ; 0.00448019
Se86 ; 0.00586081 ; 0.00375092 ; 0.0148275 ; 0.00474479
Se87 ; 0.0032727 ; 0.00209453 ; 0.00452617 ; 0.00289675
Se88 ; 0.00100545 ; 6.43488E-4 ; 0.00153401 ; 9.81767E-4
Se89 ; 2.1568E-4 ; 1.38035E-4 ; 3.0314E-4 ; 1.9401E-4
Se90 ; 2.80908E-5 ; 1.79781E-5 ; 3.63433E-5 ; 2.32597E-5
Se91 ; 2.48911E-6 ; 1.59303E-6 ; 2.22994E-6 ; 1.42716E-6
Se92 ; 1.55949E-7 ; 9.98072E-8 ; 8.80983E-8 ; 5.63829E-8
Se93 ; 3.95605E-9 ; 2.53187E-9 ; 4.25347E-10 ; 2.72222E-10
Se94 ; 2.21E-10 ; 1.4144E-10 ; 2.62E-11 ; 1.6768E-11
Se95 ;  ;  ; 1.4589E-12 ; 9.33696E-13
Se96 ; 7.11E-14 ; 4.5504E-14 ; 0.0 ; 0.0
Br75 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77 ; 3.61E-12 ; 2.3104E-12 ; 4.71E-14 ; 3.0144E-14
Br77m ; 2.22E-11 ; 1.4208E-11 ; 1.77E-13 ; 1.1328E-13
Br78 ; 1.09E-9 ; 6.976E-10 ; 2.28E-11 ; 1.4592E-11
Br79 ; 4.51E-9 ; 2.8864E-9 ; 3.77E-10 ; 2.4128E-10
Br79m ; 2.77E-8 ; 1.7728E-8 ; 1.42E-9 ; 9.08801E-10
Br80 ; 8.54E-8 ; 5.4656E-8 ; 1.32E-8 ; 8.44801E-9
Br80m ; 4.84E-7 ; 3.0976E-7 ; 4.69E-8 ; 3.0016E-8
Br81 ; 1.085E-5 ; 6.944E-6 ; 2.0E-6 ; 1.28E-6
Br82 ; 1.0555E-4 ; 6.7552E-5 ; 2.423E-5 ; 1.55072E-5
Br82m ; 2.317E-5 ; 1.48288E-5 ; 8.96001E-6 ; 5.7344E-6
Br83 ; 8.3689E-4 ; 5.3561E-4 ; 4.085E-4 ; 2.6144E-4
Br84 ; 6.7361E-4 ; 4.3111E-4 ; 6.1775E-4 ; 3.9536E-4
