Product ; High (14 MeV) ; High (14 MeV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Sr96 ; 0.0128307 ; 0.00410583 ; 0.0281933 ; 0.00902186
Sr97 ; 0.00494883 ; 0.00316725 ; 0.00993213 ; 0.00635656
Sr98 ; 0.00143754 ; 9.20026E-4 ; 0.00264204 ; 0.00169091
Sr99 ; 2.63763E-4 ; 1.68808E-4 ; 3.47032E-4 ; 2.22101E-4
Sr100 ; 3.386E-5 ; 2.16704E-5 ; 3.356E-5 ; 2.14784E-5
Sr101 ; 3.59872E-6 ; 2.30318E-6 ; 1.97995E-6 ; 1.26717E-6
Sr102 ; 2.87906E-7 ; 1.8426E-7 ; 7.86985E-8 ; 5.0367E-8
Sr103 ; 5.80522E-9 ; 3.71534E-9 ; 6.69866E-9 ; 4.28714E-9
Sr104 ; 2.01E-9 ; 1.2864E-9 ; 0.0 ; 0.0
Sr105 ; 3.27279E-10 ; 2.09459E-10 ; 0.0 ; 0.0
Sr106 ; 4.55047E-11 ; 2.9123E-11 ; 0.0 ; 0.0
Sr107 ;  ;  ; 0.0 ; 0.0
Y85 ; 1.73E-12 ; 1.1072E-12 ; 0.0 ; 0.0
Y87 ; 5.9E-9 ; 3.776E-9 ; 1.67E-11 ; 1.0688E-11
Y88 ; 2.03E-7 ; 1.2992E-7 ; 1.24E-9 ; 7.93601E-10
Y89 ; 4.19E-7 ; 2.6816E-7 ; 1.26E-8 ; 8.06401E-9
Y89m ; 3.39E-6 ; 2.1696E-6 ; 6.17E-8 ; 3.9488E-8
Y90 ; 2.395E-5 ; 1.5328E-5 ; 9.15001E-7 ; 5.856E-7
Y90m ; 2.395E-5 ; 1.5328E-5 ; 9.15001E-7 ; 5.856E-7
Y91 ; 1.83815E-4 ; 1.17642E-4 ; 1.8985E-5 ; 1.21504E-5
Y91m ; 1.83815E-4 ; 1.17642E-4 ; 1.8985E-5 ; 1.21504E-5
Y92 ; 0.00181416 ; 0.00116106 ; 3.0873E-4 ; 1.97587E-4
Y93 ; 0.00291563 ; 0.001866 ; 9.59456E-4 ; 6.14052E-4
Y93m ; 0.00291563 ; 0.001866 ; 9.59456E-4 ; 6.14052E-4
Y94 ; 0.0140337 ; 0.00449078 ; 0.00618272 ; 0.00395694
Y95 ; 0.023027 ; 0.00736864 ; 0.0182633 ; 0.00584425
Y96 ; 0.00181224 ; 0.00115983 ; 0.00240969 ; 0.0015422
Y96m ; 0.0283957 ; 0.00653102 ; 0.0243645 ; 0.00779664
Y97 ; 0.0130824 ; 0.00837271 ; 0.0163875 ; 0.010488
Y97m ; 0.0130824 ; 0.00837271 ; 0.0163875 ; 0.010488
Y98 ; 0.00854154 ; 0.00546659 ; 0.00951209 ; 0.00608774
Y98m ; 0.00854137 ; 0.00546648 ; 0.00951187 ; 0.00608759
Y99 ; 0.0074063 ; 0.00474003 ; 0.00953442 ; 0.00610203
Y100 ; 0.0022314 ; 0.0014281 ; 0.00221499 ; 0.00141759
Y101 ; 5.5741E-4 ; 3.56742E-4 ; 5.2467E-4 ; 3.35789E-4
Y102 ; 1.0611E-4 ; 6.79104E-5 ; 5.336E-5 ; 3.41504E-5
Y103 ; 1.28342E-5 ; 8.21388E-6 ; 4.7033E-6 ; 3.01011E-6
Y104 ; 3.02E-6 ; 1.9328E-6 ; 7.73001E-13 ; 4.9472E-13
Y105 ; 7.2355E-7 ; 4.63072E-7 ; 9.54674E-15 ; 6.10991E-15
Y106 ; 9.28184E-8 ; 5.94038E-8 ; 1.83512E-16 ; 1.17447E-16
Y107 ; 5.69826E-10 ; 3.64689E-10 ; 1.11418E-16 ; 7.13073E-17
Y108 ; 1.04001E-10 ; 6.65608E-11 ; 0.0 ; 0.0
Y109 ; 2.21927E-11 ; 1.42033E-11 ; 2.41586E-13 ; 1.54615E-13
Y110 ;  ;  ; 1.89045E-15 ; 1.20989E-15
Zr87 ; 4.19E-13 ; 2.6816E-13 ; 0.0 ; 0.0
Zr88 ; 4.11E-11 ; 2.6304E-11 ; 2.14E-14 ; 1.3696E-14
Zr89 ; 2.08E-9 ; 1.3312E-9 ; 3.44E-12 ; 2.2016E-12
Zr90 ; 3.575E-8 ; 2.288E-8 ; 1.93E-10 ; 1.2352E-10
Zr90m ; 3.575E-8 ; 2.288E-8 ; 1.93E-10 ; 1.2352E-10
Zr91 ; 1.45E-6 ; 9.28E-7 ; 2.17E-8 ; 1.3888E-8
Zr92 ; 1.813E-5 ; 1.16032E-5 ; 7.83001E-7 ; 5.0112E-7
Zr93 ; 1.4644E-4 ; 9.37216E-5 ; 1.237E-5 ; 7.91681E-6
Zr94 ; 8.1249E-4 ; 5.19994E-4 ; 1.6645E-4 ; 1.06528E-4
Zr95 ; 0.00309269 ; 0.00197932 ; 0.0011884 ; 7.60577E-4
Zr96 ; 0.0091947 ; 0.00588461 ; 0.00664028 ; 0.00424978
Zr97 ; 0.0177283 ; 0.00567305 ; 0.0172901 ; 0.00553282
Zr98 ; 0.0250825 ; 0.00802641 ; 0.0343777 ; 0.0110009
Zr99 ; 0.0242282 ; 0.00775303 ; 0.0355789 ; 0.0113853
Zr100 ; 0.0161959 ; 0.00518269 ; 0.0292036 ; 0.00934515
Zr101 ; 0.00898091 ; 0.00574778 ; 0.0150075 ; 0.0048024
Zr102 ; 0.00388168 ; 0.00248428 ; 0.0059369 ; 0.00379962
Zr103 ; 0.00106395 ; 6.80928E-4 ; 0.00128139 ; 8.2009E-4
Zr104 ; 4.2603E-4 ; 2.72659E-4 ; 3.34E-6 ; 2.1376E-6
Zr105 ; 1.87696E-4 ; 1.20126E-4 ; 2.88E-7 ; 1.8432E-7
Zr106 ; 2.60971E-5 ; 1.67022E-5 ; 7.53001E-9 ; 4.8192E-9
Zr107 ; 1.60195E-6 ; 1.02525E-6 ; 3.36118E-9 ; 2.15116E-9
Zr108 ; 3.16896E-7 ; 2.02813E-7 ; 6.87E-12 ; 4.3968E-12
Zr109 ; 6.23901E-8 ; 3.99296E-8 ; 8.7751E-9 ; 5.61607E-9
Zr110 ; 1.06E-9 ; 6.784E-10 ; 9.33982E-11 ; 5.97748E-11
Zr111 ; 8.57715E-11 ; 5.48937E-11 ; 1.32841E-13 ; 8.50182E-14
Zr112 ;  ;  ; 1.08564E-14 ; 6.94807E-15
Nb89 ; 9.99E-14 ; 6.3936E-14 ; 0.0 ; 0.0
Nb90 ; 9.57E-12 ; 6.1248E-12 ; 0.0 ; 0.0
Nb91 ; 5.24E-10 ; 3.3536E-10 ; 2.68E-13 ; 1.7152E-13
Nb92 ; 1.72E-8 ; 1.1008E-8 ; 2.66E-11 ; 1.7024E-11
Nb93 ; 3.2E-7 ; 2.048E-7 ; 1.53E-9 ; 9.79201E-10
Nb93m ; 3.96E-8 ; 2.5344E-8 ; 3.14E-10 ; 2.0096E-10
Nb94 ; 3.61E-6 ; 2.3104E-6 ; 4.22E-8 ; 2.7008E-8
Nb94m ; 1.27E-6 ; 8.128E-7 ; 2.48E-8 ; 1.5872E-8
Nb95 ; 4.066E-5 ; 2.60224E-5 ; 1.74E-6 ; 1.1136E-6
Nb95m ; 5.03E-6 ; 3.2192E-6 ; 3.57E-7 ; 2.2848E-7
Nb96 ; 7.638E-5 ; 4.88832E-5 ; 3.015E-5 ; 1.9296E-5
Nb97 ; 0.00132281 ; 8.46598E-4 ; 2.6037E-4 ; 1.66637E-4
Nb97m ; 1.6349E-4 ; 1.04634E-4 ; 5.333E-5 ; 3.41312E-5
Nb98 ; 0.00401967 ; 0.00257259 ; 0.00111814 ; 7.1561E-4
Nb98m ; 7.0942E-4 ; 4.54029E-4 ; 3.1538E-4 ; 2.01843E-4
Nb99 ; 8.2089E-4 ; 5.2537E-4 ; 4.3012E-4 ; 2.75277E-4
Nb99m ; 0.00943991 ; 0.00604154 ; 0.00494625 ; 0.0031656
Nb100 ; 0.0074504 ; 0.00476826 ; 0.00461727 ; 0.00295505
Nb100m ; 0.0074504 ; 0.00476826 ; 0.00461727 ; 0.00295505
Nb101 ; 0.0175659 ; 0.00562108 ; 0.0158022 ; 0.00505669
Nb102 ; 0.00814928 ; 0.00521554 ; 0.006509 ; 0.00416576
Nb102m ; 0.00814928 ; 0.00521554 ; 0.006509 ; 0.00416576
Nb103 ; 0.00955812 ; 0.0061172 ; 0.0101103 ; 0.00323529
Nb104 ; 0.00314482 ; 0.00201269 ; 0.00106194 ; 6.79639E-4
Nb104m ; 0.00314482 ; 0.00201269 ; 0.00106194 ; 6.79639E-4
Nb105 ; 0.00441256 ; 0.00282404 ; 0.00101832 ; 6.51725E-4
Nb106 ; 0.00134389 ; 8.6009E-4 ; 9.30801E-5 ; 5.95712E-5
Nb107 ; 3.26797E-4 ; 2.0915E-4 ; 1.87567E-5 ; 1.20043E-5
Nb108 ; 8.81E-5 ; 5.6384E-5 ; 2.02E-6 ; 1.2928E-6
Nb109 ; 1.27276E-5 ; 8.14566E-6 ; 6.16123E-6 ; 3.94319E-6
Nb110 ; 1.72E-6 ; 1.1008E-6 ; 2.0E-7 ; 1.28E-7
Nb111 ; 1.89624E-7 ; 1.21359E-7 ; 2.12671E-9 ; 1.3611E-9
Nb112 ; 2.54918E-9 ; 1.63147E-9 ; 1.27781E-10 ; 8.17801E-11
Nb113 ; 2.56161E-10 ; 1.63943E-10 ; 1.43699E-13 ; 9.19672E-14
Nb114 ; 1.76835E-11 ; 1.13174E-11 ; 3.52182E-15 ; 2.25396E-15
Mo90 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mo91 ; 1.66E-14 ; 1.0624E-14 ; 0.0 ; 0.0
Mo92 ; 1.45E-12 ; 9.28E-13 ; 0.0 ; 0.0
Mo93 ; 4.01E-11 ; 2.5664E-11 ; 1.16E-14 ; 7.42401E-15
Mo93m ; 4.01E-11 ; 2.5664E-11 ; 1.16E-14 ; 7.42401E-15
Mo94 ; 2.72E-9 ; 1.7408E-9 ; 3.87E-12 ; 2.4768E-12
Mo95 ; 6.5E-8 ; 4.16E-8 ; 3.33E-10 ; 2.1312E-10
Mo96 ; 1.17E-6 ; 7.488E-7 ; 2.15E-8 ; 1.376E-8
Mo97 ; 1.324E-5 ; 8.4736E-6 ; 5.8E-7 ; 3.712E-7
Mo98 ; 1.0047E-4 ; 6.43008E-5 ; 1.117E-5 ; 7.14881E-6
Mo99 ; 5.2058E-4 ; 3.33171E-4 ; 1.0291E-4 ; 6.58624E-5
Mo100 ; 0.00172405 ; 0.00110339 ; 6.92831E-4 ; 4.43412E-4
Mo101 ; 0.00443568 ; 0.00283884 ; 0.00259307 ; 0.00165957
Mo102 ; 0.00882564 ; 0.00564841 ; 0.00759961 ; 0.00486375
Mo103 ; 0.0107781 ; 0.003449 ; 0.0122157 ; 0.00390904
Mo104 ; 0.0113195 ; 0.00362224 ; 0.0109531 ; 0.00350499
Mo105 ; 0.012235 ; 0.00391519 ; 0.010907 ; 0.00349023
Mo106 ; 0.00772846 ; 0.00494621 ; 0.00382878 ; 0.00245042
Mo107 ; 0.00416449 ; 0.00266527 ; 0.002011 ; 0.00128704
Mo108 ; 0.0024642 ; 0.00157709 ; 0.00111736 ; 7.15111E-4
Mo109 ; 8.237E-4 ; 5.27168E-4 ; 3.4615E-4 ; 2.21536E-4
Mo110 ; 2.6043E-4 ; 1.66675E-4 ; 6.599E-5 ; 4.22336E-5
Mo111 ; 4.91903E-5 ; 3.14818E-5 ; 3.38788E-6 ; 2.16824E-6
Mo112 ; 7.76745E-6 ; 4.97117E-6 ; 2.76872E-7 ; 1.77198E-7
Mo113 ; 7.20144E-7 ; 4.60892E-7 ; 5.21955E-9 ; 3.34051E-9
Mo114 ; 5.38823E-8 ; 3.44847E-8 ; 1.73997E-10 ; 1.11358E-10
Mo115 ; 6.85182E-10 ; 4.38516E-10 ; 3.852E-13 ; 2.46528E-13
Mo116 ; 9.54E-11 ; 6.1056E-11 ; 1.2E-14 ; 7.68001E-15
Mo117 ; 2.22332E-11 ; 1.42292E-11 ;  ; 
Tc93 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Tc95 ; 7.38E-12 ; 4.7232E-12 ; 0.0 ; 0.0
Tc95m ; 9.12E-13 ; 5.8368E-13 ; 0.0 ; 0.0
Tc97 ; 5.55E-9 ; 3.552E-9 ; 1.195E-11 ; 7.64801E-12
Tc97m ; 5.55E-9 ; 3.552E-9 ; 1.195E-11 ; 7.64801E-12
Tc98 ; 2.09E-7 ; 1.3376E-7 ; 1.22E-9 ; 7.80801E-10
Tc99 ; 2.42E-6 ; 1.5488E-6 ; 4.04E-8 ; 2.5856E-8
Tc99m ; 2.99E-7 ; 1.9136E-7 ; 8.27001E-9 ; 5.2928E-9
Tc100 ; 2.169E-5 ; 1.38816E-5 ; 8.41001E-7 ; 5.3824E-7
Tc101 ; 1.2914E-4 ; 8.26496E-5 ; 1.271E-5 ; 8.13441E-6
Tc102 ; 2.9121E-4 ; 1.86374E-4 ; 4.507E-5 ; 2.88448E-5
Tc102m ; 2.9121E-4 ; 1.86374E-4 ; 4.507E-5 ; 2.88448E-5
Tc103 ; 0.00154313 ; 9.87603E-4 ; 5.5693E-4 ; 3.56435E-4
Tc104 ; 0.00263307 ; 0.00168516 ; 1.1294E-4 ; 7.22817E-5
Tc105 ; 0.00439497 ; 0.00281278 ; 4.7066E-4 ; 3.01223E-4
Tc106 ; 0.00568379 ; 0.00363763 ; 3.6959E-4 ; 2.36538E-4
Tc107 ; 0.0065057 ; 0.00416365 ; 6.5344E-4 ; 4.18202E-4
Tc108 ; 0.00806243 ; 0.00515996 ; 7.30551E-4 ; 4.67552E-4
Tc109 ; 0.00585289 ; 0.00374585 ; 6.6685E-4 ; 4.26784E-4
Tc110 ; 0.00410536 ; 0.00262743 ; 3.8281E-4 ; 2.44999E-4
Tc111 ; 0.00176637 ; 0.00113048 ; 1.0152E-4 ; 6.49728E-5
Tc112 ; 6.5912E-4 ; 4.21837E-4 ; 2.607E-5 ; 1.66848E-5
Tc113 ; 1.4691E-4 ; 9.40221E-5 ; 3.66478E-6 ; 2.34546E-6
Tc114 ; 2.637E-5 ; 1.68768E-5 ; 2.56E-7 ; 1.6384E-7
Tc115 ; 1.5148E-6 ; 9.69473E-7 ; 6.16684E-9 ; 3.94678E-9
Tc116 ; 2.82E-7 ; 1.8048E-7 ; 2.73E-10 ; 1.7472E-10
Tc117 ; 4.91532E-8 ; 3.1458E-8 ; 1.56371E-12 ; 1.00078E-12
Tc118 ; 4.72435E-10 ; 3.02358E-10 ; 5.0196E-14 ; 3.21254E-14
Tc119 ; 4.3381E-11 ; 2.77638E-11 ; 1.47286E-15 ; 9.42631E-16
Ru95 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru96 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru97 ; 8.3E-13 ; 5.312E-13 ; 0.0 ; 0.0
Ru98 ; 3.93E-11 ; 2.5152E-11 ; 1.85E-14 ; 1.184E-14
Ru99 ; 1.31E-9 ; 8.384E-10 ; 1.98E-12 ; 1.2672E-12
Ru100 ; 2.61E-8 ; 1.6704E-8 ; 1.52E-10 ; 9.72801E-11
Ru101 ; 3.74E-7 ; 2.3936E-7 ; 5.84E-9 ; 3.7376E-9
Ru102 ; 4.02E-6 ; 2.5728E-6 ; 1.79E-7 ; 1.1456E-7
Ru103 ; 2.44E-5 ; 1.5616E-5 ; 2.81E-6 ; 1.7984E-6
Ru104 ; 7.009E-5 ; 4.48576E-5 ; 3.04E-9 ; 1.9456E-9
Ru105 ; 1.8688E-4 ; 1.19603E-4 ; 4.53E-8 ; 2.8992E-8
Ru106 ; 5.1928E-4 ; 3.32339E-4 ; 2.04E-7 ; 1.3056E-7
Ru107 ; 0.00130538 ; 8.35443E-4 ; 1.19E-6 ; 7.61601E-7
Ru108 ; 0.00341378 ; 0.00218482 ; 7.31001E-6 ; 4.6784E-6
Ru109 ; 0.00263684 ; 0.00168758 ; 1.02735E-4 ; 6.57504E-5
Ru109m ; 0.00263684 ; 0.00168758 ; 1.02735E-4 ; 6.57504E-5
Ru110 ; 0.00786705 ; 0.00503491 ; 5.6714E-4 ; 3.6297E-4
Ru111 ; 0.00726361 ; 0.00464871 ; 4.0888E-4 ; 2.61683E-4
Ru112 ; 0.00604958 ; 0.00387173 ; 4.7318E-4 ; 3.02835E-4
Ru113 ; 0.00302811 ; 0.00193799 ; 1.839E-4 ; 1.17696E-4
Ru114 ; 0.00126425 ; 8.0912E-4 ; 5.915E-5 ; 3.7856E-5
Ru115 ; 3.92955E-4 ; 2.51491E-4 ; 9.82384E-6 ; 6.28726E-6
Ru116 ; 7.654E-5 ; 4.89856E-5 ; 8.87001E-7 ; 5.6768E-7
Ru117 ; 1.27508E-5 ; 8.16053E-6 ; 5.67985E-8 ; 3.6351E-8
Ru118 ; 1.43953E-6 ; 9.21298E-7 ; 2.47995E-9 ; 1.58717E-9
Ru119 ; 1.21957E-7 ; 7.80522E-8 ; 5.34986E-11 ; 3.42391E-11
Ru120 ; 6.84E-9 ; 4.3776E-9 ; 6.48E-13 ; 4.1472E-13
Ru121 ; 3.42707E-10 ; 2.19332E-10 ; 1.01184E-14 ; 6.47577E-15
Ru122 ; 1.01E-11 ; 6.464E-12 ; 0.0 ; 0.0
Ru124 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rh99 ; 5.58E-14 ; 3.5712E-14 ; 0.0 ; 0.0
Rh101 ; 1.09E-11 ; 6.976E-12 ; 0.0 ; 0.0
Rh101m ; 8.81E-11 ; 5.6384E-11 ; 4.79E-14 ; 3.0656E-14
Rh102 ; 1.3E-9 ; 8.32E-10 ; 2.36E-12 ; 1.5104E-12
Rh102m ; 1.3E-9 ; 8.32E-10 ; 2.36E-12 ; 1.5104E-12
Rh103 ; 2.98E-9 ; 1.9072E-9 ; 3.92E-11 ; 2.5088E-11
Rh103m ; 3.43E-8 ; 2.1952E-8 ; 2.88E-10 ; 1.8432E-10
Rh104 ; 2.77E-8 ; 1.7728E-8 ; 0.0 ; 0.0
Rh104m ; 1.57E-7 ; 1.0048E-7 ; 0.0 ; 0.0
Rh105 ; 7.52E-7 ; 4.8128E-7 ; 0.0 ; 0.0
Rh105m ; 5.66E-8 ; 3.6224E-8 ; 0.0 ; 0.0
Rh106 ; 2.54E-6 ; 1.6256E-6 ; 0.0 ; 0.0
Rh106m ; 2.54E-6 ; 1.6256E-6 ; 0.0 ; 0.0
Rh107 ; 2.968E-5 ; 1.89952E-5 ; 5.55E-13 ; 3.552E-13
Rh108 ; 8.66E-5 ; 5.5424E-5 ; 6.84E-12 ; 4.3776E-12
Rh108m ; 8.66E-5 ; 5.5424E-5 ; 6.84E-12 ; 4.3776E-12
Rh109 ; 2.9878E-4 ; 1.91219E-4 ; 1.02E-6 ; 6.528E-7
Rh109m ; 2.9878E-4 ; 1.91219E-4 ; 1.02E-6 ; 6.528E-7
Rh110 ; 9.728E-4 ; 6.22592E-4 ; 9.50001E-6 ; 6.08E-6
Rh110m ; 9.728E-4 ; 6.22592E-4 ; 9.50001E-6 ; 6.08E-6
Rh111 ; 0.00385364 ; 0.00246633 ; 6.676E-5 ; 4.27264E-5
Rh112 ; 0.00696207 ; 0.00313293 ; 2.0202E-4 ; 1.29293E-4
Rh113 ; 0.007422 ; 0.00475008 ; 3.2014E-4 ; 2.0489E-4
Rh114 ; 0.00682538 ; 0.00436824 ; 2.491E-4 ; 1.59424E-4
Rh115 ; 0.00468766 ; 0.0030001 ; 1.7675E-4 ; 1.1312E-4
Rh116 ; 0.0020937 ; 0.00133997 ; 4.239E-5 ; 2.71296E-5
Rh117 ; 8.0574E-4 ; 5.15674E-4 ; 1.182E-5 ; 7.56481E-6
Rh118 ; 2.1773E-4 ; 1.39347E-4 ; 1.44E-6 ; 9.21601E-7
Rh119 ; 4.384E-5 ; 2.80576E-5 ; 1.43E-7 ; 9.15201E-8
Rh120 ; 6.08E-6 ; 3.8912E-6 ; 5.19E-9 ; 3.3216E-9
Rh121 ; 7.57657E-7 ; 4.84901E-7 ; 1.6199E-10 ; 1.03674E-10
Rh122 ; 5.34E-8 ; 3.4176E-8 ; 2.34E-12 ; 1.4976E-12
Rh123 ; 3.16E-9 ; 2.0224E-9 ; 2.78E-14 ; 1.7792E-14
Rh124 ; 1.16E-10 ; 7.424E-11 ; 0.0 ; 0.0
Rh125 ; 8.07171E-12 ; 5.16589E-12 ;  ; 
Pd99 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd101 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd102 ; 1.48E-13 ; 9.472E-14 ; 0.0 ; 0.0
Pd103 ; 5.11E-12 ; 3.2704E-12 ; 0.0 ; 0.0
Pd104 ; 4.43E-11 ; 2.8352E-11 ; 0.0 ; 0.0
Pd105 ; 3.22E-10 ; 2.0608E-10 ; 0.0 ; 0.0
Pd106 ; 4.69E-9 ; 3.0016E-9 ; 0.0 ; 0.0
Pd107 ; 1.39E-8 ; 8.896E-9 ; 0.0 ; 0.0
Pd107m ; 5.24E-8 ; 3.3536E-8 ; 0.0 ; 0.0
Pd108 ; 9.04E-7 ; 5.7856E-7 ; 0.0 ; 0.0
Pd109 ; 1.54E-6 ; 9.856E-7 ; 6.12E-10 ; 3.9168E-10
Pd109m ; 5.8E-6 ; 3.712E-6 ; 1.36E-9 ; 8.70401E-10
Pd110 ; 5.539E-5 ; 3.54496E-5 ; 1.16E-7 ; 7.42401E-8
Pd111 ; 5.225E-5 ; 3.344E-5 ; 4.32E-7 ; 2.7648E-7
Pd111m ; 1.9656E-4 ; 1.25798E-4 ; 9.62001E-7 ; 6.1568E-7
Pd112 ; 0.00101811 ; 6.5159E-4 ; 2.114E-5 ; 1.35296E-5
Pd113 ; 0.00235642 ; 0.00150811 ; 8.89201E-5 ; 5.69088E-5
Pd114 ; 0.00472194 ; 0.00302204 ; 2.7339E-4 ; 1.7497E-4
Pd115 ; 0.00687582 ; 0.00440052 ; 4.5188E-4 ; 2.89203E-4
Pd116 ; 0.00671007 ; 0.00429444 ; 4.1867E-4 ; 2.67949E-4
Pd117 ; 0.00560509 ; 0.00358726 ; 2.7114E-4 ; 1.7353E-4
Pd118 ; 0.00343219 ; 0.0021966 ; 1.3905E-4 ; 8.89921E-5
Pd119 ; 0.001568 ; 0.00100352 ; 3.561E-5 ; 2.27904E-5
Pd120 ; 5.1539E-4 ; 3.2985E-4 ; 6.09E-6 ; 3.8976E-6
Pd121 ; 1.5155E-4 ; 9.6992E-5 ; 5.56E-7 ; 3.5584E-7
Pd122 ; 2.554E-5 ; 1.63456E-5 ; 3.98E-8 ; 2.5472E-8
Pd123 ; 3.66E-6 ; 2.3424E-6 ; 1.38E-9 ; 8.83201E-10
Pd124 ; 3.42E-7 ; 2.1888E-7 ; 0.0 ; 0.0
Pd125 ; 2.26919E-8 ; 1.45228E-8 ; 0.0 ; 0.0
Pd126 ; 1.23E-9 ; 7.872E-10 ; 0.0 ; 0.0
Pd127 ; 1.46939E-10 ; 9.4041E-11 ;  ; 
Pd128 ; 1.27E-11 ; 8.128E-12 ; 0.0 ; 0.0
Pd129 ;  ;  ; 0.0 ; 0.0
Pd130 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag103 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag105 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag105m ; 1.04E-14 ; 6.656E-15 ; 0.0 ; 0.0
Ag106 ; 6.95E-14 ; 4.448E-14 ; 0.0 ; 0.0
Ag106m ; 3.16E-13 ; 2.0224E-13 ; 0.0 ; 0.0
Ag107 ; 1.07E-12 ; 6.848E-13 ; 0.0 ; 0.0
Ag107m ; 1.23E-11 ; 7.872E-12 ; 0.0 ; 0.0
Ag108 ; 2.185E-10 ; 1.3984E-10 ; 0.0 ; 0.0
Ag108m ; 2.185E-10 ; 1.3984E-10 ; 0.0 ; 0.0
Ag109 ; 4.32E-9 ; 2.7648E-9 ; 2.09E-14 ; 1.3376E-14
Ag109m ; 4.32E-9 ; 2.7648E-9 ; 2.09E-14 ; 1.3376E-14
Ag110 ; 2.82E-8 ; 1.8048E-8 ; 2.66E-12 ; 1.7024E-12
Ag110m ; 1.29E-7 ; 8.256E-8 ; 7.19001E-12 ; 4.6016E-12
Ag111 ; 1.34E-7 ; 8.576E-8 ; 8.68001E-11 ; 5.5552E-11
Ag111m ; 1.54E-6 ; 9.856E-7 ; 6.37E-10 ; 4.0768E-10
Ag112 ; 1.647E-5 ; 1.05408E-5 ; 3.69E-8 ; 2.3616E-8
Ag113 ; 7.01E-6 ; 4.4864E-6 ; 9.42001E-8 ; 6.0288E-8
Ag113m ; 8.063E-5 ; 5.16032E-5 ; 6.91001E-7 ; 4.4224E-7
Ag114 ; 4.0435E-4 ; 2.58784E-4 ; 6.57E-6 ; 4.2048E-6
Ag115 ; 6.4889E-4 ; 4.1529E-4 ; 2.307E-5 ; 1.47648E-5
Ag115m ; 6.4889E-4 ; 4.1529E-4 ; 2.307E-5 ; 1.47648E-5
Ag116 ; 0.00139176 ; 8.90726E-4 ; 5.019E-5 ; 3.21216E-5
Ag116m ; 0.00139176 ; 8.90726E-4 ; 5.019E-5 ; 3.21216E-5
Ag117 ; 0.0024756 ; 0.00158438 ; 1.1689E-4 ; 7.48097E-5
Ag117m ; 0.0024756 ; 0.00158438 ; 1.1689E-4 ; 7.48097E-5
Ag118 ; 0.00328853 ; 0.00210466 ; 1.3409E-4 ; 8.58177E-5
Ag118m ; 0.00328853 ; 0.00210466 ; 1.3409E-4 ; 8.58177E-5
Ag119 ; 0.00644788 ; 0.00412664 ; 2.5915E-4 ; 1.65856E-4
Ag120 ; 0.00236518 ; 0.00151372 ; 5.6325E-5 ; 3.6048E-5
Ag120m ; 0.00236518 ; 0.00151372 ; 5.6325E-5 ; 3.6048E-5
Ag121 ; 0.00310855 ; 0.00198947 ; 4.592E-5 ; 2.93888E-5
Ag122 ; 5.98525E-4 ; 3.83056E-4 ; 4.625E-6 ; 2.96E-6
Ag122m ; 5.98525E-4 ; 3.83056E-4 ; 4.625E-6 ; 2.96E-6
Ag123 ; 3.9939E-4 ; 2.5561E-4 ; 1.5E-6 ; 9.60001E-7
Ag124 ; 9.274E-5 ; 5.93536E-5 ; 1.56E-11 ; 9.98401E-12
Ag125 ; 1.553E-5 ; 9.9392E-6 ; 1.24E-12 ; 7.93601E-13
Ag126 ; 2.15E-6 ; 1.376E-6 ; 8.56001E-14 ; 5.4784E-14
Ag127 ; 3.24853E-7 ; 2.07906E-7 ; 0.0 ; 0.0
Ag128 ; 7.58E-8 ; 4.8512E-8 ; 0.0 ; 0.0
Ag129 ; 2.1086E-9 ; 1.3495E-9 ; 7.95562E-17 ; 5.0916E-17
Ag130 ; 1.34E-10 ; 8.576E-11 ; 1.67E-10 ; 1.0688E-10
Ag131 ;  ;  ; 3.16596E-12 ; 2.02622E-12
Ag132 ;  ;  ; 5.30297E-14 ; 3.3939E-14
Cd105 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cd106 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cd107 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cd108 ; 1.86E-14 ; 1.1904E-14 ; 0.0 ; 0.0
Cd109 ; 9.06E-13 ; 5.7984E-13 ; 0.0 ; 0.0
Cd110 ; 4.05E-11 ; 2.592E-11 ; 0.0 ; 0.0
Cd111 ; 1.48E-10 ; 9.472E-11 ; 0.0 ; 0.0
Cd111m ; 9.09E-10 ; 5.8176E-10 ; 2.56E-14 ; 1.6384E-14
Cd112 ; 2.58E-8 ; 1.6512E-8 ; 9.70001E-12 ; 6.208E-12
Cd113 ; 4.61E-8 ; 2.9504E-8 ; 1.41E-10 ; 9.02401E-11
