Product ,  , 
Product ,  , 
Product , Yield , Error
Ge78 ,3.27492E-04,2.09595E-04
Ge79 ,5.70241E-04,3.64954E-04
Ge79m ,5.70241E-04,3.64954E-04
Ge80 ,1.80869E-03,1.15756E-03
Ge81 ,1.34454E-03,8.60503E-04
Ge82 ,8.19329E-04,5.24371E-04
Ge83 ,2.47504E-04,1.58402E-04
Ge84 ,1.72596E-04,1.10461E-04
Ge85 ,1.31697E-05,8.42859E-06
Ge86 ,2.17995E-06,1.39516E-06
Ge87 ,3.58981E-08,2.29748E-08
Ge88 ,1.05995E-09,6.78369E-10
Ge89 ,1.00525E-11,6.43362E-12
Ge90 ,2.39315E-12,1.53161E-12
As69 ,0.00000E+00,0.00000E+00
As71 ,0.00000E+00,0.00000E+00
As72 ,0.00000E+00,0.00000E+00
As73 ,5.69986E-13,3.64791E-13
As74 ,1.01997E-11,6.52784E-12
As74m ,2.38994E-11,1.52956E-11
As75 ,2.78993E-09,1.78556E-09
As76 ,5.55986E-08,3.55831E-08
As77 ,1.18997E-06,7.61581E-07
As78 ,1.15797E-05,7.41101E-06
As79 ,9.52376E-05,6.09521E-05
As80 ,4.17920E-04,2.67468E-04
As81 ,2.04937E-03,1.31160E-03
As82 ,1.58740E-03,1.01594E-03
As82m ,1.58740E-03,1.01594E-03
As83 ,4.56856E-03,2.92388E-03
As84 ,7.78315E-04,4.98122E-04
As84m ,7.78315E-04,4.98122E-04
As85 ,1.05135E-03,6.72866E-04
As86 ,4.27509E-04,2.73606E-04
As87 ,3.26192E-05,2.08763E-05
As88 ,2.44994E-06,1.56796E-06
As89 ,1.56986E-07,1.00471E-07
As90 ,2.73773E-08,1.75215E-08
As91 ,  ,  
As92 ,1.82384E-12,1.16726E-12
As93 ,3.45025E-12,2.20816E-12
Se72 ,0.00000E+00,0.00000E+00
Se73 ,0.00000E+00,0.00000E+00
Se73m ,0.00000E+00,0.00000E+00
Se74 ,0.00000E+00,0.00000E+00
Se75 ,4.95988E-13,3.17432E-13
Se76 ,4.27989E-11,2.73913E-11
Se77 ,2.74993E-10,1.75996E-10
Se77m ,1.83995E-09,1.17757E-09
Se78 ,9.63976E-08,6.16945E-08
Se79 ,2.61993E-06,1.67676E-06
Se79m ,3.91990E-07,2.50874E-07
Se80 ,3.34392E-05,1.07005E-05
Se81 ,3.19992E-05,3.51991E-06
Se81m ,2.13995E-04,2.35394E-05
Se82 ,1.85137E-03,1.11082E-04
Se83 ,4.01271E-03,2.40763E-04
Se83m ,9.39386E-04,3.75755E-05
Se84 ,1.23845E-02,5.57304E-03
Se85 ,5.88121E-03,3.76398E-03
Se85m ,5.88121E-03,3.76398E-03
Se86 ,8.00840E-03,5.12538E-03
Se87 ,3.28442E-03,2.10203E-03
Se88 ,1.09169E-03,6.98683E-04
Se89 ,1.71426E-04,1.09712E-04
Se90 ,5.75412E-05,3.68264E-05
Se91 ,0.00000E+00,0.00000E+00
Se92 ,8.63960E-08,5.52934E-08
Se93 ,1.19727E-07,7.66254E-08
Se94 ,2.15995E-11,1.38237E-11
Se95 ,1.32583E-13,8.48533E-14
Se96 ,0.00000E+00,0.00000E+00
Br75 ,0.00000E+00,0.00000E+00
Br77 ,1.82995E-14,1.17117E-14
Br77m ,6.12985E-14,3.92310E-14
Br78 ,9.02977E-12,5.77905E-12
Br79 ,3.06992E-10,1.96475E-10
Br79m ,1.02997E-09,6.59183E-10
Br80 ,2.44994E-08,1.56796E-08
Br80m ,7.33982E-08,4.69748E-08
Br81 ,1.52996E-06,9.79175E-07
Br82 ,5.78985E-06,4.63188E-07
Br82m ,2.47994E-06,1.58716E-06
Br83 ,3.66181E-04,2.34356E-04
Br84 ,7.99670E-04,5.11789E-04
Br84m ,1.42190E-03,9.10019E-04
Br85 ,8.86652E-03,5.67457E-03
Br86 ,6.89851E-03,4.41504E-03
Br86m ,6.89851E-03,4.41504E-03
Br87 ,1.72587E-02,3.45173E-04
Br88 ,1.17232E-02,3.28249E-04
Br89 ,5.99287E-03,3.59572E-04
Br90 ,2.20724E-03,3.53159E-04
Br91 ,4.75408E-04,1.09344E-04
Br92 ,5.75186E-05,3.68119E-05
Br93 ,8.29582E-05,5.30932E-05
Br94 ,1.73996E-07,1.11357E-07
Br95 ,2.07049E-09,1.32512E-09
Br96 ,8.96977E-11,5.74066E-11
Br97 ,2.58480E-12,1.65427E-12
Br98 ,1.83650E-12,1.17536E-12
Kr77 ,0.00000E+00,0.00000E+00
Kr78 ,0.00000E+00,0.00000E+00
Kr79 ,2.87493E-14,1.83995E-14
Kr79m ,2.87493E-14,1.83995E-14
Kr80 ,8.72978E-12,5.58706E-12
Kr81 ,7.04982E-10,4.51189E-10
Kr81m ,1.04997E-10,6.71983E-11
Kr82 ,2.39994E-08,1.53596E-08
Kr83 ,1.26997E-06,8.12780E-07
Kr83m ,2.96993E-07,1.90075E-07
Kr84 ,3.53391E-05,2.26170E-05
Kr85 ,9.55756E-04,2.19824E-04
Kr85m ,2.17745E-04,3.48391E-05
Kr86 ,5.69313E-03,2.27725E-04
Kr87 ,1.85850E-02,5.20381E-04
Kr88 ,3.83510E-02,7.67020E-04
Kr89 ,4.64604E-02,9.29207E-04
Kr90 ,3.94790E-02,7.89581E-04
Kr91 ,1.91160E-02,3.82321E-04
Kr92 ,7.50740E-03,2.10207E-04
Kr93 ,1.48773E-03,5.95093E-05
Kr94 ,2.60293E-04,1.66588E-04
Kr95 ,3.18785E-06,2.04022E-06
Kr96 ,1.59996E-06,1.02397E-06
Kr97 ,8.96952E-08,5.74049E-08
Kr98 ,8.69960E-08,5.56774E-08
Kr99 ,1.04745E-11,6.70367E-12
Kr100 ,2.80993E-13,1.79835E-13
Rb79 ,0.00000E+00,0.00000E+00
Rb81 ,0.00000E+00,0.00000E+00
Rb83 ,1.99995E-10,1.27997E-10
Rb84 ,6.42984E-10,4.11510E-10
Rb85 ,6.19984E-07,3.96790E-07
Rb86 ,4.49989E-06,2.87993E-06
Rb86m ,4.49989E-06,2.87993E-06
Rb87 ,7.49881E-04,1.19981E-04
Rb88 ,3.40948E-03,2.18207E-03
Rb89 ,9.99751E-03,3.19920E-03
Rb90 ,4.42241E-03,2.83034E-03
Rb90m ,1.88394E-02,6.02862E-03
Rb91 ,3.41793E-02,1.09374E-02
Rb92 ,2.92591E-02,9.36290E-03
Rb93 ,1.84443E-02,8.29993E-03
Rb94 ,5.89801E-03,3.77473E-03
Rb95 ,2.14167E-03,1.37067E-03
Rb96 ,3.13462E-04,2.00616E-04
Rb97 ,8.14780E-05,5.21459E-05
Rb98 ,1.94015E-04,1.24170E-04
Rb99 ,1.63576E-07,1.04688E-07
Rb100 ,7.26982E-09,4.65268E-09
Rb101 ,6.45478E-11,4.13106E-11
Rb102 ,2.01593E-12,1.29020E-12
Rb103 ,2.11799E-13,1.35551E-13
Sr83 ,0.00000E+00,0.00000E+00
Sr84 ,6.73983E-13,4.31349E-13
Sr85 ,4.85988E-11,3.11032E-11
Sr85m ,4.85988E-11,3.11032E-11
Sr86 ,7.84980E-09,5.02387E-09
Sr87 ,2.88993E-07,1.84955E-07
Sr87m ,6.76983E-08,4.33269E-08
Sr88 ,1.08397E-05,6.93743E-06
Sr89 ,1.09155E-03,1.74648E-04
Sr90 ,3.35699E-03,2.68559E-04
Sr91 ,1.11141E-02,4.44565E-04
Sr92 ,2.68057E-02,5.36114E-04
Sr93 ,4.44592E-02,1.42269E-02
Sr94 ,4.84063E-02,1.54900E-02
Sr95 ,3.26718E-02,1.04550E-02
Sr96 ,1.79867E-02,5.75574E-03
Sr97 ,6.42236E-03,2.56894E-04
Sr98 ,2.20060E-03,1.40839E-03
Sr99 ,2.51850E-04,1.61184E-04
Sr100 ,3.38891E-05,2.16891E-05
Sr101 ,2.23988E-06,1.43352E-06
Sr102 ,9.54956E-08,6.11172E-08
Sr103 ,7.34965E-09,4.70377E-09
Sr104 ,0.00000E+00,0.00000E+00
Sr105 ,0.00000E+00,0.00000E+00
Sr106 ,0.00000E+00,0.00000E+00
Sr107 ,0.00000E+00,0.00000E+00
Y85 ,0.00000E+00,0.00000E+00
Y87 ,1.33997E-11,8.57578E-12
Y88 ,1.04997E-09,6.71983E-10
Y89 ,1.14997E-08,7.35982E-09
Y89m ,4.88988E-08,3.12952E-08
Y90 ,7.04982E-07,4.51189E-07
Y90m ,7.04982E-07,4.51189E-07
Y91 ,1.41696E-05,9.06857E-06
Y91m ,1.41696E-05,9.06857E-06
Y92 ,1.60146E-03,1.76161E-04
Y93 ,2.49665E-03,1.59786E-03
Y93m ,2.49665E-03,1.59786E-03
Y94 ,1.31005E-02,4.19216E-03
Y95 ,2.53784E-02,8.12110E-03
Y96 ,2.76613E-03,1.77032E-03
Y96m ,2.49256E-02,7.97620E-03
Y97 ,1.28184E-02,8.20377E-03
Y97m ,1.28184E-02,8.20377E-03
Y98 ,6.48463E-03,4.15016E-03
Y98m ,6.48463E-03,4.15016E-03
Y99 ,7.09535E-03,2.83814E-04
Y100 ,1.31373E-03,8.40785E-04
Y101 ,5.33047E-04,3.41150E-04
Y102 ,5.28687E-05,3.38360E-05
Y103 ,5.09252E-06,3.25921E-06
Y104 ,1.45996E-10,9.34377E-11
Y105 ,1.64828E-12,1.05490E-12
Y106 ,4.66676E-16,2.98672E-16
Y107 ,2.30179E-16,1.47315E-16
Y108 ,0.00000E+00,0.00000E+00
Y109 ,2.46683E-14,1.57877E-14
Zr87 ,0.00000E+00,0.00000E+00
Zr88 ,1.78996E-14,1.14557E-14
Zr89 ,2.68993E-12,1.72156E-12
Zr90 ,1.50996E-10,9.66376E-11
Zr90m ,1.50996E-10,9.66376E-11
Zr91 ,1.55996E-08,9.98375E-09
Zr92 ,6.56984E-07,4.20469E-07
Zr93 ,1.21097E-05,7.75021E-06
Zr94 ,1.09151E-03,1.74642E-04
Zr95 ,3.43868E-03,2.75095E-04
Zr96 ,1.07435E-02,3.00819E-04
Zr97 ,2.20594E-02,4.41188E-04
Zr98 ,3.43934E-02,1.54770E-02
Zr99 ,3.30316E-02,1.05701E-02
Zr100 ,3.13373E-02,6.26746E-04
Zr101 ,1.33646E-02,4.27666E-03
Zr102 ,6.11212E-03,3.91175E-03
Zr103 ,1.35199E-03,8.65271E-04
Zr104 ,1.77296E-04,1.13469E-04
Zr105 ,1.83695E-05,1.17565E-05
Zr106 ,7.09982E-09,4.54389E-09
Zr107 ,2.56527E-09,1.64177E-09
Zr108 ,5.36987E-12,3.43671E-12
Zr109 ,8.56018E-10,5.47851E-10
Zr110 ,3.15992E-12,2.02235E-12
Zr111 ,1.36739E-14,8.75132E-15
Nb89 ,0.00000E+00,0.00000E+00
Nb90 ,0.00000E+00,0.00000E+00
Nb91 ,1.65996E-13,1.06237E-13
Nb92 ,1.80995E-11,1.15837E-11
Nb93 ,1.28997E-09,8.25579E-10
Nb93m ,3.02992E-10,1.93915E-10
Nb94 ,3.04992E-08,1.95195E-08
Nb94m ,2.11995E-08,1.35677E-08
Nb95 ,1.33997E-06,8.57578E-07
Nb95m ,3.14992E-07,2.01595E-07
Nb96 ,5.58486E-05,3.57431E-05
Nb97 ,7.63281E-04,1.22125E-04
Nb97m ,1.85615E-04,1.18794E-04
Nb98 ,1.51658E-03,9.70612E-04
Nb98m ,5.05807E-04,3.23717E-04
Nb99 ,6.30234E-04,4.03350E-04
Nb99m ,7.24236E-03,3.62118E-05
Nb100 ,4.61005E-03,2.95043E-03
Nb100m ,4.61005E-03,2.95043E-03
Nb101 ,1.52199E-02,6.08794E-04
Nb102 ,4.95031E-03,3.16820E-03
Nb102m ,4.95031E-03,3.16820E-03
Nb103 ,6.40629E-03,4.10003E-03
Nb104 ,7.91235E-04,5.06390E-04
Nb104m ,7.91235E-04,5.06390E-04
Nb105 ,6.45284E-04,4.12982E-04
Nb106 ,3.83390E-05,2.45370E-05
Nb107 ,8.78721E-06,5.62382E-06
Nb108 ,8.13980E-07,5.20947E-07
Nb109 ,5.93129E-07,3.79603E-07
Nb110 ,1.23997E-08,7.93580E-09
Nb111 ,2.13540E-10,1.36666E-10
Nb112 ,1.99904E-13,1.27939E-13
Nb113 ,8.51348E-15,5.44863E-15
Nb114 ,  ,  
Mo90 ,0.00000E+00,0.00000E+00
Mo91 ,0.00000E+00,0.00000E+00
Mo92 ,0.00000E+00,0.00000E+00
Mo93 ,9.99975E-15,6.39984E-15
Mo93m ,9.99975E-15,6.39984E-15
Mo94 ,3.13992E-12,2.00955E-12
Mo95 ,2.59993E-10,1.66396E-10
Mo96 ,1.59996E-08,1.02397E-08
Mo97 ,4.81988E-07,3.08472E-07
Mo98 ,9.41976E-06,6.02865E-06
Mo99 ,9.94255E-04,2.28679E-04
Mo100 ,2.69479E-03,4.31167E-04
Mo101 ,2.58336E-03,1.65335E-03
