Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ni74 ; 1.50996E-7 ; 9.66376E-8 ; 1.25E-7 ; 8.0E-8 ; 4.2E-6 ; 2.688E-6
Ni75 ; 4.60988E-8 ; 2.95033E-8 ; 3.31E-8 ; 2.1184E-8 ; 1.25E-6 ; 8.0E-7
Ni76 ; 7.37981E-9 ; 4.72308E-9 ; 4.35E-9 ; 2.784E-9 ; 2.68E-7 ; 1.7152E-7
Ni77 ; 5.12972E-10 ; 3.28302E-10 ; 2.59993E-10 ; 1.66396E-10 ; 3.81868E-8 ; 2.44396E-8
Ni78 ; 2.93986E-11 ; 1.88151E-11 ; 9.88E-12 ; 6.3232E-12 ; 3.80903E-9 ; 2.43778E-9
Ni79 ; 4.57806E-13 ; 2.92996E-13 ; 1.7603E-13 ; 1.12659E-13 ; 2.25967E-10 ; 1.44619E-10
Ni80 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 7.75E-12 ; 4.96E-12
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu66 ; 3.9199E-12 ; 2.50874E-12 ; 9.07E-12 ; 5.8048E-12 ; 3.12E-8 ; 1.9968E-8
Cu67 ; 1.39996E-10 ; 8.95978E-11 ; 2.6E-10 ; 1.664E-10 ; 3.36E-7 ; 2.1504E-7
Cu68 ; 4.40989E-10 ; 2.82233E-10 ; 7.23E-10 ; 4.6272E-10 ; 2.5E-7 ; 1.6E-7
Cu68m ; 1.02997E-9 ; 6.59183E-10 ; 1.95E-9 ; 1.248E-9 ; 1.14E-6 ; 7.296E-7
Cu69 ; 1.44996E-8 ; 9.27977E-9 ; 2.47E-8 ; 1.5808E-8 ; 5.82E-6 ; 3.7248E-6
Cu70 ; 2.48994E-8 ; 1.59356E-8 ; 3.76E-8 ; 2.4064E-8 ; 2.66E-6 ; 1.7024E-6
Cu70m ; 7.47981E-8 ; 4.78708E-8 ; 1.33E-7 ; 8.512E-8 ; 1.506E-5 ; 9.63839E-6
Cu71 ; 8.21979E-7 ; 5.26067E-7 ; 1.23E-6 ; 7.872E-7 ; 3.932E-5 ; 2.51648E-5
Cu72 ; 1.80995E-6 ; 1.15837E-6 ; 2.89E-6 ; 1.8496E-6 ; 7.243E-5 ; 4.63552E-5
Cu73 ; 3.8999E-6 ; 2.49594E-6 ; 4.62E-6 ; 2.9568E-6 ; 8.159E-5 ; 5.22176E-5
Cu74 ; 3.35992E-6 ; 2.15035E-6 ; 3.91E-6 ; 2.5024E-6 ; 7.182E-5 ; 4.59648E-5
Cu75 ; 4.20989E-6 ; 2.69433E-6 ; 4.21E-6 ; 2.6944E-6 ; 4.859E-5 ; 3.10976E-5
Cu76 ; 1.48996E-6 ; 9.53576E-7 ; 1.35E-6 ; 8.64E-7 ; 2.409E-5 ; 1.54176E-5
Cu77 ; 4.65988E-7 ; 2.98233E-7 ; 3.49E-7 ; 2.2336E-7 ; 8.27E-6 ; 5.2928E-6
Cu78 ; 6.54984E-8 ; 4.19189E-8 ; 3.48E-8 ; 2.2272E-8 ; 2.02E-6 ; 1.2928E-6
Cu79 ; 7.14936E-9 ; 4.57559E-9 ; 2.91982E-9 ; 1.86869E-9 ; 3.03774E-7 ; 1.94415E-7
Cu80 ; 2.62993E-10 ; 1.68316E-10 ; 1.45E-10 ; 9.28E-11 ; 2.84E-8 ; 1.8176E-8
Cu81 ; 1.16997E-11 ; 7.48781E-12 ; 4.56E-12 ; 2.9184E-12 ; 1.79E-9 ; 1.1456E-9
Cu82 ; 2.88993E-13 ; 1.84955E-13 ; 4.71E-14 ; 3.0144E-14 ; 6.41E-11 ; 4.1024E-11
Cu83 ; 7.40571E-15 ; 4.73966E-15 ;  ;  ;  ; 
Zn66 ; 0.0 ; 0.0 ; 1.5E-14 ; 9.6E-15 ; 1.08E-10 ; 6.912E-11
Zn67 ; 4.94988E-13 ; 3.16792E-13 ; 1.07E-12 ; 6.848E-13 ; 2.75E-9 ; 1.76E-9
Zn68 ; 2.21994E-11 ; 1.42076E-11 ; 4.42E-11 ; 2.8288E-11 ; 2.65E-8 ; 1.696E-8
Zn69 ; 8.92978E-11 ; 5.71506E-11 ; 1.62E-10 ; 1.0368E-10 ; 2.86E-8 ; 1.8304E-8
Zn69m ; 3.8099E-10 ; 2.43834E-10 ; 7.91E-10 ; 5.0624E-10 ; 2.31E-7 ; 1.4784E-7
Zn70 ; 1.26997E-8 ; 8.1278E-9 ; 2.46E-8 ; 1.5744E-8 ; 1.77E-6 ; 1.1328E-6
Zn71 ; 4.0299E-8 ; 2.57914E-8 ; 6.57E-8 ; 4.2048E-8 ; 9.46999E-7 ; 6.0608E-7
Zn71m ; 1.71996E-7 ; 1.10077E-7 ; 3.21E-7 ; 2.0544E-7 ; 7.66E-6 ; 4.9024E-6
Zn72 ; 1.67996E-6 ; 1.07517E-6 ; 3.1E-6 ; 1.984E-6 ; 3.414E-5 ; 2.18496E-5
Zn73 ; 6.85983E-6 ; 4.39029E-6 ; 9.91E-6 ; 6.3424E-6 ; 8.352E-5 ; 5.34528E-5
Zn74 ; 2.09295E-5 ; 1.33949E-5 ; 2.844E-5 ; 1.82016E-5 ; 1.5657E-4 ; 1.00205E-4
Zn75 ; 5.15087E-5 ; 3.29656E-5 ; 6.623E-5 ; 4.23872E-5 ; 2.2807E-4 ; 1.45965E-4
Zn76 ; 6.79883E-5 ; 4.35125E-5 ; 7.873E-5 ; 5.03872E-5 ; 2.4789E-4 ; 1.5865E-4
Zn77 ; 4.69288E-5 ; 3.00344E-5 ; 4.84E-5 ; 3.0976E-5 ; 1.9489E-4 ; 1.2473E-4
Zn78 ; 2.83293E-5 ; 1.81307E-5 ; 1.998E-5 ; 1.27872E-5 ; 1.1143E-4 ; 7.13152E-5
Zn79 ; 7.57981E-6 ; 4.85108E-6 ; 4.27E-6 ; 2.7328E-6 ; 4.188E-5 ; 2.68032E-5
Zn80 ; 1.29997E-6 ; 8.31979E-7 ; 9.52E-7 ; 6.0928E-7 ; 1.016E-5 ; 6.5024E-6
Zn81 ; 1.47996E-7 ; 9.47176E-8 ; 8.44E-8 ; 5.4016E-8 ; 1.73E-6 ; 1.1072E-6
Zn82 ; 1.75996E-8 ; 1.12637E-8 ; 4.27E-9 ; 2.7328E-9 ; 1.73E-7 ; 1.1072E-7
Zn83 ; 2.56986E-10 ; 1.64471E-10 ; 1.13E-10 ; 7.232E-11 ; 1.11E-8 ; 7.104E-9
Zn84 ; 1.52996E-11 ; 9.79175E-12 ; 1.85E-12 ; 1.184E-12 ; 4.05E-10 ; 2.592E-10
Zn85 ; 2.25382E-13 ; 1.44244E-13 ; 5.93799E-14 ; 3.80031E-14 ; 3.01785E-11 ; 1.93142E-11
Zn86 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 9.20999E-14 ; 5.8944E-14
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.67E-14 ; 2.3488E-14
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.28E-12 ; 1.4592E-12
Ga68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 5.29E-11 ; 3.3856E-11
Ga69 ; 3.50991E-13 ; 2.24634E-13 ; 8.67E-13 ; 5.5488E-13 ; 1.27E-9 ; 8.128E-10
Ga70 ; 2.19994E-11 ; 1.40796E-11 ; 5.52E-11 ; 3.5328E-11 ; 2.03E-8 ; 1.2992E-8
Ga71 ; 1.54996E-9 ; 9.91975E-10 ; 3.56E-9 ; 2.2784E-9 ; 2.29E-7 ; 1.4656E-7
Ga72 ; 1.33497E-8 ; 8.54379E-9 ; 3.275E-8 ; 2.096E-8 ; 1.03E-6 ; 6.592E-7
Ga72m ; 1.33497E-8 ; 8.54379E-9 ; 3.275E-8 ; 2.096E-8 ; 1.03E-6 ; 6.592E-7
Ga73 ; 4.21989E-7 ; 2.70073E-7 ; 7.67E-7 ; 4.9088E-7 ; 1.141E-5 ; 7.3024E-6
Ga74 ; 1.27997E-6 ; 8.19179E-7 ; 2.3E-6 ; 1.472E-6 ; 2.3245E-5 ; 1.48768E-5
Ga74m ; 1.27997E-6 ; 8.19179E-7 ; 2.3E-6 ; 1.472E-6 ; 2.3245E-5 ; 1.48768E-5
Ga75 ; 2.24394E-5 ; 1.43612E-5 ; 3.706E-5 ; 2.37184E-5 ; 1.4496E-4 ; 9.27743E-5
Ga76 ; 5.45286E-5 ; 3.48983E-5 ; 8.84E-5 ; 5.6576E-5 ; 3.3505E-4 ; 2.14432E-4
Ga77 ; 1.37927E-4 ; 8.8273E-5 ; 1.9136E-4 ; 1.2247E-4 ; 5.7408E-4 ; 3.67411E-4
Ga78 ; 1.70546E-4 ; 1.09149E-4 ; 1.7433E-4 ; 1.11571E-4 ; 7.2612E-4 ; 4.64717E-4
Ga79 ; 1.88415E-4 ; 1.20586E-4 ; 1.4465E-4 ; 9.2576E-5 ; 6.4339E-4 ; 4.11769E-4
Ga80 ; 7.52381E-5 ; 4.81524E-5 ; 8.059E-5 ; 5.15776E-5 ; 3.8589E-4 ; 2.46969E-4
Ga81 ; 3.8389E-5 ; 2.4569E-5 ; 3.191E-5 ; 2.04224E-5 ; 1.7017E-4 ; 1.08909E-4
Ga82 ; 1.13297E-5 ; 7.25102E-6 ; 4.58E-6 ; 2.9312E-6 ; 4.599E-5 ; 2.94336E-5
Ga83 ; 7.8098E-7 ; 4.99827E-7 ; 5.64E-7 ; 3.6096E-7 ; 8.13E-6 ; 5.2032E-6
Ga84 ; 1.18997E-7 ; 7.61581E-8 ; 2.62E-8 ; 1.6768E-8 ; 8.45E-7 ; 5.408E-7
Ga85 ; 3.51969E-9 ; 2.2526E-9 ; 9.84941E-10 ; 6.30362E-10 ; 4.05698E-8 ; 2.59647E-8
Ga86 ; 1.21997E-10 ; 7.8078E-11 ; 1.53E-11 ; 9.792E-12 ; 1.53E-9 ; 9.79199E-10
Ga87 ; 1.03449E-12 ; 6.62076E-13 ; 4.35771E-13 ; 2.78893E-13 ; 5.5124E-11 ; 3.52794E-11
Ga88 ; 2.23758E-14 ; 1.43205E-14 ;  ;  ;  ; 
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.02E-14 ; 6.528E-15
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 6.12E-13 ; 3.9168E-13
Ge70 ; 0.0 ; 0.0 ; 2.03E-14 ; 1.2992E-14 ; 2.38E-11 ; 1.5232E-11
Ge71 ; 6.11985E-13 ; 3.9167E-13 ; 1.72E-12 ; 1.1008E-12 ; 3.22E-10 ; 2.0608E-10
