Product , Fast (500 keV) 
Product ,  
Product , Yield 
V66 ,9.71536E-18
V67 ,9.82825E-19
Cr66 ,4.79991E-13
Cr67 ,3.5699E-14
Cr68 ,0
Cr69 ,8.36953E-17
Cr70 ,0
Mn66 ,1.93E-10
Mn67 ,5.98E-11
Mn68 ,1.04E-11
Mn69 ,1.33992E-12
Mn70 ,1.19E-13
Mn71 ,0
Mn72 ,1.41682E-16
Fe66 ,0.0000000132
Fe67 ,0.00000000953001
Fe68 ,0.00000000665
Fe69 ,0.00000000211
Fe70 ,7.91001E-10
Fe71 ,1.22E-10
Fe72 ,6.99986E-12
Fe73 ,2.57E-13
Fe74 ,1.49E-14
Fe75 ,1.17423E-15
Fe76 ,0
Co66 ,0.0000000187
Co67 ,0.0000000465
Co68 ,0.0000000703001
Co69 ,0.0000000843001
Co70 ,0.0000000745001
Co71 ,0.0000000466
Co72 ,0.00000000667
Co73 ,0.00000000103
Co74 ,1.58E-10
Co75 ,1.87988E-11
Co76 ,6.74E-13
Co77 ,2.37585E-14
Co78 ,  
Ni66 ,0.00000000706001
Ni67 ,0.0000000358
Ni68 ,0.00000018
Ni69 ,0.000000438
Ni70 ,0.00000135
Ni71 ,0.00000186
Ni72 ,0.00000102
Ni73 ,0.000000379
Ni74 ,0.000000245
Ni75 ,0.0000000733001
Ni76 ,0.0000000118
Ni77 ,8.62977E-10
Ni78 ,2.87E-11
Ni79 ,4.52204E-13
Ni80 ,0
Ni82 ,0
Cu66 ,5.13E-11
Cu67 ,9.92001E-10
Cu68 ,0.00000000296
Cu68m ,0.00000000800001
Cu69 ,0.0000000925001
Cu70 ,0.000000127
Cu70m ,0.00000045
Cu71 ,0.00000265
Cu72 ,0.00000298
Cu73 ,0.00000392
Cu74 ,0.00000585
Cu75 ,0.00000682
Cu76 ,0.00000283
Cu77 ,0.000000909001
Cu78 ,0.0000000841001
Cu79 ,0.00000000723955
Cu80 ,2.65E-10
Cu81 ,9.61001E-12
Cu82 ,1.43E-13
Zn66 ,6.02E-14
Zn67 ,2.9E-12
Zn68 ,1.3E-10
Zn69 ,4.38E-10
Zn69m ,0.00000000214
Zn70 ,0.0000000604
Zn71 ,0.000000102
Zn71m ,0.000000496
Zn72 ,0.0000023
Zn73 ,0.00000608
Zn74 ,0.00003117
Zn75 ,0.0000754801
Zn76 ,0.00012003
Zn77 ,0.0000933501
Zn78 ,0.00003745
Zn79 ,0.00000843001
Zn80 ,0.00000137
Zn81 ,0.000000135
Zn82 ,0.00000000947001
Zn83 ,2.89E-10
Zn84 ,6.15E-12
Zn85 ,1.68015E-13
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,2.19E-14
Ga69 ,1.82E-12
Ga70 ,1.05E-10
Ga71 ,0.00000000417
Ga72 ,0.00000001865
Ga72m ,0.00000001865
Ga73 ,0.000000364
Ga74 ,0.000002025
Ga74m ,0.000002025
Ga75 ,0.00003317
Ga76 ,0.00011113
Ga77 ,0.00030802
Ga78 ,0.00028473
Ga79 ,0.00025212
Ga80 ,0.00010204
Ga81 ,0.00004299
Ga82 ,0.00000823001
Ga83 ,0.00000116
Ga84 ,0.0000000676
Ga85 ,0.00000000268983
Ga86 ,5.82E-11
Ga87 ,9.63554E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,2.77E-14
Ge71 ,1.39E-12
Ge71m ,1.39E-12
Ge72 ,1.04E-10
Ge73 ,0.00000000206
Ge73m ,4.21E-10
Ge74 ,0.000000112
Ge75 ,0.000000252
Ge75m ,0.00000185
Ge76 ,0.00002684
Ge77 ,0.00014301
Ge77m ,0.0000195
Ge78 ,0.00054134
Ge79 ,0.000507575
Ge79m ,0.000507575
Ge80 ,0.00149407
Ge81 ,0.00145222
Ge82 ,0.00115483
Ge83 ,0.00042538
Ge84 ,0.00010785
Ge85 ,0.00001151
Ge86 ,0.00000116
Ge87 ,0.0000000349991
Ge88 ,0.00000000104
Ge89 ,1.57397E-11
Ge90 ,1.42504E-12
As69 ,0
As71 ,0
As72 ,0
As73 ,3.94E-13
As74 ,1.26E-11
As74m ,3.4E-11
As75 ,0.0000000036
As76 ,0.000000118
As77 ,0.00000295
As78 ,0.00002381
As79 ,0.0001658
As80 ,0.00052284
As81 ,0.00177766
As82 ,0.00155722
As82m ,0.00155721
As83 ,0.00440053
As84 ,0.00132444
As84m ,0.00132444
As85 ,0.00116949
As86 ,0.00031313
As87 ,0.00004037
As88 ,0.00000324
As89 ,0.000000251984
As90 ,0.000000016773
As91 ,6.13922E-11
As92 ,1.78317E-12
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,5.53E-13
Se76 ,8.20001E-11
Se77 ,6.55E-10
Se77m ,0.0000000048
Se78 ,0.000000197
Se79 ,0.00000305
Se79m ,0.000000416
Se80 ,0.00004385
Se81 ,0.00004105
Se81m ,0.00030102
Se82 ,0.00222802
Se83 ,0.00566528
Se83m ,0.00116034
Se84 ,0.0143097
Se85 ,0.0070136
Se85m ,0.0070003
Se86 ,0.0148275
Se87 ,0.00452617
Se88 ,0.00153401
Se89 ,0.00030314
Se90 ,0.0000363433
Se91 ,0.00000222994
Se92 ,0.0000000880983
Se93 ,4.25347E-10
Se94 ,2.62E-11
Se95 ,1.4589E-12
Se96 ,0
Br75 ,0
Br77 ,4.71E-14
Br77m ,1.77E-13
Br78 ,2.28E-11
Br79 ,3.77E-10
Br79m ,0.00000000142
Br80 ,0.0000000132
Br80m ,0.0000000469
