Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ni71 ; 1.41E-8 ; 9.024E-9 ; 2.93E-7 ; 1.8752E-7 ; 2.43E-8 ; 1.5552E-8
Ni72 ; 3.04E-8 ; 1.9456E-8 ; 3.67E-7 ; 2.3488E-7 ; 3.15E-8 ; 2.016E-8
Ni73 ; 3.06E-8 ; 1.9584E-8 ; 2.46E-7 ; 1.5744E-7 ; 2.3E-8 ; 1.472E-8
Ni74 ; 1.98E-8 ; 1.2672E-8 ; 2.0E-7 ; 1.28E-7 ; 2.04E-8 ; 1.3056E-8
Ni75 ; 7.55E-9 ; 4.832E-9 ; 4.9E-8 ; 3.136E-8 ; 4.83E-9 ; 3.0912E-9
Ni76 ; 1.73E-9 ; 1.1072E-9 ; 1.18E-8 ; 7.552E-9 ; 3.14E-9 ; 2.0096E-9
Ni77 ; 7.04979E-10 ; 4.51186E-10 ; 2.3299E-9 ; 1.49114E-9 ; 9.44778E-9 ; 6.04658E-9
Ni78 ; 8.32979E-11 ; 5.33106E-11 ; 2.47991E-10 ; 1.58714E-10 ; 2.13957E-9 ; 1.36933E-9
Ni79 ; 1.05841E-11 ; 6.77384E-12 ; 4.00931E-12 ; 2.56596E-12 ; 9.80053E-10 ; 6.27234E-10
Ni80 ; 1.12E-13 ; 7.168E-14 ; 5.98E-13 ; 3.8272E-13 ; 1.94E-11 ; 1.2416E-11
Ni81 ; 5.19177E-15 ; 3.32273E-15 ; 2.86081E-14 ; 1.83092E-14 ; 2.01483E-12 ; 1.28949E-12
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.53E-14 ; 1.6192E-14
Cu66 ; 1.2E-13 ; 7.68E-14 ; 9.67E-12 ; 6.1888E-12 ; 2.02E-12 ; 1.2928E-12
Cu67 ; 2.7E-12 ; 1.728E-12 ; 1.95E-10 ; 1.248E-10 ; 2.69E-11 ; 1.7216E-11
Cu68 ; 1.08E-11 ; 6.912E-12 ; 4.33E-10 ; 2.7712E-10 ; 6.43E-11 ; 4.1152E-11
Cu68m ; 2.52E-11 ; 1.6128E-11 ; 1.17E-9 ; 7.488E-10 ; 1.5E-10 ; 9.6E-11
Cu69 ; 3.55E-10 ; 2.272E-10 ; 9.15E-9 ; 5.856E-9 ; 1.54E-9 ; 9.856E-10
