Product ; Th227  Thermal (0.0253 eV) ; Th227  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th232  Fast (500 keV) ; Th232  Fast (500 keV) ; Th232  High (14 MeV) ; Th232  High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ge77m ; 7.50001E-6 ; 4.8E-6 ; 1.91701E-5 ; 1.22689E-5 ; 3.72992E-7 ; 2.38715E-7 ; 4.08E-6 ; 2.6112E-6
Ge78 ; 3.1345E-4 ; 2.00608E-4 ; 0.00168511 ; 7.58299E-4 ; 4.5999E-5 ; 2.94393E-5 ; 3.8718E-4 ; 2.47795E-4
Ge79 ; 0.00254391 ; 0.0016281 ; 0.00163783 ; 0.00104821 ; 1.28977E-4 ; 8.25453E-5 ; 7.2734E-4 ; 4.65498E-4
Ge79m ; 0.00254391 ; 0.0016281 ; 0.00163783 ; 0.00104821 ; 1.28977E-4 ; 8.25453E-5 ; 7.2734E-4 ; 4.65498E-4
Ge80 ; 0.0135566 ; 0.0043381 ; 0.015279 ; 0.00488929 ; 0.00117951 ; 7.54889E-4 ; 0.0036235 ; 0.00231904
Ge81 ; 0.010572 ; 0.00338305 ; 0.01642 ; 0.00525441 ; 0.00326986 ; 0.00209271 ; 0.00630979 ; 0.00403827
Ge82 ; 0.00470041 ; 0.00300826 ; 0.0118925 ; 0.00380559 ; 0.00641465 ; 0.00410537 ; 0.00626325 ; 0.00400848
Ge83 ; 5.99371E-4 ; 3.83597E-4 ; 0.00154352 ; 9.87852E-4 ; 0.00619135 ; 0.00396246 ; 0.00436449 ; 0.00279327
Ge84 ; 6.42001E-5 ; 4.1088E-5 ; 0.00102106 ; 6.53475E-4 ; 0.00323928 ; 0.00207314 ; 0.00114979 ; 7.35866E-4
Ge85 ; 4.24E-6 ; 2.7136E-6 ; 9.54805E-5 ; 6.11075E-5 ; 7.73033E-4 ; 4.94741E-4 ; 0.0016337 ; 0.00104557
Ge86 ; 1.96E-7 ; 1.2544E-7 ; 1.10701E-5 ; 7.08484E-6 ; 1.19507E-4 ; 7.64847E-5 ; 2.3102E-4 ; 1.47853E-4
Ge87 ; 2.67999E-9 ; 1.71519E-9 ; 1.32999E-7 ; 8.51191E-8 ; 8.36682E-6 ; 5.35477E-6 ; 2.17955E-5 ; 1.39491E-5
Ge88 ; 2.64E-11 ; 1.6896E-11 ; 1.76999E-9 ; 1.13279E-9 ; 3.54989E-7 ; 2.27193E-7 ; 1.48979E-6 ; 9.53463E-7
Ge89 ; 1.18608E-13 ; 7.5909E-14 ; 1.27847E-11 ; 8.18223E-12 ; 1.73278E-8 ; 1.10898E-8 ; 2.5411E-7 ; 1.6263E-7
Ge90 ; 1.33145E-14 ; 8.52129E-15 ; 8.99203E-13 ; 5.7549E-13 ; 8.46148E-12 ; 5.41535E-12 ; 7.16635E-10 ; 4.58646E-10
Ge91 ;  ;  ;  ;  ; 7.71084E-13 ; 4.93494E-13 ; 1.10291E-10 ; 7.05864E-11
Ge92 ;  ;  ;  ;  ; 4.80169E-14 ; 3.07308E-14 ; 1.11035E-11 ; 7.10626E-12
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As73 ; 2.03E-14 ; 1.2992E-14 ; 1.13001E-14 ; 7.23204E-15 ; 0.0 ; 0.0 ; 8.27E-14 ; 5.2928E-14
As74 ; 6.43001E-13 ; 4.1152E-13 ; 4.47002E-13 ; 2.86081E-13 ; 0.0 ; 0.0 ; 1.39E-12 ; 8.896E-13
As74m ; 1.5E-12 ; 9.60001E-13 ; 1.04001E-12 ; 6.65603E-13 ; 0.0 ; 0.0 ; 6.31E-12 ; 4.0384E-12
As75 ; 3.72E-10 ; 2.3808E-10 ; 2.55001E-10 ; 1.63201E-10 ; 1.19997E-12 ; 7.67983E-13 ; 5.02E-10 ; 3.2128E-10
As76 ; 1.48E-8 ; 9.47201E-9 ; 1.40001E-8 ; 8.96005E-9 ; 1.05998E-10 ; 6.78385E-11 ; 2.18E-8 ; 1.3952E-8
As77 ; 9.33001E-7 ; 5.97121E-7 ; 9.09005E-7 ; 5.81763E-7 ; 5.43988E-9 ; 3.48152E-9 ; 5.03E-7 ; 3.2192E-7
As78 ; 1.011E-5 ; 6.47041E-6 ; 2.26501E-5 ; 1.44961E-5 ; 2.41995E-7 ; 1.54877E-7 ; 9.59E-6 ; 6.1376E-6
As79 ; 9.11741E-4 ; 5.83514E-4 ; 1.54871E-4 ; 9.91173E-5 ; 5.56987E-6 ; 3.56472E-6 ; 9.771E-5 ; 6.25344E-5
As80 ; 0.00426691 ; 0.00273082 ; 4.99633E-4 ; 3.19765E-4 ; 7.47983E-5 ; 4.78709E-5 ; 6.3558E-4 ; 4.06771E-4
As81 ; 0.0176672 ; 0.00565351 ; 0.00570332 ; 0.00365012 ; 7.60163E-4 ; 4.86504E-4 ; 0.00252733 ; 0.00161749
As82 ; 0.00732244 ; 0.00468636 ; 0.00707886 ; 0.00453047 ; 0.00187787 ; 0.00120184 ; 0.00308707 ; 0.00197572
As82m ; 0.00732238 ; 0.00468632 ; 0.00707886 ; 0.00453047 ; 0.00187883 ; 0.00120245 ; 0.00309325 ; 0.00197968
As83 ; 0.0117246 ; 0.00375186 ; 0.0176583 ; 0.0040614 ; 0.0126662 ; 0.0040532 ; 0.0101687 ; 0.00325397
As84 ; 0.00136608 ; 8.74292E-4 ; 0.00363287 ; 0.00232504 ; 0.00865663 ; 0.00554025 ; 0.00322117 ; 0.00206155
As84m ; 0.00136608 ; 8.74292E-4 ; 0.00363287 ; 0.00232504 ; 0.00865663 ; 0.00554025 ; 0.00322117 ; 0.00206155
As85 ; 0.00120457 ; 7.70925E-4 ; 0.00276737 ; 0.00177112 ; 0.0165978 ; 0.00531129 ; 0.0227624 ; 0.00523535
As86 ; 1.3291E-4 ; 8.50625E-5 ; 9.99365E-4 ; 6.39594E-4 ; 0.0074772 ; 0.00478541 ; 0.00875064 ; 0.00560041
As87 ; 1.344E-5 ; 8.60161E-6 ; 7.32304E-5 ; 4.68674E-5 ; 0.00230478 ; 0.00147506 ; 0.00231082 ; 0.00147892
As88 ; 3.29E-7 ; 2.1056E-7 ; 2.33001E-6 ; 1.49121E-6 ; 3.23283E-4 ; 2.06901E-4 ; 4.4104E-4 ; 2.82266E-4
As89 ; 1.26999E-8 ; 8.12793E-9 ; 3.78989E-7 ; 2.42553E-7 ; 3.24819E-5 ; 2.07884E-5 ; 8.33459E-5 ; 5.33413E-5
As90 ; 1.04814E-9 ; 6.70808E-10 ; 1.97278E-8 ; 1.26258E-8 ; 4.49357E-7 ; 2.87588E-7 ; 3.3351E-6 ; 2.13446E-6
As91 ; 8.9324E-13 ; 5.71674E-13 ; 1.27378E-10 ; 8.15219E-11 ; 4.8213E-8 ; 3.08563E-8 ; 5.13277E-7 ; 3.28497E-7
As92 ; 1.06527E-14 ; 6.8177E-15 ; 1.48059E-12 ; 9.47574E-13 ; 2.54999E-9 ; 1.632E-9 ; 5.16739E-8 ; 3.30713E-8
As93 ;  ;  ; 4.72821E-14 ; 3.02605E-14 ; 1.86601E-12 ; 1.19424E-12 ; 1.90236E-9 ; 1.21751E-9
As94 ;  ;  ;  ;  ; 6.41963E-14 ; 4.10856E-14 ; 1.35193E-11 ; 8.65236E-12
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se75 ; 3.89E-14 ; 2.4896E-14 ; 4.14002E-14 ; 2.64961E-14 ; 0.0 ; 0.0 ; 3.35E-14 ; 2.144E-14
Se76 ; 1.15E-11 ; 7.36001E-12 ; 1.34001E-11 ; 8.57604E-12 ; 0.0 ; 0.0 ; 4.51E-12 ; 2.8864E-12
Se77 ; 2.36E-10 ; 1.5104E-10 ; 1.83001E-10 ; 1.17121E-10 ; 5.70987E-14 ; 3.65432E-14 ; 2.45E-11 ; 1.568E-11
Se77m ; 1.58E-9 ; 1.0112E-9 ; 1.23001E-9 ; 7.87204E-10 ; 4.18991E-13 ; 2.68154E-13 ; 2.82E-10 ; 1.8048E-10
Se78 ; 1.39E-7 ; 8.89601E-8 ; 2.04001E-7 ; 1.30561E-7 ; 8.53981E-11 ; 5.46548E-11 ; 1.85E-8 ; 1.184E-8
Se79 ; 2.425E-5 ; 1.552E-5 ; 4.64002E-6 ; 2.96962E-6 ; 6.10986E-9 ; 3.91031E-9 ; 5.08E-7 ; 3.2512E-7
Se79m ; 3.62E-6 ; 2.3168E-6 ; 6.94004E-7 ; 4.44162E-7 ; 8.32981E-10 ; 5.33108E-10 ; 3.82E-8 ; 2.4448E-8
Se80 ; 8.18761E-4 ; 5.24007E-4 ; 2.05571E-4 ; 1.31565E-4 ; 4.06991E-7 ; 2.60474E-7 ; 9.81E-6 ; 6.2784E-6
Se81 ; 8.48451E-4 ; 5.43008E-4 ; 7.77304E-5 ; 4.97475E-5 ; 1.50997E-6 ; 9.66378E-7 ; 8.9E-6 ; 5.696E-6
Se81m ; 0.00567807 ; 0.00255513 ; 5.20193E-4 ; 3.32923E-4 ; 1.10797E-5 ; 7.09104E-6 ; 1.0239E-4 ; 6.55296E-5
Se82 ; 0.0292578 ; 0.013166 ; 0.00842384 ; 9.26623E-4 ; 2.64834E-4 ; 1.69494E-4 ; 6.3555E-4 ; 4.06752E-4
Se83 ; 0.0341061 ; 0.0109139 ; 0.0260881 ; 0.00208705 ; 0.0021685 ; 0.00138784 ; 0.00228615 ; 0.00146314
Se83m ; 0.00800012 ; 0.00512007 ; 0.00611955 ; 4.89564E-4 ; 4.19221E-4 ; 2.68301E-4 ; 2.8261E-4 ; 1.8087E-4
Se84 ; 0.0529832 ; 0.0121861 ; 0.077845 ; 0.0031138 ; 0.0108995 ; 0.00348785 ; 0.00391455 ; 0.00250531
Se85 ; 0.0219353 ; 0.0070193 ; 0.036391 ; 0.00218346 ; 0.0150604 ; 0.00481934 ; 0.0143216 ; 0.00916581
Se85m ; 0.0219296 ; 0.00701749 ; 0.036391 ; 0.0116451 ; 0.0150604 ; 0.00481934 ; 0.0143216 ; 0.00916581
Se86 ; 0.0304164 ; 0.00973326 ; 0.0500287 ; 0.0160092 ; 0.0468245 ; 0.0149838 ; 0.0310441 ; 0.00993412
Se87 ; 0.00686137 ; 0.00439127 ; 0.0143043 ; 0.00457739 ; 0.0390855 ; 0.0125073 ; 0.0211841 ; 0.0067789
Se88 ; 0.00118358 ; 7.57492E-4 ; 0.00263835 ; 0.00168855 ; 0.0220921 ; 0.00706947 ; 0.0104925 ; 0.00335759
Se89 ; 1.1071E-4 ; 7.08545E-5 ; 9.90225E-4 ; 6.33744E-4 ; 0.00687398 ; 0.00439935 ; 0.00533916 ; 0.00341706
Se90 ; 8.10896E-6 ; 5.18973E-6 ; 6.15606E-5 ; 3.93988E-5 ; 0.00148152 ; 9.48171E-4 ; 0.00163407 ; 0.00104581
Se91 ; 2.16999E-7 ; 1.3888E-7 ; 8.14992E-6 ; 5.21595E-6 ; 1.35009E-4 ; 8.64056E-5 ; 2.51487E-4 ; 1.60951E-4
Se92 ; 3.51999E-9 ; 2.2528E-9 ; 1.27999E-7 ; 8.19195E-8 ; 8.40726E-6 ; 5.38065E-6 ; 2.53183E-5 ; 1.62037E-5
Se93 ; 4.18396E-12 ; 2.67773E-12 ; 3.02521E-9 ; 1.93613E-9 ; 1.74291E-7 ; 1.11547E-7 ; 1.32253E-5 ; 8.46416E-6
Se94 ; 1.06E-13 ; 6.78401E-14 ; 1.77001E-11 ; 1.13281E-11 ; 7.05978E-9 ; 4.51826E-9 ; 9.39865E-8 ; 6.01513E-8
Se95 ; 6.41891E-15 ; 4.1081E-15 ; 1.88785E-13 ; 1.20822E-13 ; 5.66255E-12 ; 3.62403E-12 ; 6.72352E-10 ; 4.30305E-10
Se96 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 5.87987E-13 ; 3.76312E-13 ; 1.12E-10 ; 7.168E-11
Se97 ;  ;  ;  ;  ; 4.162E-14 ; 2.66368E-14 ; 1.34538E-11 ; 8.61042E-12
Br75 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77m ; 1.68E-14 ; 1.0752E-14 ; 1.02001E-14 ; 6.52803E-15 ; 0.0 ; 0.0 ; 1.14E-14 ; 7.296E-15
Br78 ; 4.16E-12 ; 2.6624E-12 ; 4.38002E-12 ; 2.80321E-12 ; 0.0 ; 0.0 ; 2.48E-12 ; 1.5872E-12
Br79 ; 1.42E-9 ; 9.08801E-10 ; 1.55001E-10 ; 9.92005E-11 ; 3.56992E-14 ; 2.28475E-14 ; 3.08E-11 ; 1.9712E-11
Br79m ; 4.74E-9 ; 3.0336E-9 ; 5.19003E-10 ; 3.32162E-10 ; 1.33997E-13 ; 8.57581E-14 ; 1.89E-10 ; 1.2096E-10
Br80 ; 1.08E-7 ; 6.91201E-8 ; 1.44001E-8 ; 9.21605E-9 ; 7.59983E-12 ; 4.86389E-12 ; 1.72E-9 ; 1.1008E-9
Br80m ; 3.24E-7 ; 2.0736E-7 ; 4.32002E-8 ; 2.76481E-8 ; 2.68994E-11 ; 1.72156E-11 ; 9.74E-9 ; 6.2336E-9
Br81 ; 2.378E-5 ; 1.52192E-5 ; 2.82001E-6 ; 1.80481E-6 ; 4.4599E-9 ; 2.85434E-9 ; 3.17E-7 ; 2.0288E-7
Br82 ; 1.6189E-4 ; 1.0361E-4 ; 2.95802E-5 ; 1.89313E-5 ; 8.38981E-7 ; 5.36948E-7 ; 1.06E-6 ; 6.784E-7
Br82m ; 6.93801E-5 ; 4.44032E-5 ; 1.26801E-5 ; 8.11524E-6 ; 1.48997E-7 ; 9.53578E-8 ; 1.01E-6 ; 6.464E-7
Br83 ; 0.00208248 ; 0.00133279 ; 5.27863E-4 ; 3.37832E-4 ; 1.47597E-5 ; 9.44619E-6 ; 6.059E-5 ; 3.87776E-5
Br84 ; 0.00176 ; 0.0011264 ; 0.00281135 ; 8.99634E-4 ; 7.14884E-5 ; 4.57526E-5 ; 5.252E-5 ; 3.36128E-5
Br84m ; 0.00312913 ; 0.00200264 ; 0.0030999 ; 2.47992E-4 ; 1.51917E-4 ; 9.72266E-5 ; 1.862E-4 ; 1.19168E-4
Br85 ; 0.0207869 ; 0.00665182 ; 0.0167888 ; 0.0053724 ; 0.00226435 ; 0.00144918 ; 0.00347518 ; 0.00222412
Br86 ; 0.0126622 ; 0.00405189 ; 0.00907838 ; 5.44703E-4 ; 0.00457201 ; 0.00292608 ; 0.00597684 ; 0.00382518
Br86m ; 0.0126558 ; 0.00404986 ; 0.0161393 ; 0.00516459 ; 0.00457201 ; 0.00292608 ; 0.00603183 ; 0.00386037
Br87 ; 0.0317716 ; 0.0101669 ; 0.0334014 ; 0.00768233 ; 0.0265675 ; 0.00611052 ; 0.0210581 ; 0.00484335
Br88 ; 0.0109423 ; 0.00350154 ; 0.0245559 ; 0.00196447 ; 0.0381986 ; 0.0122236 ; 0.024276 ; 0.00776833
Br89 ; 0.00663706 ; 0.00424772 ; 0.0120891 ; 0.0038685 ; 0.0432875 ; 0.013852 ; 0.0285401 ; 0.00913284
Br90 ; 0.00111 ; 7.10401E-4 ; 0.00177712 ; 0.00113736 ; 0.0261963 ; 0.00838281 ; 0.0234893 ; 0.00751659
Br91 ; 2.1298E-4 ; 1.36307E-4 ; 0.00139444 ; 8.9244E-4 ; 0.00994884 ; 0.00636725 ; 0.00950737 ; 0.00427832
Br92 ; 8.75001E-6 ; 5.6E-6 ; 4.97703E-5 ; 3.1853E-5 ; 0.00196719 ; 0.001259 ; 0.00248782 ; 0.0015922
Br93 ; 4.47996E-7 ; 2.86718E-7 ; 3.23699E-6 ; 2.07167E-6 ; 3.26718E-4 ; 2.091E-4 ; 0.00433777 ; 0.00277617
Br94 ; 5.15E-9 ; 3.296E-9 ; 1.02001E-7 ; 6.52803E-8 ; 2.47694E-5 ; 1.58524E-5 ; 6.952E-5 ; 4.44928E-5
Br95 ; 6.87303E-10 ; 4.39874E-10 ; 5.59632E-9 ; 3.58165E-9 ; 3.54058E-7 ; 2.26597E-7 ; 3.12901E-6 ; 2.00257E-6
Br96 ; 5.31E-13 ; 3.3984E-13 ; 1.94001E-11 ; 1.24161E-11 ; 3.20993E-8 ; 2.05435E-8 ; 6.24E-7 ; 3.9936E-7
Br97 ; 8.1503E-15 ; 5.21619E-15 ; 2.20372E-13 ; 1.41038E-13 ; 2.60235E-9 ; 1.6655E-9 ; 6.26116E-8 ; 4.00714E-8
Br98 ;  ;  ; 9.27679E-16 ; 5.93715E-16 ; 2.85519E-12 ; 1.82732E-12 ; 3.35106E-10 ; 2.14468E-10
Br99 ;  ;  ;  ;  ; 2.04571E-13 ; 1.30926E-13 ; 3.2793E-11 ; 2.09875E-11
Br100 ;  ;  ;  ;  ;  ;  ; 8.55743E-13 ; 5.47676E-13
Kr77 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr78 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr79 ; 6.35001E-14 ; 4.064E-14 ; 1.29001E-14 ; 8.25604E-15 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr79m ; 6.35001E-14 ; 4.064E-14 ; 1.29001E-14 ; 8.25604E-15 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr80 ; 6.73001E-11 ; 4.3072E-11 ; 1.32001E-11 ; 8.44804E-12 ; 0.0 ; 0.0 ; 9.23E-13 ; 5.9072E-13
Kr81 ; 7.99001E-9 ; 5.1136E-9 ; 1.28001E-9 ; 8.19204E-10 ; 6.81985E-14 ; 4.3647E-14 ; 6.97E-11 ; 4.4608E-11
Kr81m ; 1.19E-9 ; 7.61601E-10 ; 1.91001E-10 ; 1.22241E-10 ; 0.0 ; 0.0 ; 5.24E-12 ; 3.3536E-12
Kr82 ; 6.52001E-7 ; 4.1728E-7 ; 1.24001E-7 ; 7.93604E-8 ; 3.09993E-11 ; 1.98396E-11 ; 3.67E-9 ; 2.3488E-9
Kr83 ; 1.157E-5 ; 7.40481E-6 ; 2.76001E-6 ; 1.76641E-6 ; 3.74992E-9 ; 2.39995E-9 ; 9.7E-8 ; 6.208E-8
Kr83m ; 2.72E-6 ; 1.7408E-6 ; 6.48003E-7 ; 4.14722E-7 ; 7.68983E-10 ; 4.92149E-10 ; 1.2E-8 ; 7.68E-9
Kr84 ; 2.2643E-4 ; 1.44915E-4 ; 9.45405E-5 ; 6.05059E-5 ; 3.13993E-7 ; 2.00955E-7 ; 1.2E-6 ; 7.68E-7
Kr85 ; 0.00158588 ; 0.00101496 ; 8.18604E-4 ; 5.23907E-4 ; 9.94978E-6 ; 6.36786E-6 ; 7.578E-5 ; 4.84992E-5
Kr85m ; 3.72E-4 ; 2.3808E-4 ; 1.92021E-4 ; 1.22893E-4 ; 2.03995E-6 ; 1.30557E-6 ; 9.37E-6 ; 5.9968E-6
Kr86 ; 0.0139685 ; 0.00446991 ; 0.00561298 ; 0.00129099 ; 1.65916E-4 ; 1.06186E-4 ; 4.5528E-4 ; 2.91379E-4
Kr87 ; 0.0315961 ; 0.0101107 ; 0.0240097 ; 0.00192078 ; 0.00154161 ; 9.86627E-4 ; 0.00498264 ; 0.00114601
Kr88 ; 0.0571521 ; 0.0182887 ; 0.0508981 ; 0.00305389 ; 0.00846922 ; 0.0054203 ; 0.0152816 ; 0.00244506
Kr89 ; 0.0615201 ; 0.0141496 ; 0.0734833 ; 0.00293933 ; 0.0245087 ; 0.0078428 ; 0.0229424 ; 0.00252366
Kr90 ; 0.0598032 ; 0.019137 ; 0.0618507 ; 0.00371104 ; 0.0533862 ; 0.00587248 ; 0.0347943 ; 0.0111342
Kr91 ; 0.0237196 ; 0.00759028 ; 0.0339611 ; 0.00781106 ; 0.0523627 ; 0.00314176 ; 0.0333658 ; 0.00200195
Kr92 ; 0.00672691 ; 0.00430522 ; 0.0142884 ; 0.00457229 ; 0.0392251 ; 0.00313801 ; 0.021074 ; 0.00168592
Kr93 ; 8.03231E-4 ; 5.14068E-4 ; 0.00257328 ; 0.0016469 ; 0.0183833 ; 0.00147067 ; 0.00730783 ; 0.00116925
Kr94 ; 6.95201E-5 ; 4.44928E-5 ; 4.72442E-4 ; 3.02363E-4 ; 0.0059695 ; 0.00382048 ; 0.00391764 ; 0.00250729
Kr95 ; 3.90932E-6 ; 2.50196E-6 ; 1.29245E-5 ; 8.27166E-6 ; 9.91454E-4 ; 6.3453E-4 ; 0.0015331 ; 9.81184E-4
Kr96 ; 1.39E-7 ; 8.89601E-8 ; 1.31001E-6 ; 8.38404E-7 ; 1.08668E-4 ; 6.95472E-5 ; 2.4602E-4 ; 1.57453E-4
Kr97 ; 1.97999E-9 ; 1.2672E-9 ; 1.40999E-8 ; 9.02391E-9 ; 7.28723E-6 ; 4.66383E-6 ; 3.06774E-5 ; 1.96335E-5
Kr98 ; 1.1E-11 ; 7.04001E-12 ; 8.01995E-11 ; 5.13277E-11 ; 3.1399E-7 ; 2.00954E-7 ; 2.32966E-6 ; 1.49099E-6
Kr99 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.91076E-8 ; 1.22289E-8 ; 2.27977E-7 ; 1.45906E-7
Kr100 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 5.94914E-9 ; 3.80745E-9
Kr101 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.33159E-10 ; 8.52219E-11
Kr102 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.15987E-11 ; 1.38232E-11
Kr103 ; 0.0 ; 0.0 ;  ;  ; 0.0 ; 0.0 ; 8.72844E-12 ; 5.5862E-12
Kr104 ;  ;  ;  ;  ; 0.0 ; 0.0 ;  ; 
Rb79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb81 ; 2.09E-14 ; 1.3376E-14 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb83 ; 6.40001E-10 ; 4.096E-10 ; 9.68005E-11 ; 6.19523E-11 ; 2.67994E-14 ; 1.71516E-14 ; 1.39E-11 ; 8.896E-12
Rb84 ; 2.49E-8 ; 1.5936E-8 ; 6.27003E-9 ; 4.01282E-9 ; 6.52985E-12 ; 4.17911E-12 ; 4.36E-10 ; 2.7904E-10
Rb85 ; 1.5E-6 ; 9.60001E-7 ; 4.14002E-7 ; 2.64961E-7 ; 1.29997E-9 ; 8.31981E-10 ; 8.95E-8 ; 5.728E-8
Rb86 ; 1.232E-5 ; 7.88481E-6 ; 3.03502E-6 ; 1.94241E-6 ; 2.83494E-8 ; 1.81436E-8 ; 7.3E-8 ; 4.672E-8
Rb86m ; 1.232E-5 ; 7.88481E-6 ; 3.03502E-6 ; 1.94241E-6 ; 2.83494E-8 ; 1.81436E-8 ; 7.3E-8 ; 4.672E-8
Rb87 ; 3.6834E-4 ; 2.35738E-4 ; 1.23401E-4 ; 7.89764E-5 ; 2.42995E-6 ; 1.55516E-6 ; 2.084E-5 ; 1.33376E-5
Rb88 ; 0.00135854 ; 8.69466E-4 ; 0.00362774 ; 0.00232175 ; 4.5349E-5 ; 2.90233E-5 ; 1.5134E-4 ; 9.68576E-5
Rb89 ; 0.00811373 ; 0.00519279 ; 0.00531122 ; 0.00122158 ; 5.58177E-4 ; 3.57234E-4 ; 0.00126502 ; 8.09613E-4
Rb90 ; 0.00269288 ; 0.00172344 ; 0.00340609 ; 0.0021799 ; 5.50988E-4 ; 3.52632E-4 ; 5.9064E-4 ; 3.7801E-4
Rb90m ; 0.0114799 ; 0.00367358 ; 0.0145207 ; 0.00232331 ; 0.00267283 ; 0.00171061 ; 0.00475305 ; 0.00304195
Rb91 ; 0.0296481 ; 0.0094874 ; 0.0246473 ; 0.00566888 ; 0.0119714 ; 0.00275343 ; 0.0169844 ; 0.005435
Rb92 ; 0.0158743 ; 0.00507976 ; 0.0197571 ; 0.00632226 ; 0.0256298 ; 0.00589486 ; 0.0266993 ; 0.00854378
Rb93 ; 0.0113029 ; 0.00361694 ; 0.012365 ; 0.0039568 ; 0.0382276 ; 0.0122328 ; 0.0342 ; 0.010944
Rb94 ; 0.00216527 ; 0.00138577 ; 0.00319008 ; 0.00204165 ; 0.0310245 ; 0.00992784 ; 0.0317526 ; 0.0101608
Rb95 ; 8.33071E-4 ; 5.33165E-4 ; 6.61523E-4 ; 4.23375E-4 ; 0.0200241 ; 0.00640771 ; 0.0191258 ; 0.00612027
Rb96 ; 7.27301E-5 ; 4.65472E-5 ; 1.47991E-4 ; 9.47141E-5 ; 0.00617122 ; 0.00394958 ; 0.00765457 ; 0.00489892
Rb97 ; 7.65001E-6 ; 4.896E-6 ; 9.48005E-6 ; 6.06723E-6 ; 0.00175505 ; 0.00112323 ; 0.00246231 ; 0.00157588
Rb98 ; 1.1E-7 ; 7.04001E-8 ; 1.25001E-7 ; 8.00004E-8 ; 2.32475E-4 ; 1.48784E-4 ; 4.9319E-4 ; 3.15642E-4
Rb99 ; 6.13246E-14 ; 3.92477E-14 ; 1.28808E-14 ; 8.24372E-15 ; 3.58183E-5 ; 2.29237E-5 ; 7.47747E-5 ; 4.78558E-5
Rb100 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.71994E-11 ; 1.74076E-11 ; 8.3E-6 ; 5.312E-6
Rb101 ; 3.81207E-16 ; 2.43972E-16 ; 8.42861E-18 ; 5.39431E-18 ; 5.02469E-14 ; 3.2158E-14 ; 6.197E-7 ; 3.96608E-7
Rb102 ; 2.09832E-17 ; 1.34293E-17 ; 2.2688E-19 ; 1.45203E-19 ; 2.10261E-15 ; 1.34567E-15 ; 1.00517E-7 ; 6.43307E-8
Rb103 ; 5.29175E-17 ; 3.38672E-17 ; 0.0 ; 0.0 ; 2.18086E-16 ; 1.39575E-16 ; 4.06207E-8 ; 2.59972E-8
Rb104 ; 2.19106E-14 ; 1.40228E-14 ; 2.42908E-14 ; 1.55461E-14 ; 1.41562E-18 ; 9.05996E-19 ; 7.91023E-11 ; 5.06255E-11
Rb105 ; 1.76112E-15 ; 1.12712E-15 ; 1.62237E-15 ; 1.03831E-15 ; 0.0 ; 0.0 ; 1.45708E-11 ; 9.32532E-12
Rb106 ;  ;  ;  ;  ; 4.8521E-15 ; 3.10535E-15 ;  ; 
Sr83 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Sr84 ; 7.66001E-13 ; 4.9024E-13 ; 3.27002E-13 ; 2.09281E-13 ; 0.0 ; 0.0 ; 1.07E-14 ; 6.848E-15
