Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Sr87m ; 2.05E-9 ; 1.312E-9 ; 4.87E-10 ; 3.1168E-10
Sr88 ; 3.61E-7 ; 2.3104E-7 ; 1.47E-7 ; 9.408E-8
Sr89 ; 6.98999E-6 ; 4.4736E-6 ; 3.6E-6 ; 2.304E-6
Sr90 ; 8.50399E-5 ; 5.44256E-5 ; 5.266E-5 ; 3.37024E-5
Sr91 ; 6.70039E-4 ; 4.28825E-4 ; 4.5126E-4 ; 2.88806E-4
Sr92 ; 0.00323562 ; 0.0020708 ; 0.00277418 ; 0.00177548
Sr93 ; 0.0114551 ; 0.00263468 ; 0.00903338 ; 0.00578136
Sr94 ; 0.0208438 ; 0.00479406 ; 0.0202744 ; 0.00466311
Sr95 ; 0.0271871 ; 0.00869987 ; 0.0263412 ; 0.00842918
Sr96 ; 0.0244872 ; 0.00563204 ; 0.0272617 ; 0.00627019
Sr97 ; 0.0147839 ; 0.00473085 ; 0.0161959 ; 0.00518269
Sr98 ; 0.00559697 ; 0.00358206 ; 0.00774532 ; 0.00495701
Sr99 ; 0.00156054 ; 9.98747E-4 ; 0.0021548 ; 0.00137907
Sr100 ; 2.473E-4 ; 1.58272E-4 ; 3.9285E-4 ; 2.51424E-4
Sr101 ; 2.4715E-5 ; 1.58176E-5 ; 4.35285E-5 ; 2.78583E-5
Sr102 ; 1.84995E-6 ; 1.18397E-6 ; 3.18992E-6 ; 2.04155E-6
Sr103 ; 9.43222E-8 ; 6.03662E-8 ; 1.22207E-7 ; 7.82122E-8
Sr104 ; 1.56996E-9 ; 1.00478E-9 ; 2.23E-9 ; 1.4272E-9
Sr105 ; 8.26835E-12 ; 5.29175E-12 ; 1.22354E-11 ; 7.83065E-12
Sr106 ; 8.6942E-13 ; 5.56429E-13 ; 1.06063E-12 ; 6.78803E-13
Y85 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Y87 ; 2.05E-13 ; 1.312E-13 ; 3.87E-14 ; 2.4768E-14
Y88 ; 2.47E-11 ; 1.5808E-11 ; 6.25E-12 ; 4.0E-12
Y89 ; 3.12E-10 ; 1.9968E-10 ; 1.13E-10 ; 7.232E-11
Y89m ; 1.33E-9 ; 8.51199E-10 ; 5.52E-10 ; 3.5328E-10
Y90 ; 3.485E-8 ; 2.2304E-8 ; 1.45E-8 ; 9.28E-9
Y90m ; 3.485E-8 ; 2.2304E-8 ; 1.45E-8 ; 9.28E-9
Y91 ; 9.09999E-7 ; 5.824E-7 ; 5.05E-7 ; 3.232E-7
Y91m ; 9.09999E-7 ; 5.824E-7 ; 5.05E-7 ; 3.232E-7
Y92 ; 2.788E-5 ; 1.78432E-5 ; 1.792E-5 ; 1.14688E-5
Y93 ; 1.5403E-4 ; 9.85791E-5 ; 1.08895E-4 ; 6.96928E-5
Y93m ; 1.5403E-4 ; 9.85791E-5 ; 1.08895E-4 ; 6.96928E-5
Y94 ; 0.00192102 ; 0.00122945 ; 0.00126887 ; 8.12077E-4
Y95 ; 0.00664172 ; 0.0042507 ; 0.00530309 ; 0.00339398
Y96 ; 0.00165663 ; 0.00106024 ; 0.00115322 ; 7.38061E-4
Y96m ; 0.0149682 ; 0.00478982 ; 0.0116769 ; 0.0037366
Y97 ; 0.0136506 ; 0.00873636 ; 0.0119826 ; 0.00766888
Y97m ; 0.0136506 ; 0.00873636 ; 0.0119826 ; 0.00766888
Y98 ; 0.0141133 ; 0.00451625 ; 0.0125741 ; 0.00402371
Y98m ; 0.0141123 ; 0.00451593 ; 0.0125727 ; 0.00402327
Y99 ; 0.022553 ; 0.00721695 ; 0.0228442 ; 0.00731014
Y100 ; 0.0107817 ; 0.00345014 ; 0.0105712 ; 0.0033828
Y101 ; 0.00340599 ; 0.00217983 ; 0.00433571 ; 0.00277485
Y102 ; 8.06549E-4 ; 5.16192E-4 ; 9.0597E-4 ; 5.79821E-4
Y103 ; 1.04136E-4 ; 6.66468E-5 ; 1.14068E-4 ; 7.30034E-5
Y104 ; 8.36999E-6 ; 5.3568E-6 ; 8.19E-6 ; 5.2416E-6
Y105 ; 2.34607E-7 ; 1.50149E-7 ; 2.69738E-7 ; 1.72632E-7
Y106 ; 2.4669E-8 ; 1.57882E-8 ; 1.93741E-8 ; 1.23994E-8
Y107 ; 1.73019E-11 ; 1.10732E-11 ; 1.67554E-11 ; 1.07234E-11
Y108 ; 1.55944E-12 ; 9.9804E-13 ; 6.41693E-13 ; 4.10684E-13
Y109 ; 9.24456E-14 ; 5.91652E-14 ;  ; 
Zr87 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zr88 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zr89 ; 2.18E-14 ; 1.3952E-14 ; 0.0 ; 0.0
Zr90 ; 1.675E-12 ; 1.072E-12 ; 7.55E-13 ; 4.832E-13
Zr90m ; 1.675E-12 ; 1.072E-12 ; 7.55E-13 ; 4.832E-13
Zr91 ; 3.24E-10 ; 2.0736E-10 ; 1.6E-10 ; 1.024E-10
Zr92 ; 1.78E-8 ; 1.1392E-8 ; 1.19E-8 ; 7.616E-9
Zr93 ; 6.97999E-7 ; 4.4672E-7 ; 4.26E-7 ; 2.7264E-7
Zr94 ; 1.416E-5 ; 9.06239E-6 ; 9.95E-6 ; 6.368E-6
Zr95 ; 1.6016E-4 ; 1.02502E-4 ; 1.1421E-4 ; 7.30944E-5
Zr96 ; 0.00116203 ; 7.43699E-4 ; 9.7304E-4 ; 6.22746E-4
Zr97 ; 0.00561015 ; 0.00359049 ; 0.00400767 ; 0.00256491
Zr98 ; 0.0156726 ; 0.00501523 ; 0.0143334 ; 0.00458668
Zr99 ; 0.0334954 ; 0.0107185 ; 0.0289906 ; 0.009277
Zr100 ; 0.0428817 ; 0.0137221 ; 0.0426026 ; 0.0136328
Zr101 ; 0.0375769 ; 0.0120246 ; 0.0410204 ; 0.0131265
Zr102 ; 0.0252494 ; 0.00807981 ; 0.0301998 ; 0.00966393
Zr103 ; 0.0103224 ; 0.00330315 ; 0.0104901 ; 0.00671366
Zr104 ; 0.00273888 ; 0.00175288 ; 0.00301879 ; 0.00193203
Zr105 ; 3.86925E-4 ; 2.47632E-4 ; 3.7308E-4 ; 2.38771E-4
Zr106 ; 4.06853E-5 ; 2.60386E-5 ; 3.23406E-5 ; 2.0698E-5
Zr107 ; 7.33357E-7 ; 4.69349E-7 ; 5.47356E-7 ; 3.50308E-7
Zr108 ; 6.60984E-8 ; 4.2303E-8 ; 2.52994E-8 ; 1.61916E-8
Zr109 ; 3.9184E-9 ; 2.50778E-9 ; 5.08012E-11 ; 3.25128E-11
Zr110 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zr111 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zr112 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zr113 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Nb89 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Nb90 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Nb91 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Nb92 ; 2.69E-13 ; 1.7216E-13 ; 1.45E-13 ; 9.28E-14
Nb93 ; 3.17E-11 ; 2.0288E-11 ; 1.76E-11 ; 1.1264E-11
Nb93m ; 7.43999E-12 ; 4.7616E-12 ; 3.61E-12 ; 2.3104E-12
Nb94 ; 1.72E-9 ; 1.1008E-9 ; 9.82E-10 ; 6.2848E-10
Nb94m ; 1.2E-9 ; 7.67999E-10 ; 5.77E-10 ; 3.6928E-10
Nb95 ; 8.93999E-8 ; 5.7216E-8 ; 5.85E-8 ; 3.744E-8
Nb95m ; 2.1E-8 ; 1.344E-8 ; 1.2E-8 ; 7.68E-9
Nb96 ; 1.2326E-4 ; 7.88863E-5 ; 1.73E-6 ; 1.1072E-6
Nb97 ; 3.526E-5 ; 2.25664E-5 ; 2.443E-5 ; 1.56352E-5
Nb97m ; 8.26999E-6 ; 5.2928E-6 ; 5.0E-6 ; 3.2E-6
Nb98 ; 2.8592E-4 ; 1.82989E-4 ; 1.926E-4 ; 1.23264E-4
Nb98m ; 9.53099E-5 ; 6.09984E-5 ; 5.432E-5 ; 3.47648E-5
Nb99 ; 1.9132E-4 ; 1.22445E-4 ; 1.3639E-4 ; 8.72896E-5
Nb99m ; 0.00220013 ; 0.00140808 ; 0.00156889 ; 0.00100409
Nb100 ; 0.00428751 ; 0.002744 ; 0.00300532 ; 0.0019234
Nb100m ; 0.00428751 ; 0.002744 ; 0.00300532 ; 0.0019234
Nb101 ; 0.0202173 ; 0.00646953 ; 0.0185542 ; 0.00593733
Nb102 ; 0.0175536 ; 0.0112343 ; 0.0158678 ; 0.0101554
Nb102m ; 0.0175536 ; 0.0112343 ; 0.0158678 ; 0.0101554
Nb103 ; 0.0398045 ; 0.0127374 ; 0.0371139 ; 0.0118764
Nb104 ; 0.0153413 ; 0.00981845 ; 0.013567 ; 0.00868286
Nb104m ; 0.0153413 ; 0.00981845 ; 0.013567 ; 0.00868286
Nb105 ; 0.0129351 ; 0.00413922 ; 0.0125421 ; 0.00401347
Nb106 ; 0.00438774 ; 0.00280815 ; 0.00317327 ; 0.00203089
Nb107 ; 8.09656E-4 ; 5.1818E-4 ; 5.10903E-4 ; 3.26978E-4
Nb108 ; 8.24099E-5 ; 5.27424E-5 ; 3.387E-5 ; 2.16768E-5
Nb109 ; 4.32608E-6 ; 2.76869E-6 ; 1.11995E-6 ; 7.16768E-7
Nb110 ; 6.24E-13 ; 3.9936E-13 ; 7.32E-14 ; 4.6848E-14
Nb111 ; 2.58185E-15 ; 1.65238E-15 ; 8.44958E-16 ; 5.40773E-16
Nb112 ; 5.0248E-17 ; 3.21587E-17 ; 1.81486E-17 ; 1.16151E-17
Nb113 ; 3.2191E-17 ; 2.06022E-17 ; 2.79148E-17 ; 1.78654E-17
Nb114 ; 0.0 ; 0.0 ; 1.49137E-12 ; 9.54475E-13
Nb115 ; 2.6192E-14 ; 1.67629E-14 ; 6.68522E-14 ; 4.27854E-14
Nb116 ; 1.4344E-16 ; 9.18016E-17 ;  ; 
Mo90 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mo91 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mo92 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mo93 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mo93m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mo94 ; 3.41E-14 ; 2.1824E-14 ; 2.25E-14 ; 1.44E-14
Mo95 ; 4.5E-12 ; 2.88E-12 ; 3.03E-12 ; 1.9392E-12
Mo96 ; 3.83E-10 ; 2.4512E-10 ; 3.04E-10 ; 1.9456E-10
Mo97 ; 2.18E-8 ; 1.3952E-8 ; 1.46E-8 ; 9.344E-9
Mo98 ; 6.43E-7 ; 4.1152E-7 ; 4.72E-7 ; 3.0208E-7
Mo99 ; 1.328E-5 ; 8.49919E-6 ; 8.88E-6 ; 5.6832E-6
Mo100 ; 1.5178E-4 ; 9.71391E-5 ; 1.1833E-4 ; 7.57312E-5
Mo101 ; 0.0010925 ; 6.99199E-4 ; 9.537E-4 ; 6.10368E-4
Mo102 ; 0.00535093 ; 0.00342459 ; 0.0057777 ; 0.00369773
Mo103 ; 0.0172167 ; 0.00550933 ; 0.0170409 ; 0.00545308
Mo104 ; 0.0360673 ; 0.00829549 ; 0.0405925 ; 0.0064948
Mo105 ; 0.0413196 ; 0.0132223 ; 0.0451325 ; 0.0144424
Mo106 ; 0.0388935 ; 0.0124459 ; 0.0404518 ; 0.0129446
Mo107 ; 0.020746 ; 0.00663872 ; 0.0176211 ; 0.00563876
Mo108 ; 0.00681437 ; 0.0043612 ; 0.00478074 ; 0.00305967
Mo109 ; 0.0012146 ; 7.77343E-4 ; 5.1957E-4 ; 3.32525E-4
Mo110 ; 2.27E-6 ; 1.4528E-6 ; 7.44E-7 ; 4.7616E-7
Mo111 ; 6.31999E-8 ; 4.0448E-8 ; 2.06E-8 ; 1.3184E-8
Mo112 ; 1.23E-9 ; 7.87199E-10 ; 5.34E-10 ; 3.4176E-10
Mo113 ; 7.8799E-10 ; 5.04314E-10 ; 6.80559E-10 ; 4.35558E-10
Mo114 ; 3.37E-13 ; 2.1568E-13 ; 5.87985E-8 ; 3.7631E-8
Mo115 ; 1.11018E-9 ; 7.10513E-10 ; 2.18389E-9 ; 1.39769E-9
Mo116 ; 6.07985E-12 ; 3.89111E-12 ; 6.72E-12 ; 4.3008E-12
Mo117 ; 1.42447E-14 ; 9.11663E-15 ; 5.73508E-14 ; 3.67045E-14
Tc93 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Tc95 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Tc95m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Tc97 ; 1.395E-13 ; 8.92799E-14 ; 9.25E-14 ; 5.92E-14
Tc97m ; 1.395E-13 ; 8.92799E-14 ; 9.25E-14 ; 5.92E-14
Tc98 ; 2.87E-11 ; 1.8368E-11 ; 1.71E-11 ; 1.0944E-11
Tc99 ; 1.61E-9 ; 1.0304E-9 ; 1.03E-9 ; 6.592E-10
Tc99m ; 3.77E-10 ; 2.4128E-10 ; 2.1E-10 ; 1.344E-10
Tc100 ; 7.96999E-8 ; 5.1008E-8 ; 4.91E-8 ; 3.1424E-8
Tc101 ; 1.92E-6 ; 1.2288E-6 ; 1.57E-6 ; 1.0048E-6
Tc102 ; 1.485E-5 ; 9.50399E-6 ; 1.355E-5 ; 8.672E-6
Tc102m ; 1.485E-5 ; 9.50399E-6 ; 1.355E-5 ; 8.672E-6
Tc103 ; 3.0894E-4 ; 1.97721E-4 ; 3.0959E-4 ; 1.98138E-4
Tc104 ; 0.00200673 ; 0.00128431 ; 0.00202419 ; 0.00129548
Tc105 ; 0.00627231 ; 0.00401428 ; 0.00790819 ; 0.00506124
Tc106 ; 0.017028 ; 0.00544895 ; 0.0175835 ; 0.00562673
Tc107 ; 0.0243013 ; 0.00777642 ; 0.0260499 ; 0.00833597
Tc108 ; 0.0224043 ; 0.00716937 ; 0.0181724 ; 0.00581516
Tc109 ; 0.0118316 ; 0.00378612 ; 0.00788751 ; 0.00504801
Tc110 ; 0.00263049 ; 0.00168351 ; 0.00150301 ; 9.61926E-4
Tc111 ; 3.9857E-4 ; 2.55085E-4 ; 2.5391E-4 ; 1.62502E-4
Tc112 ; 4.124E-5 ; 2.63936E-5 ; 2.78E-5 ; 1.7792E-5
Tc113 ; 5.41921E-6 ; 3.46829E-6 ; 4.69932E-6 ; 3.00756E-6
Tc114 ; 3.44E-7 ; 2.2016E-7 ; 1.618E-5 ; 1.03552E-5
Tc115 ; 1.22568E-6 ; 7.84435E-7 ; 2.03845E-6 ; 1.30461E-6
Tc116 ; 3.24E-8 ; 2.0736E-8 ; 3.85E-8 ; 2.464E-8
Tc117 ; 4.04182E-10 ; 2.58676E-10 ; 1.26434E-9 ; 8.09178E-10
Tc118 ; 6.74734E-13 ; 4.3183E-13 ; 2.68852E-12 ; 1.72065E-12
Tc119 ; 1.77649E-14 ; 1.13695E-14 ; 8.96889E-14 ; 5.74009E-14
Tc120 ; 2.47717E-16 ; 1.58539E-16 ; 1.24281E-15 ; 7.95396E-16
Ru95 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru96 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru97 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru98 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru99 ; 1.72E-14 ; 1.1008E-14 ; 1.17E-14 ; 7.488E-15
Ru100 ; 2.42E-12 ; 1.5488E-12 ; 1.92E-12 ; 1.2288E-12
Ru101 ; 2.02E-10 ; 1.2928E-10 ; 1.81E-10 ; 1.1584E-10
Ru102 ; 1.04E-8 ; 6.65599E-9 ; 1.31E-8 ; 8.384E-9
Ru103 ; 3.79E-7 ; 2.4256E-7 ; 4.58E-7 ; 2.9312E-7
Ru104 ; 8.42999E-6 ; 5.3952E-6 ; 1.243E-5 ; 7.9552E-6
Ru105 ; 8.90799E-5 ; 5.70112E-5 ; 1.4009E-4 ; 8.96576E-5
Ru106 ; 7.30519E-4 ; 4.67532E-4 ; 0.00123032 ; 7.87405E-4
Ru107 ; 0.00299148 ; 0.00191455 ; 0.00485115 ; 0.00310474
Ru108 ; 0.00826148 ; 0.00528735 ; 0.012177 ; 0.00389663
Ru109 ; 0.00614266 ; 0.0039313 ; 0.00697422 ; 0.0044635
Ru109m ; 0.00614266 ; 0.0039313 ; 0.00697422 ; 0.0044635
Ru110 ; 0.0104442 ; 0.00334214 ; 0.0121651 ; 0.00279796
Ru111 ; 0.00511132 ; 0.00327124 ; 0.00558669 ; 0.00251401
Ru112 ; 0.00176142 ; 7.92638E-4 ; 0.00250604 ; 0.00160387
Ru113 ; 9.52499E-4 ; 6.096E-4 ; 0.0012342 ; 7.89888E-4
Ru114 ; 2.7199E-4 ; 1.74073E-4 ; 5.2451E-4 ; 3.35686E-4
Ru115 ; 9.06131E-5 ; 5.79924E-5 ; 1.37039E-4 ; 8.77052E-5
Ru116 ; 1.062E-5 ; 6.79679E-6 ; 2.171E-5 ; 1.38944E-5
Ru117 ; 6.66595E-7 ; 4.26621E-7 ; 1.74874E-6 ; 1.11919E-6
Ru118 ; 2.85993E-8 ; 1.83036E-8 ; 1.05997E-7 ; 6.78383E-8
Ru119 ; 7.52982E-10 ; 4.81908E-10 ; 2.92991E-9 ; 1.87514E-9
Ru120 ; 1.04997E-11 ; 6.71984E-12 ; 4.89988E-11 ; 3.13592E-11
Ru121 ; 5.39204E-14 ; 3.45091E-14 ; 2.51738E-13 ; 1.61112E-13
Ru122 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ru124 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rh99 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rh101 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rh101m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rh102 ; 4.64E-14 ; 2.9696E-14 ; 5.8E-14 ; 3.712E-14
Rh102m ; 4.64E-14 ; 2.9696E-14 ; 5.8E-14 ; 3.712E-14
Rh103 ; 1.6E-12 ; 1.024E-12 ; 2.29E-12 ; 1.4656E-12
Rh103m ; 1.07E-11 ; 6.84799E-12 ; 1.68E-11 ; 1.0752E-11
Rh104 ; 2.42E-10 ; 1.5488E-10 ; 3.32E-10 ; 2.1248E-10
Rh104m ; 7.26999E-10 ; 4.6528E-10 ; 1.18E-9 ; 7.552E-10
Rh105 ; 3.09E-8 ; 1.9776E-8 ; 6.42E-8 ; 4.1088E-8
Rh105m ; 4.62E-9 ; 2.9568E-9 ; 8.76E-9 ; 5.6064E-9
Rh106 ; 4.96E-7 ; 3.1744E-7 ; 9.16E-7 ; 5.8624E-7
Rh106m ; 4.96E-7 ; 3.1744E-7 ; 9.16E-7 ; 5.8624E-7
Rh107 ; 1.401E-5 ; 8.96639E-6 ; 3.306E-5 ; 2.11584E-5
Rh108 ; 6.005E-5 ; 3.8432E-5 ; 1.2345E-4 ; 7.9008E-5
Rh108m ; 6.005E-5 ; 3.8432E-5 ; 1.2345E-4 ; 7.9008E-5
Rh109 ; 2.6748E-4 ; 1.71187E-4 ; 5.8146E-4 ; 3.72134E-4
Rh109m ; 2.6748E-4 ; 1.71187E-4 ; 5.8146E-4 ; 3.72134E-4
Rh110 ; 9.52599E-5 ; 6.09664E-5 ; 1.6806E-4 ; 1.07558E-4
Rh110m ; 9.52599E-5 ; 6.09664E-5 ; 1.6806E-4 ; 1.07558E-4
Rh111 ; 3.4512E-4 ; 2.20877E-4 ; 6.0506E-4 ; 3.87238E-4
Rh112 ; 3.8195E-4 ; 2.44448E-4 ; 6.4306E-4 ; 4.11558E-4
Rh113 ; 5.5956E-4 ; 3.58118E-4 ; 8.8927E-4 ; 5.69133E-4
Rh114 ; 4.3261E-4 ; 2.7687E-4 ; 5.3748E-4 ; 3.43987E-4
Rh115 ; 2.2601E-4 ; 1.44646E-4 ; 6.0689E-4 ; 3.8841E-4
Rh116 ; 1.1894E-4 ; 7.61215E-5 ; 2.8761E-4 ; 1.8407E-4
Rh117 ; 3.478E-5 ; 2.22592E-5 ; 1.0196E-4 ; 6.52544E-5
Rh118 ; 6.66999E-6 ; 4.2688E-6 ; 1.969E-5 ; 1.26016E-5
Rh119 ; 7.50999E-7 ; 4.8064E-7 ; 2.55E-6 ; 1.632E-6
Rh120 ; 4.6E-8 ; 2.944E-8 ; 1.49E-7 ; 9.536E-8
Rh121 ; 1.52994E-9 ; 9.79165E-10 ; 5.54975E-9 ; 3.55184E-9
Rh122 ; 3.1E-11 ; 1.984E-11 ; 8.39E-11 ; 5.3696E-11
Rh123 ; 3.64E-13 ; 2.3296E-13 ; 8.51E-13 ; 5.4464E-13
Rh124 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd99 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd101 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd102 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd103 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd104 ; 0.0 ; 0.0 ; 1.69E-14 ; 1.0816E-14
Pd105 ; 8.52999E-13 ; 5.4592E-13 ; 2.58E-12 ; 1.6512E-12
Pd106 ; 8.05999E-11 ; 5.1584E-11 ; 2.92E-10 ; 1.8688E-10
Pd107 ; 1.37E-9 ; 8.76799E-10 ; 5.24E-9 ; 3.3536E-9
Pd107m ; 2.55E-9 ; 1.632E-9 ; 1.17E-8 ; 7.488E-9
Pd108 ; 1.22E-7 ; 7.80799E-8 ; 5.69E-7 ; 3.6416E-7
Pd109 ; 6.71999E-7 ; 4.3008E-7 ; 2.78E-6 ; 1.7792E-6
Pd109m ; 1.25E-6 ; 7.99999E-7 ; 6.19E-6 ; 3.9616E-6
Pd110 ; 4.3E-9 ; 2.752E-9 ; 2.06E-8 ; 1.3184E-8
Pd111 ; 1.57E-8 ; 1.0048E-8 ; 5.12E-8 ; 3.2768E-8
Pd111m ; 2.91E-8 ; 1.8624E-8 ; 1.14E-7 ; 7.296E-8
Pd112 ; 2.52E-7 ; 1.6128E-7 ; 9.56E-7 ; 6.1184E-7
Pd113 ; 1.76E-6 ; 1.1264E-6 ; 4.23E-6 ; 2.7072E-6
Pd114 ; 5.92E-6 ; 3.7888E-6 ; 9.526E-5 ; 6.09664E-5
Pd115 ; 6.235E-5 ; 3.9904E-5 ; 3.3639E-4 ; 2.1529E-4
Pd116 ; 1.4047E-4 ; 8.99007E-5 ; 6.1481E-4 ; 3.93478E-4
Pd117 ; 1.6204E-4 ; 1.03706E-4 ; 5.998E-4 ; 3.83872E-4
Pd118 ; 1.1803E-4 ; 7.55391E-5 ; 4.4445E-4 ; 2.84448E-4
Pd119 ; 5.037E-5 ; 3.22368E-5 ; 1.749E-4 ; 1.11936E-4
Pd120 ; 1.249E-5 ; 7.99359E-6 ; 4.575E-5 ; 2.928E-5
Pd121 ; 1.66E-6 ; 1.0624E-6 ; 5.74E-6 ; 3.6736E-6
Pd122 ; 1.33E-7 ; 8.51199E-8 ; 4.31E-7 ; 2.7584E-7
Pd123 ; 6.34E-9 ; 4.0576E-9 ; 1.6E-8 ; 1.024E-8
Pd124 ; 1.18E-10 ; 7.55199E-11 ; 3.8E-10 ; 2.432E-10
Pd125 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd126 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd127 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd128 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd129 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Pd130 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag103 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag105 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag105m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag106 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag106m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag107 ; 0.0 ; 0.0 ; 2.65E-14 ; 1.696E-14
Ag107m ; 2.41E-14 ; 1.5424E-14 ; 1.94E-13 ; 1.2416E-13
Ag108 ; 1.605E-12 ; 1.0272E-12 ; 1.25E-11 ; 8.0E-12
Ag108m ; 1.605E-12 ; 1.0272E-12 ; 1.25E-11 ; 8.0E-12
Ag109 ; 9.24999E-11 ; 5.92E-11 ; 9.7E-10 ; 6.208E-10
Ag109m ; 9.24999E-11 ; 5.92E-11 ; 9.7E-10 ; 6.208E-10
Ag110 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag110m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag111 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag111m ; 0.0 ; 0.0 ; 1.06E-14 ; 6.784E-15
Ag112 ; 4.82E-14 ; 3.0848E-14 ; 3.12E-13 ; 1.9968E-13
Ag113 ; 2.67E-13 ; 1.7088E-13 ; 8.67E-13 ; 5.5488E-13
Ag113m ; 1.78E-12 ; 1.1392E-12 ; 6.36E-12 ; 4.0704E-12
Ag114 ; 3.83E-11 ; 2.4512E-11 ; 4.34E-7 ; 2.7776E-7
Ag115 ; 3.38E-7 ; 2.1632E-7 ; 3.91E-6 ; 2.5024E-6
Ag115m ; 3.38E-7 ; 2.1632E-7 ; 3.91E-6 ; 2.5024E-6
Ag116 ; 3.89E-6 ; 2.4896E-6 ; 2.234E-5 ; 1.42976E-5
Ag116m ; 3.89E-6 ; 2.4896E-6 ; 2.234E-5 ; 1.42976E-5
Ag117 ; 1.898E-5 ; 1.21472E-5 ; 8.583E-5 ; 5.49312E-5
Ag117m ; 1.898E-5 ; 1.21472E-5 ; 8.583E-5 ; 5.49312E-5
Ag118 ; 4.911E-5 ; 3.14304E-5 ; 1.6415E-4 ; 1.05056E-4
Ag118m ; 4.911E-5 ; 3.14304E-5 ; 1.6415E-4 ; 1.05056E-4
Ag119 ; 1.3769E-4 ; 8.81215E-5 ; 4.7737E-4 ; 3.05517E-4
Ag120 ; 5.9145E-5 ; 3.78528E-5 ; 1.745E-4 ; 1.1168E-4
Ag120m ; 5.9145E-5 ; 3.78528E-5 ; 1.745E-4 ; 1.1168E-4
Ag121 ; 5.536E-5 ; 3.54304E-5 ; 1.8211E-4 ; 1.1655E-4
Ag122 ; 8.12499E-6 ; 5.2E-6 ; 2.2455E-5 ; 1.43712E-5
Ag122m ; 8.12499E-6 ; 5.2E-6 ; 2.2455E-5 ; 1.43712E-5
Ag123 ; 2.95E-6 ; 1.888E-6 ; 7.97E-6 ; 5.1008E-6
Ag124 ; 2.53E-7 ; 1.6192E-7 ; 6.54E-7 ; 4.1856E-7
Ag125 ; 1.74E-11 ; 1.1136E-11 ; 1.38E-11 ; 8.832E-12
Ag126 ; 1.77E-12 ; 1.1328E-12 ; 1.1E-12 ; 7.04E-13
Ag127 ; 1.33E-13 ; 8.51199E-14 ; 7.86E-14 ; 5.0304E-14
Ag128 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag129 ; 4.33031E-16 ; 2.7714E-16 ; 5.78345E-16 ; 3.70141E-16
Ag130 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ag131 ; 1.32116E-11 ; 8.45541E-12 ; 3.02126E-11 ; 1.93361E-11
Ag132 ; 4.69483E-13 ; 3.00469E-13 ; 1.02214E-12 ; 6.54172E-13
Cd105 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cd106 ; 0.0 ; 0.0 ; 0.0 ; 0.0
