Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Cu77 ; 2.59E-8 ; 1.6576E-8 ; 5.09E-7 ; 3.2576E-7
Cu78 ; 1.34E-8 ; 8.57599E-9 ; 1.06E-7 ; 6.784E-8
Cu79 ; 9.60965E-10 ; 6.15018E-10 ; 1.57993E-8 ; 1.01115E-8
Cu80 ; 6.82999E-11 ; 4.3712E-11 ; 1.15E-9 ; 7.36E-10
Cu81 ; 3.5E-12 ; 2.24E-12 ; 5.60975E-11 ; 3.59024E-11
Cu82 ; 1.03E-13 ; 6.59199E-14 ; 1.72E-12 ; 1.1008E-12
Cu83 ; 3.96347E-15 ; 2.53662E-15 ; 5.35684E-14 ; 3.42838E-14
Zn66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zn67 ; 3.84E-13 ; 2.4576E-13 ; 1.09E-13 ; 6.976E-14
Zn68 ; 1.23E-11 ; 7.87199E-12 ; 4.48E-12 ; 2.8672E-12
Zn69 ; 5.0E-11 ; 3.2E-11 ; 2.95E-11 ; 1.888E-11
Zn69m ; 2.13E-10 ; 1.3632E-10 ; 1.44E-10 ; 9.216E-11
Zn70 ; 5.64E-9 ; 3.6096E-9 ; 4.41E-9 ; 2.8224E-9
Zn71 ; 1.49E-8 ; 9.53599E-9 ; 8.94E-9 ; 5.7216E-9
Zn71m ; 6.34E-8 ; 4.0576E-8 ; 4.37E-8 ; 2.7968E-8
Zn72 ; 8.78999E-8 ; 5.6256E-8 ; 3.42E-7 ; 2.1888E-7
Zn73 ; 3.41E-7 ; 2.1824E-7 ; 2.13E-6 ; 1.3632E-6
Zn74 ; 6.5E-7 ; 4.16E-7 ; 7.65E-6 ; 4.896E-6
Zn75 ; 1.66E-6 ; 1.0624E-6 ; 1.904E-5 ; 1.21856E-5
Zn76 ; 3.35E-6 ; 2.144E-6 ; 3.108E-5 ; 1.98912E-5
Zn77 ; 2.72E-6 ; 1.7408E-6 ; 2.616E-5 ; 1.67424E-5
Zn78 ; 4.4E-6 ; 2.816E-6 ; 1.904E-5 ; 1.21856E-5
Zn79 ; 1.01E-6 ; 6.464E-7 ; 7.56E-6 ; 4.8384E-6
Zn80 ; 2.35E-7 ; 1.504E-7 ; 2.11E-6 ; 1.3504E-6
Zn81 ; 3.99E-8 ; 2.5536E-8 ; 2.87E-7 ; 1.8368E-7
Zn82 ; 4.08E-9 ; 2.6112E-9 ; 3.36E-8 ; 2.1504E-8
Zn83 ; 1.67996E-10 ; 1.07517E-10 ; 1.74995E-9 ; 1.11997E-9
Zn84 ; 4.39E-12 ; 2.8096E-12 ; 6.79E-11 ; 4.3456E-11
Zn85 ; 7.50657E-14 ; 4.8042E-14 ; 8.84486E-13 ; 5.66071E-13
Zn86 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga69 ; 2.62E-13 ; 1.6768E-13 ; 7.98E-14 ; 5.1072E-14
Ga70 ; 1.8E-11 ; 1.152E-11 ; 5.6E-12 ; 3.584E-12
Ga71 ; 7.73999E-10 ; 4.9536E-10 ; 2.43E-10 ; 1.5552E-10
Ga72 ; 1.3E-9 ; 8.31999E-10 ; 2.065E-9 ; 1.3216E-9
Ga72m ; 1.3E-9 ; 8.31999E-10 ; 2.065E-9 ; 1.3216E-9
Ga73 ; 2.87E-8 ; 1.8368E-8 ; 8.96E-8 ; 5.7344E-8
Ga74 ; 7.39999E-8 ; 4.736E-8 ; 3.73E-7 ; 2.3872E-7
Ga74m ; 7.39999E-8 ; 4.736E-8 ; 3.73E-7 ; 2.3872E-7
Ga75 ; 9.88999E-7 ; 6.3296E-7 ; 5.88E-6 ; 3.7632E-6
Ga76 ; 5.16E-6 ; 3.3024E-6 ; 2.129E-5 ; 1.36256E-5
Ga77 ; 1.107E-5 ; 7.08479E-6 ; 5.523E-5 ; 3.53472E-5
Ga78 ; 4.929E-5 ; 3.15456E-5 ; 8.948E-5 ; 5.72672E-5
Ga79 ; 3.271E-5 ; 2.09344E-5 ; 1.1802E-4 ; 7.55328E-5
Ga80 ; 2.306E-5 ; 1.47584E-5 ; 8.27E-5 ; 5.2928E-5
Ga81 ; 1.232E-5 ; 7.88479E-6 ; 4.089E-5 ; 2.61696E-5
Ga82 ; 4.2E-6 ; 2.688E-6 ; 1.255E-5 ; 8.032E-6
Ga83 ; 5.87E-7 ; 3.7568E-7 ; 2.51E-6 ; 1.6064E-6
Ga84 ; 5.47E-8 ; 3.5008E-8 ; 2.83E-7 ; 1.8112E-7
Ga85 ; 2.12992E-9 ; 1.36315E-9 ; 1.94991E-8 ; 1.24794E-8
Ga86 ; 6.18E-11 ; 3.9552E-11 ; 5.2E-10 ; 3.328E-10
Ga87 ; 7.4551E-13 ; 4.77127E-13 ; 5.54051E-12 ; 3.54592E-12
Ga88 ; 2.57154E-14 ; 1.64578E-14 ; 1.96566E-13 ; 1.25802E-13
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge70 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge71 ; 2.5E-13 ; 1.6E-13 ; 4.12E-14 ; 2.6368E-14
Ge71m ; 2.5E-13 ; 1.6E-13 ; 4.12E-14 ; 2.6368E-14
Ge72 ; 5.47E-12 ; 3.5008E-12 ; 5.44E-12 ; 3.4816E-12
Ge73 ; 1.55E-10 ; 9.91999E-11 ; 2.69E-10 ; 1.7216E-10
Ge73m ; 3.65E-11 ; 2.336E-11 ; 5.5E-11 ; 3.52E-11
Ge74 ; 3.05E-9 ; 1.952E-9 ; 9.7E-9 ; 6.208E-9
Ge75 ; 7.78999E-9 ; 4.9856E-9 ; 2.37E-8 ; 1.5168E-8
Ge75m ; 5.21E-8 ; 3.3344E-8 ; 1.74E-7 ; 1.1136E-7
Ge76 ; 8.76999E-7 ; 5.6128E-7 ; 2.44E-6 ; 1.5616E-6
Ge77 ; 4.38E-6 ; 2.8032E-6 ; 1.309E-5 ; 8.3776E-6
Ge77m ; 6.54999E-7 ; 4.192E-7 ; 1.79E-6 ; 1.1456E-6
Ge78 ; 5.821E-5 ; 3.72544E-5 ; 7.346E-5 ; 4.70144E-5
Ge79 ; 5.0085E-5 ; 3.20544E-5 ; 1.0703E-4 ; 6.84992E-5
Ge79m ; 5.0085E-5 ; 3.20544E-5 ; 1.0703E-4 ; 6.84992E-5
Ge80 ; 1.8842E-4 ; 1.20589E-4 ; 4.657E-4 ; 2.98048E-4
Ge81 ; 2.813E-4 ; 1.80032E-4 ; 5.3421E-4 ; 3.41894E-4
Ge82 ; 2.9009E-4 ; 1.85657E-4 ; 5.3949E-4 ; 3.45274E-4
Ge83 ; 1.2853E-4 ; 8.22591E-5 ; 2.7531E-4 ; 1.76198E-4
Ge84 ; 4.047E-5 ; 2.59008E-5 ; 1.1775E-4 ; 7.536E-5
Ge85 ; 5.64E-6 ; 3.6096E-6 ; 2.361E-5 ; 1.51104E-5
Ge86 ; 5.79E-7 ; 3.7056E-7 ; 2.67E-6 ; 1.7088E-6
Ge87 ; 3.15992E-8 ; 2.02235E-8 ; 1.80994E-7 ; 1.15836E-7
Ge88 ; 1.08997E-9 ; 6.97583E-10 ; 7.7498E-9 ; 4.95987E-9
Ge89 ; 1.03259E-11 ; 6.6086E-12 ; 4.11853E-11 ; 2.63586E-11
Ge90 ; 2.03484E-12 ; 1.3023E-12 ; 2.13175E-12 ; 1.36432E-12
Ge91 ; 5.46724E-14 ; 3.49904E-14 ; 2.24815E-13 ; 1.43882E-13
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As73 ; 3.59E-14 ; 2.2976E-14 ; 3.17E-14 ; 2.0288E-14
As74 ; 5.64E-13 ; 3.6096E-13 ; 7.01E-13 ; 4.4864E-13
As74m ; 1.32E-12 ; 8.44799E-13 ; 1.9E-12 ; 1.216E-12
As75 ; 1.19E-10 ; 7.61599E-11 ; 2.04E-10 ; 1.3056E-10
As76 ; 5.5E-9 ; 3.52E-9 ; 6.87E-9 ; 4.3968E-9
As77 ; 9.60999E-8 ; 6.1504E-8 ; 1.53E-7 ; 9.792E-8
As78 ; 3.23E-6 ; 2.0672E-6 ; 1.87E-6 ; 1.1968E-6
As79 ; 1.534E-5 ; 9.81759E-6 ; 1.833E-5 ; 1.17312E-5
As80 ; 7.63499E-5 ; 4.8864E-5 ; 9.208E-5 ; 5.89312E-5
As81 ; 2.9482E-4 ; 1.88685E-4 ; 3.2703E-4 ; 2.09299E-4
As82 ; 4.0703E-4 ; 2.60499E-4 ; 3.5594E-4 ; 2.27802E-4
As82m ; 4.0703E-4 ; 2.60499E-4 ; 3.5594E-4 ; 2.27802E-4
As83 ; 0.00100243 ; 6.41555E-4 ; 0.00113819 ; 7.28442E-4
As84 ; 4.76095E-4 ; 3.04701E-4 ; 5.90235E-4 ; 3.7775E-4
As84m ; 4.76095E-4 ; 3.04701E-4 ; 5.90235E-4 ; 3.7775E-4
As85 ; 4.3513E-4 ; 2.78483E-4 ; 8.6487E-4 ; 5.53517E-4
As86 ; 1.4834E-4 ; 9.49375E-5 ; 2.7853E-4 ; 1.78259E-4
As87 ; 2.866E-5 ; 1.83424E-5 ; 7.732E-5 ; 4.94848E-5
As88 ; 3.47E-6 ; 2.2208E-6 ; 1.006E-5 ; 6.4384E-6
As89 ; 2.92989E-7 ; 1.87513E-7 ; 9.07959E-7 ; 5.81094E-7
As90 ; 5.77368E-8 ; 3.69516E-8 ; 3.89398E-8 ; 2.49215E-8
As91 ; 1.55128E-9 ; 9.92821E-10 ; 4.95621E-9 ; 3.17198E-9
As92 ; 4.05784E-12 ; 2.59702E-12 ; 1.31129E-11 ; 8.39223E-12
As93 ; 1.15397E-12 ; 7.3854E-13 ; 9.78884E-13 ; 6.26486E-13
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se75 ; 1.43E-14 ; 9.15199E-15 ; 1.46E-14 ; 9.344E-15
Se76 ; 2.2E-12 ; 1.408E-12 ; 1.94E-12 ; 1.2416E-12
Se77 ; 1.63E-11 ; 1.0432E-11 ; 1.46E-11 ; 9.344E-12
Se77m ; 1.09E-10 ; 6.97599E-11 ; 1.07E-10 ; 6.848E-11
Se78 ; 3.01E-8 ; 1.9264E-8 ; 5.51E-9 ; 3.5264E-9
Se79 ; 1.75E-7 ; 1.12E-7 ; 1.28E-7 ; 8.192E-8
Se79m ; 2.61E-8 ; 1.6704E-8 ; 1.75E-8 ; 1.12E-8
Se80 ; 3.0E-6 ; 1.92E-6 ; 2.65E-6 ; 1.696E-6
Se81 ; 4.32E-6 ; 2.7648E-6 ; 2.82E-6 ; 1.8048E-6
Se81m ; 2.888E-5 ; 1.84832E-5 ; 2.07E-5 ; 1.3248E-5
Se82 ; 2.564E-4 ; 1.64096E-4 ; 1.6477E-4 ; 1.05453E-4
Se83 ; 6.87439E-4 ; 4.39961E-4 ; 4.9831E-4 ; 3.18918E-4
Se83m ; 1.6125E-4 ; 1.032E-4 ; 1.0206E-4 ; 6.53184E-5
Se84 ; 0.00205073 ; 9.22828E-4 ; 0.00172145 ; 7.74653E-4
Se85 ; 0.00143266 ; 9.16902E-4 ; 0.00168087 ; 0.00107576
Se85m ; 0.00142674 ; 9.13113E-4 ; 0.00166912 ; 0.00106824
Se86 ; 0.00285404 ; 0.00182658 ; 0.00367779 ; 0.00235379
Se87 ; 0.00185954 ; 0.0011901 ; 0.00274055 ; 0.00175395
Se88 ; 6.92469E-4 ; 4.4318E-4 ; 0.00137812 ; 8.81997E-4
Se89 ; 1.9102E-4 ; 1.22253E-4 ; 3.6216E-4 ; 2.31782E-4
Se90 ; 9.52222E-5 ; 6.09422E-5 ; 6.50011E-5 ; 4.16007E-5
Se91 ; 2.55845E-6 ; 1.63741E-6 ; 6.85504E-6 ; 4.38723E-6
Se92 ; 1.71996E-7 ; 1.10077E-7 ; 5.16987E-7 ; 3.30872E-7
Se93 ; 4.89122E-8 ; 3.13038E-8 ; 3.19777E-8 ; 2.04657E-8
Se94 ; 1.09E-10 ; 6.97599E-11 ; 4.5E-10 ; 2.88E-10
Se95 ; 2.02523E-12 ; 1.29615E-12 ; 5.15961E-12 ; 3.30215E-12
