Product , High (14 MeV) 
Product ,  
Product , Yield 
V66 ,1.5715E-13
V67 ,3.21653E-14
V68 ,3.79857E-15
Cr66 ,5.12843E-10
Cr67 ,1.04968E-10
Cr68 ,1.23962E-11
Cr69 ,4.1968E-13
Cr70 ,4.38E-14
Mn66 ,0.0000000601
Mn67 ,0.0000000299
Mn68 ,0.000000009
Mn69 ,0.00000000136958
Mn70 ,2.06E-10
Mn71 ,1.72E-11
Mn72 ,7.78094E-13
Mn73 ,9.92529E-14
Fe66 ,0.000000695
Fe67 ,0.000000799
Fe68 ,0.000000582
Fe69 ,0.000000219
Fe70 ,0.0000000808
Fe71 ,0.0000000172
Fe72 ,0.00000000253922
Fe73 ,3.23901E-10
Fe74 ,2.64E-11
Fe75 ,1.36932E-12
Fe76 ,4.21E-14
Co66 ,0.000000938
Co67 ,0.00000235
Co68 ,0.00000388
Co69 ,0.00000339
Co70 ,0.00000291
Co71 ,0.00000152
Co72 ,0.000000555
Co73 ,0.000000175
Co74 ,0.0000000365
Co75 ,0.00000000446863
Co76 ,3.89E-10
Co77 ,2.02182E-11
Co78 ,2.58854E-12
Ni66 ,0.000000152
Ni67 ,0.000000845
Ni68 ,0.0000031
Ni69 ,0.00000602
Ni70 ,0.00001131
Ni71 ,0.00001344
Ni72 ,0.00001153
Ni73 ,0.00000853
Ni74 ,0.00000437
Ni75 ,0.00000134
Ni76 ,0.000000297
Ni77 ,0.0000000659798
Ni78 ,0.00000000844741
Ni79 ,2.16886E-10
Ni80 ,2.62E-11
Ni81 ,1.83189E-12
Ni82 ,1.13E-14
Cu66 ,0.00000000257
Cu67 ,0.0000000337
Cu68 ,0.0000000524
Cu68m ,0.000000239
Cu69 ,0.0000013
Cu70 ,0.000000803
Cu70m ,0.00000455
Cu71 ,0.00001412
Cu72 ,0.00002688
Cu73 ,0.00004383
Cu74 ,0.00005171
Cu75 ,0.00003752
Cu76 ,0.00002011
Cu77 ,0.00001107
Cu78 ,0.00000366
Cu79 ,0.000000707783
Cu80 ,0.0000000804
Cu81 ,0.00000000597817
Cu82 ,2.8E-10
Cu83 ,1.21003E-11
Zn66 ,3.88E-12
Zn67 ,1.26E-10
Zn68 ,0.00000000272
Zn69 ,0.00000000326
Zn69m ,0.0000000264
Zn70 ,0.000000287
Zn71 ,0.000000194
Zn71m ,0.00000157
Zn72 ,0.00000765
Zn73 ,0.00002727
Zn74 ,0.00007129
Zn75 ,0.00011528
Zn76 ,0.0001401
Zn77 ,0.00017928
Zn78 ,0.00014461
Zn79 ,0.00007015
Zn80 ,0.00002084
Zn81 ,0.00000423
Zn82 ,0.000000561
Zn83 ,0.0000000394879
Zn84 ,0.00000000232
Zn85 ,8.88375E-11
Zn86 ,1.31E-12
Ga66 ,0
Ga67 ,3.97E-14
Ga68 ,2.21E-12
Ga69 ,6.15E-11
Ga70 ,0.00000000147
Ga71 ,0.0000000224
Ga72 ,0.000000118
Ga72m ,0.000000118
Ga73 ,0.00000196
Ga74 ,0.000005915
Ga74m ,0.000005915
Ga75 ,0.00004324
Ga76 ,0.00011688
Ga77 ,0.00033159
Ga78 ,0.00061219
Ga79 ,0.00069498
Ga80 ,0.00050789
Ga81 ,0.00026706
Ga82 ,0.00009634
Ga83 ,0.0000184
Ga84 ,0.00000297
Ga85 ,0.000000289911
Ga86 ,0.0000000141
Ga87 ,4.53377E-10
Ga88 ,2.49358E-11
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,1.06E-14
Ge70 ,6.4E-13
Ge71 ,1.26E-11
Ge71m ,1.26E-11
Ge72 ,6.75E-10
Ge73 ,0.0000000122
Ge73m ,0.00000000151
Ge74 ,0.000000204
Ge75 ,0.000000144
Ge75m ,0.00000166
Ge76 ,0.00001146
Ge77 ,0.00006929
Ge77m ,0.00000522
Ge78 ,0.0003152
Ge79 ,0.00040516
Ge79m ,0.00040516
Ge80 ,0.0013662
Ge81 ,0.00173663
Ge82 ,0.0015925
Ge83 ,0.00078045
Ge84 ,0.00033181
Ge85 ,0.00009119
Ge86 ,0.00001248
Ge87 ,0.00000147955
Ge88 ,0.0000000813751
Ge89 ,0.00000000208309
Ge90 ,1.94533E-10
Ge91 ,  
As69 ,0
As71 ,0
As72 ,1.62E-13
As73 ,8.27E-12
As74 ,5.69E-11
As74m ,2.59E-10
As75 ,0.00000000706
As76 ,0.000000112
As77 ,0.00000178
As78 ,0.00001847
As79 ,0.00011298
As80 ,0.0004536
As81 ,0.00136462
As82 ,0.00150678
As82m ,0.00150712
As83 ,0.00351957
As84 ,0.00183434
As84m ,0.00183434
As85 ,0.00266967
As86 ,0.00097447
As87 ,0.0003159
As88 ,0.00004729
As89 ,0.00000679792
As90 ,0.000000634837
As91 ,0.00000000691094
As92 ,6.52496E-10
As93 ,8.17188E-11
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,4.04E-14
Se75 ,2.34E-12
Se76 ,9.59E-11
Se77 ,3.12E-10
Se77m ,0.00000000358
Se78 ,0.000000104
Se79 ,0.0000015
Se79m ,0.000000113
Se80 ,0.00001647
Se81 ,0.00001002
Se81m ,0.0001152
Se82 ,0.00069207
Se83 ,0.00171975
Se83m ,0.0002126
Se84 ,0.00459786
Se85 ,0.00428014
Se85m ,0.00423906
Se86 ,0.00770642
Se87 ,0.00641596
Se88 ,0.00247463
Se89 ,0.00094157
Se90 ,0.000175095
Se91 ,0.0000225531
Se92 ,0.00000212935
Se93 ,0.00000026668
Se94 ,0.00000000441
