Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ni74 ; 2.59E-8 ; 1.6576E-8 ; 6.57E-8 ; 4.2048E-8 ; 4.93139E-6 ; 3.15609E-6
Ni75 ; 4.76E-9 ; 3.0464E-9 ; 1.79E-8 ; 1.1456E-8 ; 9.56269E-7 ; 6.12012E-7
Ni76 ; 1.71E-9 ; 1.0944E-9 ; 7.37E-9 ; 4.7168E-9 ; 1.28036E-7 ; 8.1943E-8
Ni77 ; 1.65997E-10 ; 1.06238E-10 ; 7.55966E-10 ; 4.83818E-10 ; 1.27019E-8 ; 8.12921E-9
Ni78 ; 1.51997E-11 ; 9.7278E-12 ; 6.77978E-11 ; 4.33906E-11 ; 7.26108E-10 ; 4.64709E-10
Ni79 ; 2.44905E-13 ; 1.56739E-13 ; 2.54909E-12 ; 1.63142E-12 ; 2.01497E-11 ; 1.28958E-11
Ni80 ; 0.0 ; 0.0 ; 1.24E-13 ; 7.936E-14 ; 7.22203E-13 ; 4.6221E-13
Ni81 ; 8.6252E-16 ; 5.52013E-16 ;  ;  ;  ; 
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu66 ; 2.65E-13 ; 1.696E-13 ; 2.32E-12 ; 1.4848E-12 ; 1.20034E-7 ; 7.68216E-8
Cu67 ; 4.92E-12 ; 3.1488E-12 ; 3.44E-11 ; 2.2016E-11 ; 1.0503E-6 ; 6.72189E-7
Cu68 ; 4.43E-11 ; 2.8352E-11 ; 2.31E-10 ; 1.4784E-10 ; 9.77275E-7 ; 6.25456E-7
Cu68m ; 1.03E-10 ; 6.592E-11 ; 6.25E-10 ; 4.0E-10 ; 4.45125E-6 ; 2.8488E-6
Cu69 ; 2.62E-9 ; 1.6768E-9 ; 1.04E-10 ; 6.656E-11 ; 2.1186E-5 ; 1.3559E-5
Cu70 ; 4.24E-9 ; 2.7136E-9 ; 1.86E-8 ; 1.1904E-8 ; 8.25232E-6 ; 5.28148E-6
Cu70m ; 1.27E-8 ; 8.128E-9 ; 6.59E-8 ; 4.2176E-8 ; 4.67631E-5 ; 2.99284E-5
Cu71 ; 8.34E-8 ; 5.3376E-8 ; 3.41E-7 ; 2.1824E-7 ; 1.09441E-4 ; 7.00421E-5
Cu72 ; 1.81E-7 ; 1.1584E-7 ; 9.31E-7 ; 5.9584E-7 ; 1.47942E-4 ; 9.46826E-5
Cu73 ; 4.94E-7 ; 3.1616E-7 ; 1.81E-6 ; 1.1584E-6 ; 1.53343E-4 ; 9.81396E-5
Cu74 ; 7.31E-7 ; 4.6784E-7 ; 1.82E-6 ; 1.1648E-6 ; 1.13292E-4 ; 7.25068E-5
Cu75 ; 5.36E-7 ; 3.4304E-7 ; 1.41E-6 ; 9.024E-7 ; 5.65459E-5 ; 3.61894E-5
Cu76 ; 4.93E-7 ; 3.1552E-7 ; 1.7E-6 ; 1.088E-6 ; 2.05458E-5 ; 1.31493E-5
Cu77 ; 2.05E-7 ; 1.312E-7 ; 5.22E-7 ; 3.3408E-7 ; 5.48154E-6 ; 3.50819E-6
Cu78 ; 5.24E-8 ; 3.3536E-8 ; 1.43E-7 ; 9.152E-8 ; 8.87249E-7 ; 5.6784E-7
Cu79 ; 7.77976E-9 ; 4.97904E-9 ; 2.55975E-8 ; 1.63824E-8 ; 1.02009E-7 ; 6.52855E-8
Cu80 ; 3.2E-10 ; 2.048E-10 ; 2.53E-9 ; 1.6192E-9 ; 7.26204E-9 ; 4.64771E-9
Cu81 ; 2.73991E-11 ; 1.75354E-11 ; 1.33E-10 ; 8.512E-11 ; 3.30093E-10 ; 2.11259E-10
Cu82 ; 3.86E-13 ; 2.4704E-13 ; 2.99E-12 ; 1.9136E-12 ; 1.00028E-11 ; 6.4018E-12
Cu83 ; 9.10346E-15 ; 5.82621E-15 ; 6.00505E-14 ; 3.84323E-14 ; 3.91461E-13 ; 2.50535E-13
Zn66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.73049E-10 ; 1.10751E-10
Zn67 ; 0.0 ; 0.0 ; 7.15E-14 ; 4.576E-14 ; 4.2712E-9 ; 2.73357E-9
Zn68 ; 5.64E-13 ; 3.6096E-13 ; 5.31E-12 ; 3.3984E-12 ; 5.72161E-8 ; 3.66183E-8
Zn69 ; 4.87E-12 ; 3.1168E-12 ; 3.19E-13 ; 2.0416E-13 ; 6.4018E-8 ; 4.09715E-8
Zn69m ; 2.08E-11 ; 1.3312E-11 ; 1.56E-12 ; 9.984E-13 ; 5.18146E-7 ; 3.31613E-7
Zn70 ; 6.39E-10 ; 4.0896E-10 ; 4.25E-9 ; 2.72E-9 ; 3.83108E-6 ; 2.45189E-6
Zn71 ; 1.39E-9 ; 8.896E-10 ; 7.81E-9 ; 4.9984E-9 ; 2.05058E-6 ; 1.31237E-6
