Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
V66 ,  
V67 ,  
Cr66 ,0
Cr67 ,0
Cr68 ,0
Cr69 ,5.81495E-19
Cr70 ,0
Mn66 ,3.26E-12
Mn67 ,9.05999E-13
Mn68 ,1.62E-13
Mn69 ,1.64994E-14
Mn70 ,0
Mn71 ,0
Mn72 ,1.16781E-18
Mn73 ,  
Fe66 ,2.86E-10
Fe67 ,2.46E-10
Fe68 ,1.36E-10
Fe69 ,4.52E-11
Fe70 ,1.5E-11
Fe71 ,3.11E-12
Fe72 ,4.94988E-14
Fe73 ,0
Fe74 ,0
Fe75 ,5.46253E-18
Fe76 ,0
Co66 ,9.90999E-10
Co67 ,0.00000000233
Co68 ,0.0000000036
Co69 ,0.00000000359
Co70 ,0.00000000371
Co71 ,0.00000000248
Co72 ,1.29E-10
Co73 ,2.19E-11
Co74 ,1.67E-12
Co75 ,1.54994E-13
Co76 ,1.03E-14
Co77 ,3.79833E-16
Co78 ,5.94521E-17
Ni66 ,3.85E-10
Ni67 ,0.00000000236
Ni68 ,0.00000000918999
Ni69 ,0.0000000243
Ni70 ,0.0000000694999
Ni71 ,0.000000135
Ni72 ,0.0000000215
Ni73 ,0.0000000115
Ni74 ,0.00000000283
Ni75 ,8.63999E-10
Ni76 ,1.92E-10
Ni77 ,1.60996E-11
Ni78 ,2.51994E-12
Ni79 ,3.38677E-14
Ni80 ,0
Ni81 ,  
Ni82 ,0
Cu66 ,6.15E-12
Cu67 ,1.1E-10
Cu68 ,3.5E-10
Cu68m ,8.15999E-10
Cu69 ,0.00000000821999
Cu70 ,0.0000000152
Cu70m ,0.0000000457
Cu71 ,0.000000307
Cu72 ,0.000000131
Cu73 ,0.000000197
Cu74 ,0.000000143
Cu75 ,0.000000135
Cu76 ,0.0000000951999
Cu77 ,0.0000000259
Cu78 ,0.0000000134
Cu79 ,9.60965E-10
Cu80 ,6.82999E-11
Cu81 ,3.5E-12
Cu82 ,1.03E-13
Cu83 ,3.96347E-15
Zn66 ,0
Zn67 ,3.84E-13
Zn68 ,1.23E-11
Zn69 ,5E-11
Zn69m ,2.13E-10
Zn70 ,0.00000000564
Zn71 ,0.0000000149
Zn71m ,0.0000000634
Zn72 ,0.0000000878999
Zn73 ,0.000000341
Zn74 ,0.00000065
Zn75 ,0.00000166
Zn76 ,0.00000335
Zn77 ,0.00000272
Zn78 ,0.0000044
Zn79 ,0.00000101
Zn80 ,0.000000235
Zn81 ,0.0000000399
Zn82 ,0.00000000408
Zn83 ,1.67996E-10
Zn84 ,4.39E-12
Zn85 ,7.50657E-14
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,2.62E-13
Ga70 ,1.8E-11
Ga71 ,7.73999E-10
Ga72 ,0.0000000013
Ga72m ,0.0000000013
Ga73 ,0.0000000287
Ga74 ,0.0000000739999
Ga74m ,0.0000000739999
Ga75 ,0.000000988999
Ga76 ,0.00000516
Ga77 ,0.00001107
Ga78 ,0.00004929
Ga79 ,0.00003271
Ga80 ,0.00002306
Ga81 ,0.00001232
Ga82 ,0.0000042
Ga83 ,0.000000587
Ga84 ,0.0000000547
Ga85 ,0.00000000212992
Ga86 ,6.18E-11
Ga87 ,7.4551E-13
Ga88 ,2.57154E-14
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,2.5E-13
Ge71m ,2.5E-13
Ge72 ,5.47E-12
Ge73 ,1.55E-10
Ge73m ,3.65E-11
Ge74 ,0.00000000305
Ge75 ,0.00000000778999
Ge75m ,0.0000000521
Ge76 ,0.000000876999
Ge77 ,0.00000438
Ge77m ,0.000000654999
Ge78 ,0.00005821
Ge79 ,0.000050085
Ge79m ,0.000050085
Ge80 ,0.00018842
Ge81 ,0.0002813
Ge82 ,0.00029009
Ge83 ,0.00012853
Ge84 ,0.00004047
Ge85 ,0.00000564
Ge86 ,0.000000579
Ge87 ,0.0000000315992
Ge88 ,0.00000000108997
Ge89 ,1.03259E-11
Ge90 ,2.03484E-12
Ge91 ,5.46724E-14
As69 ,0
As71 ,0
As72 ,0
As73 ,3.59E-14
As74 ,5.64E-13
As74m ,1.32E-12
As75 ,1.19E-10
As76 ,0.0000000055
As77 ,0.0000000960999
As78 ,0.00000323
As79 ,0.00001534
As80 ,0.0000763499
As81 ,0.00029482
As82 ,0.00040703
As82m ,0.00040703
As83 ,0.00100243
As84 ,0.000476095
As84m ,0.000476095
As85 ,0.00043513
As86 ,0.00014834
As87 ,0.00002866
As88 ,0.00000347
As89 ,0.000000292989
As90 ,0.0000000577368
As91 ,0.00000000155128
As92 ,4.05784E-12
As93 ,1.15397E-12
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,1.43E-14
Se76 ,2.2E-12
Se77 ,1.63E-11
Se77m ,1.09E-10
Se78 ,0.0000000301
Se79 ,0.000000175
Se79m ,0.0000000261
Se80 ,0.000003
Se81 ,0.00000432
Se81m ,0.00002888
Se82 ,0.0002564
Se83 ,0.000687439
Se83m ,0.00016125
Se84 ,0.00205073
Se85 ,0.00143266
Se85m ,0.00142674
Se86 ,0.00285404
Se87 ,0.00185954
Se88 ,0.000692469
Se89 ,0.00019102
Se90 ,0.0000952222
Se91 ,0.00000255845
Se92 ,0.000000171996
Se93 ,0.0000000489122
Se94 ,1.09E-10
Se95 ,2.02523E-12
Se96 ,1.25E-14
Br75 ,0
Br77 ,0
Br77m ,0
Br78 ,3.47E-12
