Product , High (14 MeV) 
Product ,  
Product , Yield 
V66 ,1.6471E-16
V67 ,3.56778E-17
V68 ,3.66465E-18
Cr66 ,8.26836E-13
Cr67 ,1.51964E-13
Cr68 ,1.83963E-14
Cr69 ,1.07964E-15
Cr70 ,0
Cr71 ,1.79054E-17
Mn66 ,8.42E-11
Mn67 ,3.86E-11
Mn68 ,1.16E-11
Mn69 ,2.83892E-12
Mn70 ,4.93E-13
Mn71 ,4.70821E-14
Mn72 ,1.82236E-15
Mn73 ,2.69931E-16
Fe66 ,8.5E-10
Fe67 ,9.19E-10
Fe68 ,6.52E-10
Fe69 ,3.95E-10
Fe70 ,1.68E-10
Fe71 ,4.1E-11
Fe72 ,9.14818E-12
Fe73 ,1.14973E-12
Fe74 ,1.63E-13
Fe75 ,7.22297E-15
Fe76 ,0
Co66 ,0.000000001
Co67 ,0.00000000242
Co68 ,0.0000000038
Co69 ,0.00000000534
Co70 ,0.00000000529
Co71 ,0.00000000314
Co72 ,0.00000000174
Co73 ,5.42E-10
Co74 ,1.96E-10
Co75 ,1.89928E-11
Co76 ,4.85E-12
Co77 ,2.21813E-12
Co78 ,4.26214E-13
Co79 ,2.30094E-13
Ni66 ,1.41E-10
Ni67 ,7.72E-10
Ni68 ,0.00000000265
Ni69 ,0.00000000828
Ni70 ,0.000000018
Ni71 ,0.0000000243
Ni72 ,0.0000000315
Ni73 ,0.000000023
Ni74 ,0.0000000204
Ni75 ,0.00000000483
Ni76 ,0.00000000314
Ni77 ,0.00000000944778
Ni78 ,0.00000000213957
Ni79 ,9.80053E-10
Ni80 ,1.94E-11
Ni81 ,2.01483E-12
Ni82 ,2.53E-14
Cu66 ,2.02E-12
Cu67 ,2.69E-11
Cu68 ,6.43E-11
Cu68m ,1.5E-10
Cu69 ,0.00000000154
Cu70 ,0.00000000185
Cu70m ,0.00000000555
Cu71 ,0.0000000223
Cu72 ,0.0000000643
Cu73 ,0.000000103
Cu74 ,0.000000211
Cu75 ,0.000000115
Cu76 ,0.000000181
Cu77 ,0.00000131
Cu78 ,0.00000075
Cu79 ,0.00000021602
Cu80 ,0.0000000435
Cu81 ,0.00000000529799
Cu82 ,3.86E-10
Cu83 ,1.63132E-11
Cu84 ,8.16579E-13
Zn66 ,0
Zn67 ,8.65E-14
Zn68 ,1.69E-12
Zn69 ,5.71E-12
Zn69m ,2.43E-11
Zn70 ,3.4E-10
Zn71 ,4.57E-10
Zn71m ,0.00000000195
Zn72 ,0.0000000159
Zn73 ,0.0000000561
Zn74 ,0.000000254
Zn75 ,0.000000302
Zn76 ,0.00000108
Zn77 ,0.00001774
Zn78 ,0.00002409
Zn79 ,0.00001697
Zn80 ,0.00000828
Zn81 ,0.00000255
Zn82 ,0.000000476
Zn83 ,0.0000000694837
Zn84 ,0.00000000409918
Zn85 ,3.59628E-10
Zn86 ,1.07E-11
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,5.23E-14
Ga70 ,1.46E-12
Ga71 ,2.59E-11
Ga72 ,2.095E-10
Ga72m ,2.095E-10
Ga73 ,0.00000000345
Ga74 ,0.00000001825
Ga74m ,0.00000001825
Ga75 ,0.0000000966
Ga76 ,0.000000768
Ga77 ,0.00002753
Ga78 ,0.00008363
Ga79 ,0.00013435
Ga80 ,0.00015
Ga81 ,0.00011089
Ga82 ,0.00005081
Ga83 ,0.00001859
Ga84 ,0.00000286
Ga85 ,0.000000945641
Ga86 ,0.0000000577
Ga87 ,8.42654E-10
Ga88 ,5.59655E-11
Ga89 ,1.27983E-11
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,1.21E-14
Ge71m ,1.21E-14
Ge72 ,1E-12
Ge73 ,1.65E-11
Ge73m ,3.88E-12
Ge74 ,5.35E-10
Ge75 ,4.37E-10
Ge75m ,0.00000000293
Ge76 ,0.0000000634
Ge77 ,0.00000447
Ge77m ,0.000000667
Ge78 ,0.00003522
Ge79 ,0.00006297
Ge79m ,0.00006297
Ge80 ,0.00030605
Ge81 ,0.00050905
Ge82 ,0.00053644
Ge83 ,0.00046322
Ge84 ,0.0001765
Ge85 ,0.00015563
Ge86 ,0.00002578
Ge87 ,0.00000358916
Ge88 ,0.000000280944
Ge89 ,0.0000000545126
Ge90 ,2.41939E-10
Ge91 ,4.67359E-11
As69 ,0
As71 ,0
As72 ,0
As73 ,1.03E-14
As74 ,2.08E-13
As74m ,4.84E-13
As75 ,1.08E-11
As76 ,5.12E-10
As77 ,0.0000000999
As78 ,0.00000165
As79 ,0.00001388
As80 ,0.0000756
As81 ,0.00028216
As82 ,0.00033025
As82m ,0.00033025
As83 ,0.00126879
As84 ,0.000558635
As84m ,0.000558635
As85 ,0.00245868
As86 ,0.00104429
As87 ,0.00038292
As88 ,0.00008281
As89 ,0.0000120155
As90 ,0.000000539788
As91 ,0.000000122892
As92 ,8.6637E-10
As93 ,1.16256E-10
As94 ,  
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,0
Se76 ,3.56E-13
Se77 ,2.26E-11
Se77m ,1.51E-10
Se78 ,0.0000000073
Se79 ,0.000000133
Se79m ,0.0000000199
Se80 ,0.00000199
Se81 ,0.00000231
Se81m ,0.00001547
Se82 ,0.00009693
Se83 ,0.00034334
Se83m ,0.00008054
Se84 ,0.00085279
Se85 ,0.00221101
Se85m ,0.00216751
Se86 ,0.00445326
Se87 ,0.00404253
Se88 ,0.00226271
Se89 ,0.00088044
