Product , Th232  Fast (500 keV) 
Product ,  
Product , Yield 
Br86 ,0.00457201
Br86m ,0.00457201
Br87 ,0.0265675
Br88 ,0.0381986
Br89 ,0.0432875
Br90 ,0.0261963
Br91 ,0.00994884
Br92 ,0.00196719
Br93 ,0.000326718
Br94 ,0.0000247694
Br95 ,0.000000354058
Br96 ,0.0000000320993
Br97 ,0.00000000260235
Br98 ,2.85519E-12
Br99 ,2.04571E-13
Br100 ,  
Kr77 ,0
Kr78 ,0
Kr79 ,0
Kr79m ,0
Kr80 ,0
Kr81 ,6.81985E-14
Kr81m ,0
Kr82 ,3.09993E-11
Kr83 ,0.00000000374992
Kr83m ,7.68983E-10
Kr84 ,0.000000313993
Kr85 ,0.00000994978
Kr85m ,0.00000203995
Kr86 ,0.000165916
Kr87 ,0.00154161
Kr88 ,0.00846922
Kr89 ,0.0245087
Kr90 ,0.0533862
Kr91 ,0.0523627
Kr92 ,0.0392251
Kr93 ,0.0183833
Kr94 ,0.0059695
Kr95 ,0.000991454
Kr96 ,0.000108668
Kr97 ,0.00000728723
Kr98 ,0.00000031399
Kr99 ,0.0000000191076
Kr100 ,0
Kr101 ,0
Kr102 ,0
Kr103 ,0
Kr104 ,0
Rb79 ,0
Rb81 ,0
Rb83 ,2.67994E-14
Rb84 ,6.52985E-12
Rb85 ,0.00000000129997
Rb86 ,0.0000000283494
Rb86m ,0.0000000283494
Rb87 ,0.00000242995
Rb88 ,0.000045349
Rb89 ,0.000558177
Rb90 ,0.000550988
Rb90m ,0.00267283
Rb91 ,0.0119714
Rb92 ,0.0256298
Rb93 ,0.0382276
Rb94 ,0.0310245
Rb95 ,0.0200241
Rb96 ,0.00617122
Rb97 ,0.00175505
Rb98 ,0.000232475
Rb99 ,0.0000358183
Rb100 ,2.71994E-11
Rb101 ,5.02469E-14
Rb102 ,2.10261E-15
Rb103 ,2.18086E-16
Rb104 ,1.41562E-18
Rb105 ,0
Rb106 ,4.8521E-15
Sr83 ,0
Sr84 ,0
Sr85 ,0
Sr85m ,0
Sr86 ,1.19997E-12
Sr87 ,1.49997E-10
Sr87m ,3.05993E-11
Sr88 ,0.0000000159996
Sr89 ,0.000000685985
Sr90 ,0.0000176096
Sr91 ,0.000208025
Sr92 ,0.00200978
Sr93 ,0.00717213
Sr94 ,0.0203915
Sr95 ,0.0340647
Sr96 ,0.0353758
Sr97 ,0.0264104
Sr98 ,0.013152
Sr99 ,0.00349992
Sr100 ,0.0000221695
Sr101 ,0.00000122997
Sr102 ,0.0000000605986
Sr103 ,0.00000000533844
Sr104 ,4.07991E-11
Sr105 ,1.40765E-15
Sr106 ,5.33594E-10
Sr107 ,1.93752E-14
Sr108 ,9.42068E-15
Sr109 ,1.79562E-15
Y85 ,0
Y87 ,0
Y88 ,8.06982E-14
Y89 ,2.83994E-12
Y89m ,1.38997E-11
Y90 ,7.14984E-10
Y90m ,7.14984E-10
Y91 ,0.000000042249
Y91m ,0.000000042249
Y92 ,0.00000234995
Y93 ,0.0000223845
Y93m ,0.0000223845
Y94 ,0.000378571
Y95 ,0.00243444
Y96 ,0.000574087
Y96m ,0.00580395
Y97 ,0.00781331
Y97m ,0.00781331
Y98 ,0.00966979
Y98m ,0.00966754
Y99 ,0.0176994
Y100 ,0.00494263
Y101 ,0.00141849
Y102 ,0.000258034
Y103 ,0.0000367138
Y104 ,0.0000042699
Y105 ,0.0000000230665
Y106 ,0.000000849552
Y107 ,0.00000000121146
Y108 ,5.00296E-10
Y109 ,1.12274E-10
Y110 ,1.61855E-14
Y111 ,2.17309E-15
Zr87 ,0
Zr88 ,0
Zr89 ,0
Zr90 ,0
Zr90m ,0
Zr91 ,1.50997E-12
Zr92 ,2.01995E-10
Zr93 ,0.0000000131997
Zr94 ,0.000000523988
Zr95 ,0.0000108898
Zr96 ,0.000116677
Zr97 ,0.000863551
Zr98 ,0.00371189
Zr99 ,0.008454
Zr100 ,0.00874783
Zr101 ,0.00561358
Zr102 ,0.003259
Zr103 ,0.00129743
Zr104 ,0.000634206
Zr105 ,0.000236972
Zr106 ,0.0000977377
Zr107 ,0.00000339239
Zr108 ,0.00000164946
Zr109 ,0.000000314395
Zr110 ,0.00000000177994
Zr111 ,2.02974E-10
Zr112 ,2.69489E-14
Zr113 ,4.07885E-15
Nb89 ,0
Nb90 ,0
Nb91 ,0
Nb92 ,0
Nb93 ,6.25986E-14
Nb93m ,1.27997E-14
Nb94 ,6.62985E-12
Nb94m ,3.88991E-12
Nb95 ,8.7898E-10
Nb95m ,1.79996E-10
Nb96 ,0.00000177996
Nb97 ,0.000000952978
Nb97m ,0.000000194996
Nb98 ,0.0000121697
Nb98m ,0.00000342992
Nb99 ,0.0000113897
Nb99m ,0.000130937
Nb100 ,0.0000176196
Nb100m ,0.0000176196
Nb101 ,0.000101968
Nb102 ,0.0000803182
Nb102m ,0.0000803182
Nb103 ,0.000219005
Nb104 ,0.000125657
Nb104m ,0.000125657
Nb105 ,0.000285784
Nb106 ,0.000281834
Nb107 ,0.000221901
Nb108 ,0.0000850481
Nb109 ,0.000020565
Nb110 ,0.00000212995
Nb111 ,0.000000380485
Nb112 ,0.00000000143115
Nb113 ,2.55035E-10
Nb114 ,9.54761E-14
Nb115 ,5.82267E-15
Nb116 ,  
Mo90 ,0
Mo91 ,0
Mo92 ,0
Mo93 ,0
Mo93m ,0
Mo94 ,0
Mo95 ,0
Mo96 ,6.84985E-13
Mo97 ,7.53983E-11
Mo98 ,0.0000000044799
Mo99 ,0.000000128997
Mo100 ,1.82996E-10
Mo101 ,0.00000000228995
Mo102 ,0.0000000194996
Mo103 ,0.000000106998
Mo104 ,0.000000654985
Mo105 ,0.00000263994
Mo106 ,0.000107778
Mo107 ,0.000272324
Mo108 ,0.00045012
Mo109 ,0.000364862
Mo110 ,0.000187706
Mo111 ,0.0000371785
Mo112 ,0.00000471846
Mo113 ,0.000000714164
Mo114 ,0.0000000104997
Mo115 ,5.43858E-10
Mo116 ,4.14991E-12
Mo117 ,1.93542E-14
Mo118 ,1.53586E-15
Mo119 ,  
Tc93 ,0
Tc95 ,0
Tc95m ,0
Tc97 ,0
Tc97m ,0
Tc98 ,1.81996E-14
Tc99 ,1.94996E-12
Tc99m ,3.99991E-13
Tc100 ,0
Tc101 ,0
Tc102 ,0
Tc102m ,0
Tc103 ,1.64996E-14
Tc104 ,4.3499E-13
Tc105 ,1.05998E-11
Tc106 ,0.000000982978
Tc107 ,0.0000130797
Tc108 ,0.0000743083
Tc109 ,0.000257854
Tc110 ,0.000405911
Tc111 ,0.000356702
Tc112 ,0.000155806
Tc113 ,0.0000467145
Tc114 ,0.00000632986
Tc115 ,0.00000101949
Tc116 ,0.0000000387991
Tc117 ,0.00000000121014
Tc118 ,8.15634E-11
Tc119 ,1.43459E-13
Tc120 ,4.40099E-15
Tc121 ,2.98538E-16
Tc122 ,  
Ru95 ,0
Ru96 ,0
Ru97 ,0
Ru98 ,0
Ru99 ,0
Ru100 ,0
Ru101 ,0
Ru102 ,0
Ru103 ,0
Ru104 ,0
Ru105 ,0
Ru106 ,6.48985E-10
Ru107 ,0.0000000377991
Ru108 ,0.00000122997
Ru109 ,0.00000795482
Ru109m ,0.00000795482
Ru110 ,0.000117137
Ru111 ,0.000311513
Ru112 ,0.000559367
Ru113 ,0.000501609
Ru114 ,0.000296903
Ru115 ,0.0000996177
Ru116 ,0.0000237795
Ru117 ,0.00000338871
Ru118 ,0.000000268912
Ru119 ,0.0000000133996
Ru120 ,4.83985E-10
Ru121 ,2.78845E-11
Ru122 ,4.4299E-14
Ru123 ,4.01416E-16
Ru124 ,0
Ru125 ,  
