Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Ge71 ; 1.37E-12 ; 8.768E-13
Ge71m ; 1.37E-12 ; 8.768E-13
Ge72 ; 1.48E-10 ; 9.472E-11
Ge73 ; 1.63E-9 ; 1.0432E-9
Ge73m ; 3.33E-10 ; 2.1312E-10
Ge74 ; 5.05E-8 ; 3.232E-8
Ge75 ; 6.84E-8 ; 4.3776E-8
Ge75m ; 5.01E-7 ; 3.2064E-7
Ge76 ; 8.72E-6 ; 5.5808E-6
Ge77 ; 5.281E-5 ; 3.37984E-5
Ge77m ; 7.2E-6 ; 4.608E-6
Ge78 ; 2.0219E-4 ; 1.29402E-4
Ge79 ; 2.2546E-4 ; 1.44294E-4
Ge79m ; 2.2546E-4 ; 1.44294E-4
Ge80 ; 7.4123E-4 ; 4.74387E-4
Ge81 ; 7.6799E-4 ; 4.91514E-4
Ge82 ; 5.3902E-4 ; 3.44973E-4
Ge83 ; 1.7761E-4 ; 1.1367E-4
Ge84 ; 4.629E-5 ; 2.96256E-5
Ge85 ; 5.78E-6 ; 3.6992E-6
Ge86 ; 5.89E-7 ; 3.7696E-7
Ge87 ; 2.52986E-8 ; 1.61911E-8
Ge88 ; 9.15E-10 ; 5.856E-10
Ge89 ; 1.50394E-11 ; 9.62523E-12
Ge90 ; 1.77804E-12 ; 1.13794E-12
As69 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0
As72 ; 1.22E-14 ; 7.808E-15
As73 ; 5.91E-13 ; 3.7824E-13
As74 ; 1.07E-11 ; 6.848E-12
As74m ; 2.88E-11 ; 1.8432E-11
As75 ; 1.58E-9 ; 1.0112E-9
As76 ; 6.16E-8 ; 3.9424E-8
As77 ; 1.42E-6 ; 9.088E-7
As78 ; 1.107E-5 ; 7.0848E-6
As79 ; 7.81E-5 ; 4.9984E-5
As80 ; 2.7512E-4 ; 1.76077E-4
As81 ; 8.7767E-4 ; 5.61709E-4
As82 ; 7.0743E-4 ; 4.52755E-4
As82m ; 7.0743E-4 ; 4.52755E-4
As83 ; 0.00154585 ; 9.89344E-4
As84 ; 5.18195E-4 ; 3.31645E-4
As84m ; 5.18195E-4 ; 3.31645E-4
As85 ; 4.717E-4 ; 3.01888E-4
As86 ; 1.3075E-4 ; 8.368E-5
As87 ; 2.179E-5 ; 1.39456E-5
As88 ; 2.17E-6 ; 1.3888E-6
As89 ; 1.78985E-7 ; 1.1455E-7
As90 ; 1.75331E-8 ; 1.12212E-8
As91 ; 8.90222E-11 ; 5.69742E-11
As92 ; 4.07808E-12 ; 2.60997E-12
Se72 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0
Se75 ; 3.93E-13 ; 2.5152E-13
Se76 ; 5.75E-11 ; 3.68E-11
Se77 ; 4.09E-10 ; 2.6176E-10
Se77m ; 3.0E-9 ; 1.92E-9
Se78 ; 9.34E-8 ; 5.9776E-8
Se79 ; 1.47E-6 ; 9.408E-7
Se79m ; 2.0E-7 ; 1.28E-7
Se80 ; 1.934E-5 ; 1.23776E-5
Se81 ; 1.773E-5 ; 1.13472E-5
Se81m ; 1.3001E-4 ; 8.32064E-5
Se82 ; 7.7759E-4 ; 4.97658E-4
Se83 ; 0.00160722 ; 0.00102862
Se83m ; 3.292E-4 ; 2.10688E-4
Se84 ; 0.00414822 ; 0.00265486
Se85 ; 0.00224366 ; 0.00143594
Se85m ; 0.00223811 ; 0.00143239
Se86 ; 0.00424041 ; 0.00271386
Se87 ; 0.00181954 ; 0.00116451
Se88 ; 6.5684E-4 ; 4.20378E-4
Se89 ; 1.4104E-4 ; 9.02656E-5
Se90 ; 1.93525E-5 ; 1.23856E-5
Se91 ; 1.56991E-6 ; 1.00474E-6
Se92 ; 8.67959E-8 ; 5.55494E-8
Se93 ; 5.89814E-10 ; 3.77481E-10
Se94 ; 5.35E-11 ; 3.424E-11
Se95 ; 3.41132E-12 ; 2.18324E-12
Se96 ; 0.0 ; 0.0
Br75 ; 0.0 ; 0.0
Br77 ; 5.34E-14 ; 3.4176E-14
Br77m ; 2.01E-13 ; 1.2864E-13
Br78 ; 1.83E-11 ; 1.1712E-11
Br79 ; 2.55E-10 ; 1.632E-10
Br79m ; 9.59E-10 ; 6.1376E-10
Br80 ; 7.93E-9 ; 5.0752E-9
Br80m ; 2.81E-8 ; 1.7984E-8
Br81 ; 1.01E-6 ; 6.464E-7
Br82 ; 1.022E-5 ; 6.5408E-6
Br82m ; 3.78E-6 ; 2.4192E-6
Br83 ; 1.2181E-4 ; 7.79584E-5
Br84 ; 2.0787E-4 ; 1.33037E-4
Br84m ; 4.4172E-4 ; 2.82701E-4
Br85 ; 0.00221475 ; 0.00141744
Br86 ; 0.00237076 ; 0.00151729
Br86m ; 0.00237359 ; 0.0015191
Br87 ; 0.00653038 ; 0.00208972
Br88 ; 0.00551693 ; 0.00353084
Br89 ; 0.00393104 ; 0.00251587
Br90 ; 0.00137957 ; 8.82925E-4
Br91 ; 4.1014E-4 ; 2.6249E-4
Br92 ; 6.154E-5 ; 3.93856E-5
Br93 ; 7.01941E-6 ; 4.49242E-6
Br94 ; 3.94E-7 ; 2.5216E-7
Br95 ; 4.05983E-8 ; 2.59829E-8
Br96 ; 3.84E-10 ; 2.4576E-10
Br97 ; 9.52594E-12 ; 6.0966E-12
Br98 ; 2.46658E-13 ; 1.57861E-13
Kr77 ; 0.0 ; 0.0
Kr78 ; 0.0 ; 0.0
Kr79 ; 3.825E-14 ; 2.448E-14
Kr79m ; 3.825E-14 ; 2.448E-14
Kr80 ; 8.35E-12 ; 5.344E-12
Kr81 ; 5.74E-10 ; 3.6736E-10
Kr81m ; 7.82E-11 ; 5.0048E-11
Kr82 ; 3.53E-8 ; 2.2592E-8
Kr83 ; 7.03E-7 ; 4.4992E-7
Kr83m ; 1.44E-7 ; 9.216E-8
Kr84 ; 1.725E-5 ; 1.104E-5
Kr85 ; 1.251E-4 ; 8.0064E-5
Kr85m ; 2.562E-5 ; 1.63968E-5
Kr86 ; 0.00109745 ; 7.02368E-4
Kr87 ; 0.00322597 ; 0.00206462
Kr88 ; 0.00908837 ; 0.00581656
Kr89 ; 0.0141251 ; 0.00452004
Kr90 ; 0.0158502 ; 0.00507207
Kr91 ; 0.0112783 ; 0.00360906
Kr92 ; 0.00589394 ; 0.00377212
Kr93 ; 0.00169955 ; 0.00108771
Kr94 ; 3.5553E-4 ; 2.27539E-4
Kr95 ; 3.71294E-5 ; 2.37628E-5
Kr96 ; 3.55E-6 ; 2.272E-6
Kr97 ; 1.6799E-7 ; 1.07514E-7
Kr98 ; 5.24975E-9 ; 3.35984E-9
Kr99 ; 4.82393E-11 ; 3.08732E-11
Kr100 ; 1.29E-12 ; 8.256E-13
Rb79 ; 0.0 ; 0.0
Rb81 ; 1.26E-14 ; 8.064E-15
Rb83 ; 1.9E-10 ; 1.216E-10
Rb84 ; 1.13E-8 ; 7.232E-9
Rb85 ; 3.82E-7 ; 2.4448E-7
Rb86 ; 3.77E-6 ; 2.4128E-6
Rb86m ; 3.77E-6 ; 2.4128E-6
Rb87 ; 8.73E-5 ; 5.5872E-5
Rb88 ; 5.5763E-4 ; 3.56883E-4
Rb89 ; 0.00271598 ; 0.00173823
Rb90 ; 0.00115714 ; 7.4057E-4
Rb90m ; 0.00564922 ; 0.0036155
Rb91 ; 0.0148995 ; 0.00476784
Rb92 ; 0.0175023 ; 0.00560075
Rb93 ; 0.0159858 ; 0.00511546
Rb94 ; 0.00817913 ; 0.00523464
Rb95 ; 0.00295129 ; 0.00188883
Rb96 ; 7.4331E-4 ; 4.75718E-4
Rb97 ; 1.2841E-4 ; 8.21824E-5
Rb98 ; 1.075E-5 ; 6.88E-6
Rb99 ; 5.74099E-7 ; 3.67423E-7
Rb100 ; 2.73E-8 ; 1.7472E-8
Rb101 ; 2.9882E-10 ; 1.91245E-10
Rb102 ; 1.30611E-11 ; 8.35913E-12
Rb103 ; 1.48782E-12 ; 9.52208E-13
Sr83 ; 0.0 ; 0.0
Sr84 ; 8.93E-13 ; 5.7152E-13
Sr85 ; 4.365E-11 ; 2.7936E-11
Sr85m ; 4.365E-11 ; 2.7936E-11
Sr86 ; 6.84E-9 ; 4.3776E-9
Sr87 ; 1.85E-7 ; 1.184E-7
Sr87m ; 3.78E-8 ; 2.4192E-8
Sr88 ; 5.27E-6 ; 3.3728E-6
Sr89 ; 6.466E-5 ; 4.13824E-5
Sr90 ; 5.6076E-4 ; 3.58886E-4
