Product ,  , 
Product ,  , 
Product , Yield , Error
Ge79 ,3.48990E-04,2.23354E-04
Ge79m ,3.48990E-04,2.23354E-04
Ge80 ,1.43116E-03,9.15942E-04
Ge81 ,1.35591E-03,8.67782E-04
Ge82 ,8.44250E-04,5.40320E-04
Ge83 ,2.74310E-04,1.75558E-04
Ge84 ,5.78300E-05,3.70112E-05
Ge85 ,6.04000E-06,3.86560E-06
Ge86 ,4.42000E-07,2.82880E-07
Ge87 ,1.63996E-08,1.04957E-08
Ge88 ,4.29000E-10,2.74560E-10
Ge89 ,5.81742E-12,3.72315E-12
Ge90 ,6.80421E-13,4.35470E-13
As69 ,0.00000E+00,0.00000E+00
As71 ,0.00000E+00,0.00000E+00
As72 ,1.31000E-14,8.38400E-15
As73 ,1.59000E-12,1.01760E-12
As74 ,2.55000E-11,1.63200E-11
As74m ,6.90000E-11,4.41600E-11
As75 ,7.54000E-09,4.82560E-09
As76 ,1.55000E-07,9.92000E-08
As77 ,2.83000E-06,1.81120E-06
As78 ,2.01400E-05,1.28896E-05
As79 ,1.25020E-04,8.00128E-05
As80 ,5.47170E-04,3.50189E-04
As81 ,1.87076E-03,1.19729E-03
As82 ,1.32574E-03,8.48474E-04
As82m ,1.32573E-03,8.48467E-04
As83 ,3.35932E-03,2.14996E-03
As84 ,8.74770E-04,5.59853E-04
As84m ,8.74770E-04,5.59853E-04
As85 ,7.91110E-04,5.06310E-04
As86 ,1.55320E-04,9.94048E-05
As87 ,2.58000E-05,1.65120E-05
As88 ,1.83000E-06,1.17120E-06
As89 ,9.64942E-08,6.17563E-08
As90 ,8.29764E-09,5.31049E-09
As91 ,2.25857E-11,1.44548E-11
As92 ,4.92294E-13,3.15068E-13
As93 ,  ,  
Se72 ,0.00000E+00,0.00000E+00
Se73 ,0.00000E+00,0.00000E+00
Se73m ,0.00000E+00,0.00000E+00
Se74 ,0.00000E+00,0.00000E+00
Se75 ,1.67000E-12,1.06880E-12
Se76 ,1.46000E-10,9.34400E-11
Se77 ,8.27000E-10,5.29280E-10
Se77m ,6.06000E-09,3.87840E-09
Se78 ,2.07000E-07,1.32480E-07
Se79 ,2.76000E-06,1.76640E-06
Se79m ,3.76000E-07,2.40640E-07
Se80 ,5.51000E-05,3.52640E-05
Se81 ,5.29300E-05,3.38752E-05
Se81m ,3.88140E-04,2.48410E-04
Se82 ,2.38093E-03,1.52380E-03
Se83 ,4.64494E-03,1.06834E-03
Se83m ,1.18641E-03,7.59302E-04
Se84 ,1.22386E-02,2.81488E-03
Se85 ,6.39453E-03,4.09250E-03
Se85m ,6.38793E-03,4.08827E-03
Se86 ,1.01075E-02,3.23441E-03
Se87 ,4.14330E-03,2.65171E-03
Se88 ,1.25746E-03,8.04774E-04
Se89 ,1.75500E-04,1.12320E-04
Se90 ,1.84117E-05,1.17835E-05
Se91 ,8.49977E-07,5.43985E-07
Se92 ,2.51995E-08,1.61277E-08
Se93 ,1.52519E-10,9.76120E-11
Se94 ,4.28000E-12,2.73920E-12
Se95 ,4.67945E-13,2.99484E-13
Se96 ,0.00000E+00,0.00000E+00
Br75 ,0.00000E+00,0.00000E+00
Br77 ,7.19000E-14,4.60160E-14
Br77m ,2.70000E-13,1.72800E-13
Br78 ,2.72000E-11,1.74080E-11
Br79 ,3.77000E-10,2.41280E-10
Br79m ,1.42000E-09,9.08800E-10
Br80 ,1.83000E-08,1.17120E-08
Br80m ,6.50000E-08,4.16000E-08
Br81 ,2.94000E-06,1.88160E-06
Br82 ,3.01800E-05,1.93152E-05
Br82m ,1.11600E-05,7.14240E-06
Br83 ,4.53630E-04,2.90323E-04
Br84 ,6.25710E-04,4.00454E-04
Br84m ,1.32962E-03,8.50957E-04
Br85 ,7.33469E-03,4.69420E-03
Br86 ,6.28024E-03,4.01935E-03
