Product , High (14 MeV) 
Product ,  
Product , Yield 
Ti66 ,  
V66 ,2.37992E-14
V67 ,3.32786E-15
V68 ,4.29596E-16
V69 ,  
Cr66 ,1.17977E-10
Cr67 ,1.64967E-11
Cr68 ,2.12958E-12
Cr69 ,7.92635E-14
Cr70 ,0
Cr71 ,  
Mn66 ,0.0000000194001
Mn67 ,0.00000000698003
Mn68 ,0.00000000229001
Mn69 ,3.92922E-10
Mn70 ,5.46002E-11
Mn71 ,4.88002E-12
Mn72 ,2.33958E-13
Mn73 ,2.96482E-14
Mn74 ,  
Fe66 ,0.000000277001
Fe67 ,0.000000241001
Fe68 ,0.000000192001
Fe69 ,0.0000000834004
Fe70 ,0.0000000292001
Fe71 ,0.00000000682003
Fe72 ,0.00000000115977
Fe73 ,1.46971E-10
Fe74 ,1.03E-11
Fe75 ,5.92963E-13
Fe76 ,2.23001E-14
Fe77 ,  
Co66 ,0.000000416002
Co67 ,0.000000818003
Co68 ,0.00000146001
Co69 ,0.00000151001
Co70 ,0.00000126001
Co71 ,0.000000733003
Co72 ,0.000000309001
Co73 ,0.000000102
Co74 ,0.0000000187001
Co75 ,0.00000000293942
Co76 ,2.78001E-10
Co77 ,7.34145E-12
Co78 ,9.41884E-13
Co79 ,3.74329E-13
Ni66 ,0.0000000687003
Ni67 ,0.000000309001
Ni68 ,0.00000122001
Ni69 ,0.00000282001
Ni70 ,0.00000521002
Ni71 ,0.00000705003
Ni72 ,0.00000692003
Ni73 ,0.00000558002
Ni74 ,0.00000258001
Ni75 ,0.00000101
Ni76 ,0.000000249001
Ni77 ,0.0000000363928
Ni78 ,0.00000000466908
Ni79 ,0.00000000185561
Ni80 ,2.50001E-11
Ni81 ,1.62157E-12
Ni82 ,1.28001E-14
Cu66 ,9.57004E-10
Cu67 ,0.0000000117
Cu68 ,0.0000000195001
Cu68m ,0.0000000889004
Cu69 ,0.000000585002
Cu70 ,0.000000360002
Cu70m ,0.00000204001
Cu71 ,0.00000730003
Cu72 ,0.0000157501
Cu73 ,0.0000289701
Cu74 ,0.0000313301
Cu75 ,0.0000288801
Cu76 ,0.0000175401
Cu77 ,0.00000663003
Cu78 ,0.00000225001
Cu79 ,0.000000678147
Cu80 ,0.0000000898004
Cu81 ,0.00000000803841
Cu82 ,3.75002E-10
Cu83 ,1.61956E-11
Cu84 ,1.06491E-12
Zn66 ,1.16E-12
Zn67 ,3.72002E-11
Zn68 ,8.51004E-10
Zn69 ,0.00000000127001
Zn69m ,0.0000000103
Zn70 ,0.000000113
Zn71 ,0.0000000900004
Zn71m ,0.000000728003
Zn72 ,0.00000399002
Zn73 ,0.0000166501
Zn74 ,0.0000403702
Zn75 ,0.0000820003
Zn76 ,0.00011423
Zn77 ,0.00010417
Zn78 ,0.0000878504
Zn79 ,0.0000677803
Zn80 ,0.0000239901
Zn81 ,0.00000586002
Zn82 ,0.000000777003
Zn83 ,0.0000000802841
Zn84 ,0.00000000527896
Zn85 ,1.23231E-10
Zn86 ,4.52002E-12
Zn87 ,  
Ga66 ,0
Ga67 ,0
Ga68 ,5.11002E-13
Ga69 ,1.81001E-11
Ga70 ,4.48002E-10
Ga71 ,0.00000000826004
Ga72 ,0.0000000445502
Ga72m ,0.0000000445502
Ga73 ,0.0000009930041
Ga74 ,0.00000284501
Ga74m ,0.00000284501
Ga75 ,0.0000259901
Ga76 ,0.0000816803
Ga77 ,0.000170681
Ga78 ,0.000333071
Ga79 ,0.000608413
Ga80 ,0.000537852
Ga81 ,0.000338311
Ga82 ,0.000121661
Ga83 ,0.0000340301
Ga84 ,0.00000630003
Ga85 ,0.000000610879
Ga86 ,0.0000000432002
Ga87 ,6.61537E-10
Ga88 ,6.45402E-11
Ga89 ,1.1918E-11
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,1.32001E-13
Ge71 ,3.22001E-12
Ge71m ,3.22001E-12
Ge72 ,1.77001E-10
Ge73 ,0.00000000444002
Ge73m ,5.49002E-10
Ge74 ,0.0000000737003
Ge75 ,0.0000000651003
Ge75m ,0.000000748003
Ge76 ,0.00000616003
Ge77 ,0.0000287301
Ge77m ,0.00000216001
Ge78 ,0.000140721
Ge79 ,0.000295196
Ge79m ,0.000295196
Ge80 ,0.00121236
Ge81 ,0.00183002
Ge82 ,0.00165321
Ge83 ,0.00117612
Ge84 ,0.000582892
Ge85 ,0.000151181
Ge86 ,0.0000298801
Ge87 ,0.00000327935
Ge88 ,0.000000319937
Ge89 ,0.0000000590795
Ge90 ,2.82211E-10
Ge91 ,4.80738E-11
Ge92 ,  
As69 ,0
As71 ,0
As72 ,2.56001E-14
As73 ,1.92001E-12
As74 ,1.34001E-11
As74m ,6.11003E-11
As75 ,0.00000000209001
As76 ,0.0000000406002
As77 ,0.000000525002
As78 ,0.00000602003
As79 ,0.0000617203
As80 ,0.000310591
As81 ,0.00110157
As82 ,0.00119148
As82m ,0.00119218
As83 ,0.0038872
As84 ,0.00243811
As84m ,0.00243811
As85 ,0.00315347
As86 ,0.00164246
As87 ,0.000477122
As88 ,0.000125411
As89 ,0.000021591
As90 ,0.00000139897
As91 ,0.00000023831
As92 ,0.00000000199873
As93 ,7.27025E-11
As94 ,8.26922E-12
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,3.93002E-13
Se76 ,2.03001E-11
Se77 ,5.73002E-11
Se77m ,6.59003E-10
Se78 ,0.0000000216001
Se79 ,0.000000537002
Se79m ,0.0000000405002
