Product , Fast (500 keV) 
Product ,  
Product , Yield 
V66 ,1.05374E-16
V67 ,1.28487E-17
V68 ,6.56308E-19
Cr66 ,2.88989E-12
Cr67 ,2.98987E-13
Cr68 ,1.79993E-14
Cr69 ,2.45014E-16
Cr70 ,0
Cr71 ,1.90721E-18
Mn66 ,6.06E-10
Mn67 ,2.18E-10
Mn68 ,3.54E-11
Mn69 ,3.51976E-12
Mn70 ,3.75E-13
Mn71 ,2.73981E-14
Mn72 ,6.67246E-16
Mn73 ,6.14503E-17
Fe66 ,0.0000000133
Fe67 ,0.000000012
Fe68 ,0.00000000629
Fe69 ,0.00000000168
Fe70 ,6.28E-10
Fe71 ,1.24E-10
Fe72 ,1.82993E-11
Fe73 ,1.42994E-12
Fe74 ,1.22E-13
Fe75 ,3.39678E-15
Fe76 ,0
Co66 ,0.0000000131
Co67 ,0.0000000341
Co68 ,0.0000000407
Co69 ,0.0000000337
Co70 ,0.000000032
Co71 ,0.0000000207
Co72 ,0.00000000824
Co73 ,0.00000000221
Co74 ,5.28E-10
Co75 ,4.87966E-11
Co76 ,3.33E-12
Co77 ,1.00125E-13
Co78 ,9.04246E-15
Co79 ,  
Ni66 ,0.00000000188
Ni67 ,0.0000000114
Ni68 ,0.0000000383
Ni69 ,0.0000000712
Ni70 ,0.000000196
Ni71 ,0.000000293
Ni72 ,0.000000367
Ni73 ,0.000000246
Ni74 ,0.0000002
Ni75 ,0.000000049
Ni76 ,0.0000000118
Ni77 ,0.0000000023299
Ni78 ,2.47991E-10
Ni79 ,4.00931E-12
Ni80 ,5.98E-13
Ni81 ,2.86081E-14
Ni82 ,0
Cu66 ,9.67E-12
Cu67 ,1.95E-10
Cu68 ,4.33E-10
Cu68m ,0.00000000117
Cu69 ,0.00000000915
Cu70 ,0.0000000128
Cu70m ,0.0000000455
Cu71 ,0.000000243
Cu72 ,0.000000686
Cu73 ,0.00000132
Cu74 ,0.00000257
Cu75 ,0.00000196
Cu76 ,0.00000123
Cu77 ,0.000000831
Cu78 ,0.000000236
Cu79 ,0.000000057596
Cu80 ,0.00000000557
Cu81 ,4.10971E-10
Cu82 ,1.39E-11
Cu83 ,3.63975E-13
Cu84 ,1.77568E-14
Zn66 ,0
Zn67 ,2.52E-13
Zn68 ,7.01E-12
Zn69 ,1.81E-11
Zn69m ,8.84E-11
Zn70 ,0.00000000223
Zn71 ,0.00000000382
Zn71m ,0.0000000186
Zn72 ,0.000000191
Zn73 ,0.000000819
Zn74 ,0.00000457
Zn75 ,0.00000767
Zn76 ,0.00001439
Zn77 ,0.00002361
Zn78 ,0.00002119
Zn79 ,0.00001362
Zn80 ,0.00000441
Zn81 ,0.000000902
Zn82 ,0.000000109
Zn83 ,0.00000000846964
Zn84 ,4.86982E-10
Zn85 ,5.83299E-12
Zn86 ,1.5E-13
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,4.71E-14
Ga70 ,2.73E-12
Ga71 ,9.21E-11
Ga72 ,0.000000001035
Ga72m ,0.000000001035
Ga73 ,0.000000028
Ga74 ,0.0000001905
Ga74m ,0.0000001905
Ga75 ,0.00000186
Ga76 ,0.0000079
Ga77 ,0.00003705
Ga78 ,0.00007401
Ga79 ,0.00014355
Ga80 ,0.00011194
Ga81 ,0.0000752
Ga82 ,0.00002425
Ga83 ,0.00000636
Ga84 ,0.00000105
Ga85 ,0.0000000837942
Ga86 ,0.00000000374
Ga87 ,2.96509E-11
Ga88 ,1.41471E-12
Ga89 ,2.03333E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,1.31E-14
Ge71m ,1.31E-14
Ge72 ,2.11E-12
Ge73 ,6.31E-11
Ge73m ,1.29E-11
Ge74 ,0.00000000355
Ge75 ,0.00000000527
Ge75m ,0.0000000387
Ge76 ,0.000000598
Ge77 ,0.00000593
Ge77m ,0.000000808
Ge78 ,0.0000386
Ge79 ,0.000084205
Ge79m ,0.000084205
Ge80 ,0.0003675
Ge81 ,0.00056923
Ge82 ,0.00056234
Ge83 ,0.00036005
Ge84 ,0.00020312
Ge85 ,0.00004507
Ge86 ,0.00000774
Ge87 ,0.00000068997
Ge88 ,0.0000000387986
Ge89 ,0.00000000473151
Ge90 ,8.77173E-12
Ge91 ,1.23436E-12
As69 ,0
As71 ,0
As72 ,0
As73 ,0
As74 ,2.61E-13
As74m ,7.05E-13
As75 ,4.12E-11
As76 ,0.00000000153
As77 ,0.0000000586
As78 ,0.000000841
As79 ,0.00001158
As80 ,0.00005832
As81 ,0.00026289
As82 ,0.0002912
As82m ,0.0002912
As83 ,0.00104633
As84 ,0.000708925
As84m ,0.000708925
As85 ,0.00100805
As86 ,0.00048125
As87 ,0.0001584
As88 ,0.00002657
As89 ,0.00000326527
As90 ,0.000000106918
As91 ,0.0000000177323
As92 ,6.38077E-11
As93 ,5.06093E-12
As94 ,1.25428E-13
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,0
Se76 ,3.42E-13
Se77 ,4.41E-12
Se77m ,3.23E-11
Se78 ,0.00000000181
Se79 ,0.0000000594
Se79m ,0.00000000809
Se80 ,0.00000111
Se81 ,0.00000153
Se81m ,0.00001121
Se82 ,0.00008767
Se83 ,0.00029846
Se83m ,0.00006113
Se84 ,0.00123443
Se85 ,0.00117387
Se85m ,0.00115385
Se86 ,0.00343853
Se87 ,0.00300158
Se88 ,0.0017478
Se89 ,0.00061177
Se90 ,0.000140863
Se91 ,0.0000198223
