Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Ge71m ; 5.11E-12 ; 3.2704E-12
Ge72 ; 4.96E-10 ; 3.1744E-10
Ge73 ; 1.42E-8 ; 9.088E-9
Ge73m ; 2.91E-9 ; 1.8624E-9
Ge74 ; 3.52E-7 ; 2.2528E-7
Ge75 ; 5.87E-7 ; 3.7568E-7
Ge75m ; 4.31E-6 ; 2.7584E-6
Ge76 ; 4.475E-5 ; 2.864E-5
Ge77 ; 1.9935E-4 ; 1.27584E-4
Ge77m ; 2.718E-5 ; 1.73952E-5
Ge78 ; 9.2761E-4 ; 5.9367E-4
Ge79 ; 0.001247 ; 7.9808E-4
Ge79m ; 0.001247 ; 7.9808E-4
Ge80 ; 0.00390462 ; 0.00249896
Ge81 ; 0.00339875 ; 0.0021752
Ge82 ; 0.00230605 ; 0.00147587
Ge83 ; 7.3748E-4 ; 4.71987E-4
Ge84 ; 1.8164E-4 ; 1.1625E-4
Ge85 ; 1.722E-5 ; 1.10208E-5
Ge86 ; 9.03E-7 ; 5.7792E-7
Ge87 ; 3.19988E-8 ; 2.04792E-8
Ge88 ; 7.11E-10 ; 4.5504E-10
Ge89 ; 8.76712E-12 ; 5.61096E-12
Ge90 ; 7.88994E-13 ; 5.04956E-13
As69 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0
As72 ; 3.18E-14 ; 2.0352E-14
As73 ; 3.64E-12 ; 2.3296E-12
As74 ; 6.66E-11 ; 4.2624E-11
As74m ; 1.8E-10 ; 1.152E-10
As75 ; 1.14E-8 ; 7.296E-9
As76 ; 3.5E-7 ; 2.24E-7
As77 ; 5.54E-6 ; 3.5456E-6
As78 ; 7.153E-5 ; 4.57792E-5
As79 ; 5.5844E-4 ; 3.57402E-4
As80 ; 0.00236894 ; 0.00151612
As81 ; 0.00562827 ; 0.00360209
As82 ; 0.00530537 ; 0.00339544
As82m ; 0.0053054 ; 0.00339546
As83 ; 0.0104146 ; 0.00333267
As84 ; 0.00418073 ; 0.00267567
As84m ; 0.00418073 ; 0.00267567
As85 ; 0.00272403 ; 0.00174338
As86 ; 5.1116E-4 ; 3.27142E-4
As87 ; 6.447E-5 ; 4.12608E-5
As88 ; 5.05E-6 ; 3.232E-6
As89 ; 2.26991E-7 ; 1.45274E-7
As90 ; 2.0428E-8 ; 1.30739E-8
As91 ; 4.82771E-11 ; 3.08974E-11
As92 ; 1.85384E-12 ; 1.18646E-12
Se72 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0
Se75 ; 1.18E-12 ; 7.552E-13
Se76 ; 1.27E-10 ; 8.128E-11
Se77 ; 8.15E-10 ; 5.216E-10
Se77m ; 5.97E-9 ; 3.8208E-9
Se78 ; 3.07E-7 ; 1.9648E-7
Se79 ; 6.93E-6 ; 4.4352E-6
Se79m ; 9.45E-7 ; 6.048E-7
Se80 ; 1.0219E-4 ; 6.54016E-5
Se81 ; 8.697E-5 ; 5.56608E-5
Se81m ; 6.3779E-4 ; 4.08186E-4
Se82 ; 0.00387414 ; 0.00247945
Se83 ; 0.00910485 ; 0.0058271
Se83m ; 0.00186484 ; 0.0011935
Se84 ; 0.0258918 ; 0.00595512
Se85 ; 0.0124616 ; 0.00398771
Se85m ; 0.0124398 ; 0.00398075
Se86 ; 0.0148933 ; 0.00476586
Se87 ; 0.00615414 ; 0.00393865
Se88 ; 0.00159858 ; 0.00102309
Se89 ; 2.4518E-4 ; 1.56915E-4
Se90 ; 2.26596E-5 ; 1.45021E-5
Se91 ; 1.24995E-6 ; 7.99969E-7
Se92 ; 4.79981E-8 ; 3.07188E-8
Se93 ; 2.59538E-10 ; 1.66104E-10
Se94 ; 1.46E-11 ; 9.344E-12
Se95 ; 1.00885E-12 ; 6.45667E-13
Se96 ; 0.0 ; 0.0
Br75 ; 0.0 ; 0.0
Br77 ; 7.54E-14 ; 4.8256E-14
Br77m ; 2.84E-13 ; 1.8176E-13
Br78 ; 5.95E-11 ; 3.808E-11
Br79 ; 1.12E-9 ; 7.168E-10
Br79m ; 4.23E-9 ; 2.7072E-9
Br80 ; 5.1E-8 ; 3.264E-8
Br80m ; 1.81E-7 ; 1.1584E-7
Br81 ; 5.5E-6 ; 3.52E-6
Br82 ; 6.916E-5 ; 4.42624E-5
Br82m ; 2.558E-5 ; 1.63712E-5
Br83 ; 8.6928E-4 ; 5.56339E-4
Br84 ; 0.00223232 ; 0.00142868
Br84m ; 0.00418722 ; 0.00267982
Br85 ; 0.0176301 ; 0.00564164
Br86 ; 0.0150899 ; 0.00482878
Br86m ; 0.0150853 ; 0.00482729
Br87 ; 0.0358261 ; 0.0114644
Br88 ; 0.0273771 ; 0.00876068
Br89 ; 0.0130411 ; 0.00417314
Br90 ; 0.00381017 ; 0.00243851
Br91 ; 6.8662E-4 ; 4.39437E-4
Br92 ; 8.812E-5 ; 5.63968E-5
Br93 ; 6.71974E-6 ; 4.30063E-6
Br94 ; 3.15E-7 ; 2.016E-7
Br95 ; 2.61204E-8 ; 1.67171E-8
Br96 ; 1.33E-10 ; 8.512E-11
Br97 ; 1.88088E-12 ; 1.20376E-12
Kr77 ; 0.0 ; 0.0
Kr78 ; 0.0 ; 0.0
Kr79 ; 7.7E-14 ; 4.928E-14
Kr79m ; 7.7E-14 ; 4.928E-14
Kr80 ; 2.31E-11 ; 1.4784E-11
Kr81 ; 1.71E-9 ; 1.0944E-9
Kr81m ; 2.33E-10 ; 1.4912E-10
Kr82 ; 1.16E-7 ; 7.424E-8
Kr83 ; 3.19E-6 ; 2.0416E-6
Kr83m ; 6.54E-7 ; 4.1856E-7
Kr84 ; 9.479E-5 ; 6.06656E-5
Kr85 ; 7.4344E-4 ; 4.75802E-4
Kr85m ; 1.5227E-4 ; 9.74528E-5
Kr86 ; 0.00480528 ; 0.00307538
Kr87 ; 0.0163504 ; 0.00523213
Kr88 ; 0.0339975 ; 0.0108792
Kr89 ; 0.0448775 ; 0.0143608
Kr90 ; 0.0367481 ; 0.0117594
Kr91 ; 0.0194461 ; 0.00622276
Kr92 ; 0.00769951 ; 0.00492769
Kr93 ; 0.00188501 ; 0.00120641
Kr94 ; 2.9207E-4 ; 1.86925E-4
Kr95 ; 2.89739E-5 ; 1.85433E-5
Kr96 ; 1.42E-6 ; 9.088E-7
Kr97 ; 4.86981E-8 ; 3.11668E-8
Kr98 ; 8.55E-10 ; 5.472E-10
Kr99 ; 4.92669E-12 ; 3.15308E-12
Kr100 ; 5.62E-14 ; 3.5968E-14
Rb79 ; 0.0 ; 0.0
Rb81 ; 2.86E-14 ; 1.8304E-14
Rb83 ; 7.69E-10 ; 4.9216E-10
Rb84 ; 7.07E-8 ; 4.5248E-8
Rb85 ; 2.44E-6 ; 1.5616E-6
Rb86 ; 2.312E-5 ; 1.47968E-5
Rb86m ; 2.312E-5 ; 1.47968E-5
Rb87 ; 5.1996E-4 ; 3.32774E-4
Rb88 ; 0.00329232 ; 0.00210708
Rb89 ; 0.0123989 ; 0.00396764
Rb90 ; 0.00463488 ; 0.00296632
Rb90m ; 0.0226294 ; 0.00724141
Rb91 ; 0.0384224 ; 0.0122952
Rb92 ; 0.0414233 ; 0.0132555
Rb93 ; 0.0289095 ; 0.00925105
Rb94 ; 0.0134461 ; 0.00430277
Rb95 ; 0.00419495 ; 0.00268477
Rb96 ; 6.6912E-4 ; 4.28237E-4
Rb97 ; 7.648E-5 ; 4.89472E-5
Rb98 ; 4.57E-6 ; 2.9248E-6
Rb99 ; 1.27558E-7 ; 8.1637E-8
