Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Ge70 ; 0.0 ; 0.0
Ge71 ; 0.0 ; 0.0
Ge71m ; 0.0 ; 0.0
Ge72 ; 1.67E-12 ; 1.0688E-12
Ge73 ; 7.28E-11 ; 4.6592E-11
Ge73m ; 1.49E-11 ; 9.536E-12
Ge74 ; 3.0E-9 ; 1.92E-9
Ge75 ; 1.68E-8 ; 1.0752E-8
Ge75m ; 1.23E-7 ; 7.872E-8
Ge76 ; 1.64E-6 ; 1.0496E-6
Ge77 ; 1.614E-5 ; 1.03296E-5
Ge77m ; 2.2E-6 ; 1.408E-6
Ge78 ; 1.0042E-4 ; 6.42688E-5
Ge79 ; 1.6249E-4 ; 1.03994E-4
Ge79m ; 1.6249E-4 ; 1.03994E-4
Ge80 ; 6.4613E-4 ; 4.13523E-4
Ge81 ; 8.8043E-4 ; 5.63475E-4
Ge82 ; 6.268E-4 ; 4.01152E-4
Ge83 ; 3.2077E-4 ; 2.05293E-4
Ge84 ; 9.577E-5 ; 6.12928E-5
Ge85 ; 1.213E-5 ; 7.7632E-6
Ge86 ; 1.15E-6 ; 7.36E-7
Ge87 ; 4.90996E-8 ; 3.14237E-8
Ge88 ; 1.39999E-9 ; 8.95994E-10
Ge89 ; 8.87501E-12 ; 5.68001E-12
Ge90 ; 2.49819E-13 ; 1.59884E-13
Ge91 ; 1.88991E-14 ; 1.20954E-14
As69 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0
As73 ; 0.0 ; 0.0
As74 ; 1.56E-13 ; 9.984E-14
As74m ; 4.2E-13 ; 2.688E-13
As75 ; 1.0E-10 ; 6.4E-11
As76 ; 4.27E-9 ; 2.7328E-9
As77 ; 1.68E-7 ; 1.0752E-7
As78 ; 3.09E-6 ; 1.9776E-6
As79 ; 3.069E-5 ; 1.96416E-5
As80 ; 1.812E-4 ; 1.15968E-4
As81 ; 7.1897E-4 ; 4.60141E-4
As82 ; 7.5911E-4 ; 4.8583E-4
As82m ; 7.5911E-4 ; 4.8583E-4
As83 ; 0.00239397 ; 0.00153214
As84 ; 0.00121542 ; 7.77869E-4
As84m ; 0.00121542 ; 7.77869E-4
As85 ; 0.00112505 ; 7.20032E-4
As86 ; 3.9761E-4 ; 2.5447E-4
As87 ; 6.864E-5 ; 4.39296E-5
